PLAYER	TEAM	FP	INT	PD	SOLO	AST	SACK	FUMR	FORCE
Antoine Winfield	MIN	7.6	0.06	0.25	5.8	3.8	0.21	0.04	0.34
Charles Woodson	GB	7.4	0.26	0.92	4.5	1.9	0.18	0.06	0.23
Quintin Mikell	STL	7.1	0.17	0.49	4.7	1.7	0.03	0.2	0.43
Morgan Burnett	GB	6.9	0.17	0.7	4.7	2.2	0.08	0.23	0.18
Marcus Trufant	SEA	6.4	0.3	0.73	3.5	2	0	0.19	0.07
Antrel Rolle	NYG	6.3	0.12	0.23	5.4	2.4	0	0.05	0.07
Greg Toler	ARI	6.3	0.07	0.37	4.7	1.7	0.13	0.09	0.26
Charles Tillman	CHI	6.2	0.14	0.68	4.1	1.6	0.06	0.16	0.24
Yeremiah Bell	NYJ	6.2	0.06	0.3	4.5	2	0.19	0.14	0.13
Thomas DeCoud	ATL	6.2	0.21	0.4	5.1	2.7	0	0.01	0.04
Tyvon Branch	OAK	6.2	0.07	0.2	5.2	2.2	0.08	0.14	0.04
Bernard Pollard	BAL	6.1	0.06	0.68	3.6	2.1	0.34	0.05	0.34
LaRon Landry	NYJ	6.1	0.05	0.29	4.5	2	0.18	0.14	0.21
Jason McCourty	TEN	6.1	0.16	0.74	4.8	2	0.08	0.05	0.08
Roman Harper	NO	6	0.02	0.35	4.3	1.7	0.3	0.08	0.24
Eric Weddle	SD	6	0.25	0.63	4.6	1.7	0	0.01	0.01
Troy Polamalu	PIT	5.9	0.25	0.78	3.8	2.2	0.06	0.12	0.03
Ronde Barber	TB	5.8	0.18	0.52	4.4	1.4	0.06	0.08	0.06
Kerry Rhodes	ARI	5.8	0.09	0.39	3.7	1.3	0.34	0.2	0.01
Tramon Williams	GB	5.8	0.23	1.22	3.7	1.6	0.01	0.19	0.02
Dashon Goldson	SF	5.8	0.35	0.59	3.6	1.1	0.04	0.06	0.09
Charles Godfrey	CAR	5.8	0.16	0.5	4.6	2.1	0.04	0.02	0.13
Richard Marshall	MIA	5.7	0.1	0.46	4.6	1.8	0.15	0.03	0.05
