PLAYER	TEAM	FP	RUSH	RUSHYD	YPC	RUSHTD	REC	RECYD	RECTD	FUML
Kregg Lumpkin	SEA	0.8	0.2	1	3.17	0	0.7	5	0.03	0.02
Bear Pascoe	NYG	0.8	0	0	0	0	0.7	6	0.03	0
Mewelde Moore	IND	0.7	0.7	3	3.94	0.01	0.4	3	0.02	0.03
Jalen Parmele	JAC	0.7	0	0	0	0	0	0	0	0.04
Jamie Harper	TEN	0.7	0.9	3	3.85	0.04	0.2	1	0.01	0.04
Shaun Chapas	DAL	0.7	0	0	0	0	0.5	4	0.04	0
Anthony Sherman	ARI	0.6	0	0	2.43	0	0.5	5	0.03	0
Michael Smith	TB	0.6	0	0	0	0	0	0	0	0.02
Jerome Felton	MIN	0.5	0.5	2	3.36	0.01	0.3	2	0.01	0.01
Owen Schmitt	OAK	0.5	0.2	0	1.33	0	0.4	3	0.02	0.01
Brandon Saine	GB	0.5	0.8	3	3.47	0.02	0.1	1	0.01	0.01
Greg Jones	JAC	0.4	0	0	2.05	0	0.5	3	0.03	0
Montell Owens	JAC	0.4	0.7	3	4.06	0.01	0.1	0	0	0.01
Quinn Johnson	TEN	0.4	0	0	0	0	0.4	3	0.02	0
Erik Lorig	TB	0.4	0	0	0	0	0.3	3	0.02	0
Christopher Ivory	NO	0.4	0.7	3	4.11	0.01	0.1	1	0	0.01
Keiland Williams	DET	0.4	0.6	1	2.3	0.01	0.2	1	0.01	0.01
Owen Marecic	CLE	0.4	0.2	0	1.63	0	0.4	3	0.01	0.02
Bryce Brown	PHI	0.4	0.3	1	4.02	0.01	0.2	1	0.01	0.01
Lousaka Polite	ATL	0.4	0.1	1	4.06	0	0.4	3	0.01	0
Lawrence Vickers	DAL	0.3	0.1	0	0.43	0	0.3	2	0.02	0.01
Tyler Clutts	HOU	0.3	0	0	0	0	0.4	3	0.02	0.03
DaRel Scott	NYG	0.2	0	0	0	0	0	0	0	0.03
Andre Brown	NYG	0.2	0	0	0	0	0	0	0	0.01
Corey McIntyre	BUF	0.1	0	0	0.9	0	0.1	1	0	0.01
Richie Brockel	CAR	0.1	0	0	0	0	0.1	0	0	0
Rock Cartwright	SF	0	0	0	0	0	0	0	0	0
Steven Jackson	STL	0	0	0	0	0	0	0	0	0
Frank Gore	SF	0	0	0	0	0	0	0	0	0
Brandon Jacobs	SF	0	0	0	0	0	0	0	0	0
Ryan Grant	GB	0	0	0	0	0	0	0	0	0
Joseph Addai	NE	0	0	0	0	0	0	0	0	0
Ahmard Hall	TEN	0	0	0	0	0	0	0	0	0
Korey Hall	NO	0	0	0	0	0	0	0	0	0
D.J. Ware	TB	0	0	0	0	0	0	0	0	0
Jackie Battle	SD	0	0	0	0	0	0	0	0	0
Jacob Hester	SD	0	0	0	0	0	0	0	0	0
Steve Slaton	MIA	0	0	0	0	0	0	0	0	0
Tim Hightower	WAS	0	0	0	0	0	0	0	0	0
Spencer Larsen	NE	0	0	0	0	0	0	0	0	0
Lex Hilliard	NE	0	0	0	0	0	0	0	0	0
Mike Cox	ATL	0	0	0	0	0	0	0	0	0
Shonn Greene	NYJ	0	0	0	0	0	0	0	0	0
Tony Fiammetta	NE	0	0	0	0	0	0	0	0	0
Aaron Brown	CIN	0	0	0	0	0	0	0	0	0
Chris Ogbonnaya	CLE	0	0	0	0	0	0	0	0	0
Danny Woodhead	NE	0	0	0	0	0	0	0	0	0
Brock Bolen	JAC	0	0	0	0	0	0	0	0	0
Brit Miller	STL	0	0	0	0	0	0	0	0	0
Kahlil Bell	CHI	0	0	0	0	0	0	0	0	0
Joe McKnight	NYJ	0	0	0	0	0	0	0	0	0
John Conner	NYJ	0	0	0	0	0	0	0	0	0
Anthony Dixon	SF	0	0	0	0	0	0	0	0	0
Alfonso Smith	ARI	0	0	0	0	0	0	0	0	0
Chris Gronkowski	DEN	0	0	0	0	0	0	0	0	0
Shane Vereen	NE	0	0	0	0	0	0	0	0	0
Stevan Ridley	NE	0	0	0	0	0	0	0	0	0
Kendall Hunter	SF	0	0	0	0	0	0	0	0	0
Bilal Powell	NYJ	0	0	0	0	0	0	0	0	0
Johnny White	BUF	0	0	0	0	0	0	0	0	0
Bruce Miller	SF	0	0	0	0	0	0	0	0	0
Anthony Allen	BAL	0	0	0	0	0	0	0	0	0
Isaiah Pead	STL	0	0	0	0	0	0	0	0	0
LaMichael James	SF	0	0	0	0	0	0	0	0	0
Dorin Dickerson	BUF	0	0	0	0	0	0	0	0	0
Jeff Demps	NE	0	0	0	0	0	0	0	0	0
Chad Hall	PHI	0	0	0	0	0	0	0	0	0
Henry Hynoski	NYG	0	0	0	0	0	0	0	0	0
