PLAYER	TEAM	FP	SOLO	AST	SACK	FUMR	FORCE	INT	PD
DeMarcus Ware	DAL	9.6	3.4	0.8	1.81	0.11	0.24	0	0.08
Karlos Dansby	MIA	8.7	6.9	1.9	0.1	0.04	0.5	0.06	0.34
James Anderson	CAR	8.7	7.3	4.2	0.11	0.2	0.05	0.08	0.35
James Laurinaitis	STL	8.7	6.3	2.3	0.4	0.15	0.01	0.16	0.5
DQwell Jackson	CLE	8.6	7.2	3.6	0.13	0.17	0.06	0.08	0.17
London Fletcher	WAS	7.9	6.3	4.1	0.12	0.08	0.25	0.1	0.48
Kevin Burnett	MIA	7.9	6.4	2.2	0.16	0.07	0.1	0.09	0.22
Patrick Willis	SF	7.9	5.8	1.9	0.2	0.16	0.36	0.04	0.6
Clay Matthews	GB	7.9	3.1	1.1	1.07	0.02	0.44	0.08	0.45
Ray Lewis	BAL	7.7	6	3	0.25	0.04	0.22	0.07	0.42
LaMarr Woodley	PIT	7.7	2.6	1.9	1.04	0.26	0.15	0.12	0.37
Chad Greenway	MIN	7.4	6.7	4	0.13	0.05	0.02	0.01	0.14
Jon Beason	CAR	7	6	3	0.06	0.01	0.24	0.06	0.34
Derrick Johnson	KC	6.9	5.5	2.1	0.09	0.09	0.17	0.08	0.57
Ryan Kerrigan	WAS	6.9	3	1.7	0.86	0.02	0.44	0.05	0.22
David Harris	NYJ	6.8	4.4	2.1	0.38	0.06	0.02	0.17	0.45
Sean Lee	DAL	6.6	4.3	2.3	0.08	0.07	0.11	0.24	0.25
Lawrence Timmons	PIT	6.5	5.1	2.8	0.19	0.1	0.08	0.07	0.45
Von Miller	DEN	6.4	3.9	1.4	0.6	0.01	0.28	0	0.25
Brian Orakpo	WAS	6.3	2.4	1.9	1	0.06	0.2	0.01	0.22
Brian Cushing	HOU	6.3	4.5	3.1	0.28	0.02	0.33	0.05	0.27
Sean Weatherspoon	ATL	6.3	5.4	3.2	0.14	0.12	0.01	0.01	0.26
Brian Urlacher	CHI	6.2	5.1	1.8	0.06	0.14	0.02	0.08	0.27
Paul Posluszny	JAC	6.2	5.4	3.4	0.13	0.01	0.07	0.04	0.34
Curtis Lofton	NO	6.2	4.9	2.6	0.09	0.06	0.15	0.07	0.26
Daryl Washington	ARI	6.2	5.2	1	0.15	0.01	0.02	0.09	0.28
Rolando McClain	OAK	6.1	4.9	2.1	0.33	0.03	0.02	0.02	0.77
Daryl Smith	JAC	6	4.9	2.5	0.12	0.02	0.19	0.04	0.32
Calvin Pace	NYJ	5.9	3.5	1.5	0.43	0.08	0.3	0.05	0.12
Navorro Bowman	SF	5.9	5.1	1.8	0.06	0.17	0.02	0.01	0.26
Luke Kuechly	CAR	5.9	5	2.3	0.13	0.05	0.13	0.01	0.18
Colin McCarthy	TEN	5.8	4.4	1.7	0.02	0.18	0.22	0.08	0.17
Jerod Mayo	NE	5.7	3.6	3.6	0.25	0.05	0.3	0.11	0.37
Stephen Tulloch	DET	5.6	4.5	2.3	0.18	0.12	0.04	0.03	0.19
Anthony Spencer	DAL	5.6	3.2	1.4	0.43	0.03	0.41	0.01	0.05
Donald Butler	SD	5.5	4	1.2	0.2	0.06	0.26	0.05	0.12
Lance Briggs	CHI	5.4	4.8	1.4	0.04	0.01	0.12	0.05	0.15
