PLAYER	TEAM	FP	RUSH	RUSHYD	YPC	RUSHTD	REC	RECYD	RECTD	FUML
Arian Foster	HOU	22.5	21.8	105	4.83	0.97	5.3	49	0.29	0.24
LeSean McCoy	PHI	17.5	16.8	85	5.06	1.03	4.2	24	0.13	0.18
DeMarco Murray	DAL	15.6	19.6	92	4.7	0.55	3.4	26	0.14	0.2
Maurice Jones-Drew	JAC	15.1	20.3	92	4.51	0.48	3.4	23	0.19	0.22
Ahmad Bradshaw	NYG	15.1	16	76	4.71	0.66	3.3	28	0.17	0.15
Darren McFadden	OAK	15.1	16.4	76	4.61	0.56	3.6	31	0.23	0.17
Doug Martin	TB	13.9	17.1	71	4.12	0.57	3.4	28	0.17	0.2
Ray Rice	BAL	13.8	15.3	65	4.23	0.42	4.7	39	0.22	0.19
Stevan Ridley	NE	13	18.8	85	4.53	0.65	0.9	8	0.03	0.17
BenJarvus Green-Ellis	CIN	12.5	15.5	76	4.88	0.74	0.6	6	0.02	0.14
Trent Richardson	CLE	12.5	15.9	67	4.19	0.51	2.9	25	0.1	0.16
Reggie Bush	MIA	11.9	14.8	65	4.38	0.39	3.9	26	0.13	0.16
Steven Jackson	STL	11.7	16.5	62	3.74	0.37	3.4	29	0.12	0.18
Donald Brown	IND	11.7	14.7	71	4.82	0.51	2.1	14	0.08	0.14
Shonn Greene	NYJ	11.7	16.5	69	4.2	0.54	1.9	14	0.08	0.15
Willis McGahee	DEN	11.3	17.2	75	4.34	0.45	1.3	9	0.12	0.23
Adrian Peterson	MIN	11.3	15.7	67	4.29	0.54	1.9	12	0.06	0.16
Ryan Mathews	SD	11.2	16.6	57	3.45	0.44	3.5	27	0.09	0.21
Darren Sproles	NO	11.1	4.4	23	5.17	0.17	5.7	48	0.31	0.16
C.J. Spiller	BUF	11.1	10	59	5.88	0.42	3.1	18	0.13	0.19
Fred Jackson	BUF	11	11.4	59	5.16	0.36	3.1	25	0.11	0.12
Frank Gore	SF	10.9	13.6	64	4.69	0.43	2.2	18	0.08	0.14
Matt Forte	CHI	10.5	13.4	45	3.37	0.39	3.4	30	0.15	0.16
Kevin Smith	DET	10	8.2	42	5.11	0.37	2.2	22	0.27	0.08
Marshawn Lynch	SEA	9.7	17.3	56	3.24	0.44	1.9	14	0.07	0.15
Alfred Morris	WAS	9.7	14.2	59	4.17	0.51	0.8	8	0.04	0.12
Jamaal Charles	KC	9.5	11.9	54	4.52	0.28	2.3	20	0.13	0.14
Beanie Wells	ARI	9.2	12.7	57	4.48	0.51	0.6	5	0.03	0.11
Jonathan Stewart	CAR	9.1	9.1	44	4.89	0.23	3	26	0.15	0.11
Rashard Mendenhall	PIT	9	12.7	54	4.22	0.45	1	9	0.04	0.12
DeAngelo Williams	CAR	8.8	9.3	49	5.32	0.41	1.3	12	0.06	0.1
Michael Turner	ATL	8.7	15	53	3.56	0.48	0.7	6	0.02	0.14
Ben Tate	HOU	8.2	9.8	47	4.8	0.38	1.3	11	0.06	0.12
Pierre Thomas	NO	8.1	6.9	32	4.61	0.26	3.3	26	0.13	0.09
Michael Bush	CHI	8	10.1	36	3.56	0.39	1.9	18	0.08	0.11
Chris Johnson	TEN	7.9	15.8	41	2.63	0.25	2.9	20	0.1	0.16
Peyton Hillis	KC	6.6	10.8	39	3.61	0.24	1.7	11	0.08	0.15
Rashad Jennings	JAC	6.6	5.8	36	6.18	0.26	1.7	12	0.06	0.07
Mark Ingram	NO	6.5	11.9	40	3.34	0.35	1	5	0.03	0.11
Knowshon Moreno	DEN	5.8	5.2	21	3.96	0.15	1.7	19	0.18	0.08
Kendall Hunter	SF	5.8	7	33	4.7	0.18	1.3	13	0.05	0.07
Shaun Draughn	KC	5.5	3.9	28	7.16	0.31	0.8	7	0.04	0.05
Mikel LeShoure	DET	5.4	6.8	31	4.55	0.25	0.8	7	0.05	0.09
Cedric Benson	GB	5	11.8	34	2.89	0.17	1	6	0.04	0.12
Ryan Williams	ARI	4.8	6.3	27	4.3	0.22	0.9	7	0.05	0.06
Daryl Richardson	STL	4.8	7.1	30	4.21	0.22	0.6	5	0.02	0.07
Bernard Scott	CIN	4.5	7.3	28	3.86	0.2	0.9	4	0.04	0.08
Isaac Redman	PIT	4.3	6.4	26	3.98	0.15	1	7	0.05	0.07
Jahvid Best	DET	4.3	3.9	15	3.73	0.1	2.4	18	0.08	0.06
Mike Goodson	OAK	4.2	4.1	16	3.89	0.12	1.6	14	0.09	0.06
David Wilson	NYG	4.2	4.3	22	5.08	0.17	0.6	6	0.03	0.13
Marcel Reece	OAK	4.1	3	12	3.84	0.06	2	22	0.11	0.11
Toby Gerhart	MIN	4.1	5.6	21	3.73	0.11	1.4	10	0.08	0.06
Roy Helu	WAS	4	3	11	3.74	0.07	2.2	17	0.14	0.05
Danny Woodhead	NE	3.9	4.4	20	4.56	0.15	0.8	7	0.03	0.06
Lamar Miller	MIA	3.9	5.3	22	4.27	0.2	0.5	4	0.02	0.06
LaRod Stephens-Howling	ARI	3.8	2.4	10	4.31	0.08	1	11	0.07	0.06
Felix Jones	DAL	3.5	3.9	15	3.83	0.11	0.9	7	0.01	0.12
Jason Snelling	ATL	3.4	2.9	9	3.09	0.05	1.8	16	0.13	0.06
Jacquizz Rodgers	ATL	3.4	3.1	10	3.12	0.06	1.4	11	0.06	0.07
Robert Turbin	SEA	3.3	4.9	17	3.57	0.09	1	9	0.03	0.05
Lance Ball	DEN	3.1	5.5	22	3.93	0.11	0.1	1	0.01	0.05
Brandon Jackson	CLE	3	3.2	10	3.04	0.06	1.7	14	0.07	0.05
Bernard Pierce	BAL	3	4.2	17	3.95	0.11	0.7	6	0.04	0.05
LeGarrette Blount	TB	2.9	4.4	17	3.89	0.11	0.7	6	0.02	0.08
Bryce Brown	PHI	2.9	3.7	14	3.83	0.14	0.6	6	0.04	0.07
Andre Brown	NYG	2.9	2.8	15	5.31	0.18	0.1	1	0	0.04
John Kuhn	GB	2.7	1.3	4	2.84	0.04	1.1	10	0.18	0.02
Mike Tolbert	CAR	2.7	0.6	3	4.87	0.04	1.9	16	0.11	0.03
Vick Ballard	IND	2.7	3.4	14	4.04	0.1	0.7	6	0.04	0.04
Jonathan Dwyer	PIT	2.6	5.3	18	3.31	0.07	0.5	4	0.03	0.06
LaMichael James	SF	2.5	1.4	7	5.2	0.06	1	9	0.05	0.03
Daniel Thomas	MIA	2.4	5.6	16	2.95	0.08	0.4	3	0.02	0.07
Bilal Powell	NYJ	2.4	4.8	14	2.84	0.09	0.6	5	0.03	0.11
Leon Washington	SEA	2.2	0.6	2	3.16	0.02	0.2	1	0.01	0.07
Chris Rainey	PIT	2.2	1.3	6	4.58	0.04	1	10	0.06	0.04
Alex Green	GB	2	2.2	6	2.52	0.03	1.3	9	0.07	0.04
Brian Leonard	CIN	1.9	1.5	8	5.26	0.04	1	8	0.03	0.02
Joe McKnight	NYJ	1.9	0.5	2	3.1	0.01	0.5	4	0.03	0.07
James Starks	GB	1.6	2.8	9	3.08	0.05	0.3	3	0.05	0.03
Phillip Tanner	DAL	1.6	1.5	6	4.01	0.07	0.6	4	0.04	0.02
Jorvorskie Lane	MIA	1.5	1	4	4.19	0.03	1	7	0.04	0.02
Joique Bell	DET	1.5	1	4	3.81	0.04	0.6	7	0.03	0.01
LeRon McClain	SD	1.4	0.7	3	3.47	0.02	1.3	7	0.05	0.02
Stanley Havili	PHI	1.4	0.3	1	3.77	0.01	0.4	11	0.02	0
Ronnie Brown	SD	1.3	3.2	9	2.72	0.06	0.1	1	0	0.03
Chris Ogbonnaya	CLE	1.3	2.8	9	3.32	0.04	0.2	1	0.01	0.05
Marcus Thigpen	MIA	1.3	0	0	0	0	0	0	0	0.04
Vonta Leach	BAL	1.2	0.3	1	3.38	0.01	1	7	0.06	0.02
D.J. Ware	TB	1.2	0.5	2	3.12	0.01	1	7	0.04	0.02
Taiwan Jones	OAK	1.2	1.2	5	4.04	0.03	0.1	0	0	0.03
Isaiah Pead	STL	1.2	0.4	2	4.16	0.01	0.2	2	0.01	0.04
Tashard Choice	BUF	1.1	0.7	2	2.93	0.02	1	7	0.03	0.04
Stefan Logan	DET	1.1	0	0	0	0	0	0	0	0.26
Bear Pascoe	NYG	1	0	0	0	0	0.7	8	0.04	0
Delone Carter	IND	1	2.1	7	3.6	0.04	0.2	1	0	0.05
Michael Robinson	SEA	0.9	0.1	1	5.03	0	0.6	6	0.05	0.03
Javon Ringer	TEN	0.9	2.7	6	2.13	0.04	0.2	1	0.01	0.02
Curtis Brinkley	SD	0.9	2.9	6	2.06	0.05	0.1	0	0	0.03
Bruce Miller	SF	0.9	0	0	2.4	0	0.8	8	0.04	0.04
Michael Smith	TB	0.8	0	0	0	0	0	0	0	0.03
Jalen Parmele	JAC	0.7	0	0	0	0	0	0	0	0.02
Kahlil Bell	CHI	0.7	0.4	1	2.83	0.01	0.4	3	0.04	0.02
Anthony Allen	BAL	0.7	1.8	6	3.15	0.02	0.1	1	0	0.01
Cedric Peerman	CIN	0.7	0.5	2	3.94	0.01	0.4	3	0.02	0.01
Mewelde Moore	IND	0.6	0.4	2	5.06	0.01	0.4	3	0.01	0.02
Kregg Lumpkin	SEA	0.6	0.4	1	2.06	0	0.6	4	0.02	0.01
Erik Lorig	TB	0.6	0	0	0	0	0.6	5	0.03	0.01
Anthony Sherman	ARI	0.6	0	0	3.4	0	0.5	5	0.02	0.01
Brandon Saine	GB	0.6	0.8	3	3.18	0.01	0.2	1	0.02	0
Brandon Jacobs	SF	0.5	0.7	3	4.6	0.03	0.1	0	0	0.01
Evan Royster	WAS	0.5	0.6	3	4.29	0.02	0.1	1	0	0.01
Tyler Clutts	HOU	0.5	0	0	0	0	0.6	4	0.03	0.04
Greg Jones	JAC	0.4	0.1	1	6.64	0	0.5	2	0.02	0.01
Lawrence Vickers	DAL	0.4	0.1	0	0.7	0	0.3	2	0.02	0
Montell Owens	JAC	0.4	0.5	2	5.11	0.01	0.1	0	0	0
Jerome Felton	MIN	0.4	0.5	2	3.47	0.01	0.3	2	0.01	0.01
Justin Forsett	HOU	0.4	0.5	2	3.51	0.01	0.2	1	0.01	0.01
Quinn Johnson	TEN	0.4	0	0	0	0	0.3	3	0.02	0
Keiland Williams	DET	0.4	0.4	2	4.23	0.02	0.1	1	0.01	0.01
Shane Vereen	NE	0.4	0.5	2	3.44	0.02	0.1	1	0	0
Jamie Harper	TEN	0.4	0.8	2	2.91	0.02	0.1	0	0	0.02
Brandon Bolden	NE	0.4	0.6	2	2.83	0.01	0.1	1	0.01	0.01
Brit Miller	STL	0.3	0	0	1.56	0	0.2	3	0.01	0
Owen Marecic	CLE	0.3	0.2	0	2.37	0	0.3	2	0.01	0.02
Dion Lewis	PHI	0.3	0.3	1	4.15	0.01	0.1	0	0.01	0.01
DaRel Scott	NYG	0.3	0	0	0	0	0	0	0	0.03
Lousaka Polite	ATL	0.3	0.1	0	3.37	0.01	0.3	2	0.01	0.01
Matt Asiata	MIN	0.3	0	0	0	0	0	0	0	0.01
Armando Allen	CHI	0.3	0.2	0	2.27	0	0.2	1	0.02	0
John Conner	NYJ	0.2	0.1	0	3.13	0.01	0.1	1	0	0.01
Jeff Demps	NE	0.2	0	0	0	0	0	0	0	0.02
Corey McIntyre	BUF	0.1	0	0	0.7	0	0.1	1	0	0.01
Owen Schmitt	OAK	0.1	0	0	0	0	0.1	1	0	0
Chris Pressley	CIN	0.1	0	0	-1.48	0	0.1	1	0	0
Korey Hall	NO	0	0	0	0	0	0	0	0	0
Jackie Battle	SD	0	0	0	0	0	0	0	0	0
Jacob Hester	SD	0	0	0	0	0	0	0	0	0
Lex Hilliard	NE	0	0	0	0	0	0	0	0	0
Chris Gronkowski	DEN	0	0	0	0	0	0	0	0	0
Johnny White	BUF	0	0	0	0	0	0	0	0	0
Dorin Dickerson	BUF	0	0	0	0	0	0	0	0	0
Richie Brockel	CAR	0	0	0	0	0	0	0	0	0
Henry Hynoski	NYG	0	0	0	0	0	0	0	0	0
Darrel Young	WAS	0	0	0	0	0	0	0	0	0
Will Johnson	PIT	0	0	0	0	0	0	0	0	0
