PLAYER	TEAM	FP	PA	SACK	INT	FUMR	BLK	TO	INTTD	KRETTD	PRETTD
Pittsburgh Steelers	PIT	24.7	13.8	4.6	0.99	0.9	0.24	1.89	0.08	0.02	0.04
San Francisco 49ers	SF	23.4	14.6	4.2	1.68	1	0.2	2.68	0.06	0.03	0.09
New England Patriots	NE	22.7	15.1	4.7	1.42	1.01	0.22	2.44	0.07	0.05	0.11
Seattle Seahawks	SEA	16.4	16.5	3	0.9	1.02	0.21	1.92	0.09	0.05	0.03
Dallas Cowboys	DAL	15.5	24.5	4.7	1.15	1.19	0.19	2.35	0.08	0.05	0.01
Green Bay Packers	GB	14.9	21.4	2.9	1.68	0.81	0.22	2.49	0.04	0.07	0.1
Houston Texans	HOU	14.6	20.9	4.4	0.92	0.84	0.2	1.76	0.08	0.02	0.02
Buffalo Bills	BUF	13.7	21.1	2.5	1.31	1.2	0.22	2.5	0.2	0.03	0.12
San Diego Chargers	SD	13.1	21.9	2	1.57	1.2	0.2	2.77	0.12	0.08	0.07
Tennessee Titans	TEN	13	18.1	2.5	0.72	1.12	0.22	1.84	0.12	0.01	0.02
New York Giants	NYG	12.6	24.3	3.6	1.19	1.07	0.2	2.25	0.14	0.02	0.02
Atlanta Falcons	ATL	12	20.3	1.7	1.29	1.48	0.2	2.77	0.1	0.01	0
Detroit Lions	DET	11.2	25.1	3.8	0.72	1.15	0.22	1.87	0.22	0.04	0.02
New York Jets	NYJ	11.2	23	1.7	1.31	1.09	0.22	2.4	0.2	0.07	0.03
Cincinnati Bengals	CIN	11.1	22.8	2.7	0.7	1.07	0.22	1.77	0.13	0.03	0.03
Denver Broncos	DEN	10.8	21.8	2.3	0.79	0.82	0.21	1.62	0.24	0.01	0.15
St. Louis Rams	STL	10	26.8	3.6	0.83	0.94	0.2	1.77	0.16	0.03	0.01
Baltimore Ravens	BAL	10	19.9	1.6	0.94	0.74	0.24	1.69	0.11	0.02	0.04
Kansas City Chiefs	KC	9.7	24	1.5	0.98	1.2	0.21	2.18	0.08	0.03	0.07
New Orleans Saints	NO	9.6	24.9	2.3	1.04	0.8	0.2	1.84	0.08	0.05	0.02
Jacksonville Jaguars	JAC	9	22.3	2	0.91	0.68	0.24	1.54	0.09	0.01	0.01
Philadelphia Eagles	PHI	8.7	25.9	2.3	1.15	0.94	0.21	2.09	0.13	0.04	0.03
Cleveland Browns	CLE	7.6	25.3	2.5	0.65	0.9	0.25	1.55	0.14	0.05	0.05
Minnesota Vikings	MIN	6	32.4	2.9	0.53	0.84	0.19	1.37	0.29	0.13	0.01
Chicago Bears	CHI	5.8	27.8	1.5	0.99	0.95	0.23	1.94	0.15	0.05	0.12
Oakland Raiders	OAK	5.7	28.9	1.9	1.06	0.83	0.22	1.89	0.17	0.16	0.01
Arizona Cardinals	ARI	5.6	28	2.7	0.42	0.83	0.22	1.26	0.21	0.05	0.12
Washington Redskins	WAS	4.7	27.1	2.2	0.69	0.84	0.2	1.53	0.15	0.05	0.01
Carolina Panthers	CAR	4.5	34.3	1.6	0.94	0.72	0.17	1.66	0.15	0.18	0
Miami Dolphins	MIA	4	30.7	1.7	0.68	0.98	0.22	1.66	0.18	0.03	0.02
Tampa Bay Buccaneers	TB	3	30.5	1.4	0.75	0.65	0.2	1.4	0.2	0.04	0.01
Indianapolis Colts	IND	2.1	27.1	1.3	0.47	0.8	0.21	1.27	0.11	0.02	0.01
