PLAYER	TEAM	FP	SOLO	AST	SACK	FUMR	FORCE	INT	PD
DeMarcus Ware	DAL	9	3.1	0.8	1.72	0.09	0.22	0	0.1
DQwell Jackson	CLE	8.5	7	3.3	0.16	0.16	0.08	0.07	0.15
Patrick Willis	SF	8.5	5.7	1.9	0.41	0.21	0.4	0.02	0.56
Karlos Dansby	MIA	8.4	6.6	2	0.1	0.04	0.55	0.05	0.31
James Harrison	PIT	8.3	4.2	1.9	1	0.03	0.45	0.01	0.18
James Laurinaitis	STL	8.3	6.6	2.4	0.19	0.15	0.02	0.14	0.51
James Anderson	CAR	8.1	6.1	3.3	0.08	0.35	0.1	0.11	0.49
Ray Lewis	BAL	7.8	6.1	3.1	0.3	0.04	0.2	0.04	0.44
London Fletcher	WAS	7.5	5.8	4.8	0.1	0.07	0.23	0.13	0.48
Kevin Burnett	MIA	7.4	6.1	2.3	0.16	0.05	0.06	0.1	0.21
Donald Butler	SD	7	5.1	1.6	0.11	0.14	0.46	0.04	0.12
David Harris	NYJ	6.7	4.2	1.9	0.47	0.06	0.02	0.14	0.49
Clay Matthews	GB	6.7	3.4	1	0.61	0.04	0.31	0.11	0.37
Derrick Johnson	KC	6.6	5.4	2	0.09	0.06	0.13	0.07	0.63
LaMarr Woodley	PIT	6.4	2.5	1.6	0.82	0.21	0.11	0.09	0.27
Brian Cushing	HOU	6.3	4.3	3.3	0.33	0.02	0.29	0.07	0.31
D.J. Williams	DEN	6.2	4.7	2	0.27	0.06	0.18	0.01	0.33
Jon Beason	CAR	6.2	5.1	2.6	0.04	0.02	0.36	0.05	0.48
Curtis Lofton	NO	6.2	5.1	2.8	0.06	0.07	0.17	0.06	0.23
Rolando McClain	OAK	6.2	5.5	2.5	0.15	0.02	0.02	0.02	0.66
Aldon Smith	SF	6.2	1.8	0.4	1.25	0.08	0.14	0.01	0.18
Navorro Bowman	SF	6.1	5.1	1.7	0.12	0.16	0.02	0.01	0.28
Calvin Pace	NYJ	6	3.1	1.4	0.52	0.1	0.34	0.06	0.15
Lawrence Timmons	PIT	6	4.7	2.7	0.16	0.11	0.06	0.07	0.46
Sean Lee	DAL	6	4	2.2	0.07	0.06	0.11	0.23	0.27
Brian Urlacher	CHI	5.9	4.9	1.7	0.05	0.13	0.02	0.07	0.28
Jerod Mayo	NE	5.9	4	4	0.28	0.04	0.27	0.06	0.3
Daryl Washington	ARI	5.8	5	0.9	0.12	0.01	0.02	0.09	0.28
Nick Barnett	BUF	5.7	3.8	3.7	0.16	0.02	0.07	0.18	0.31
Tamba Hali	KC	5.7	2.5	1.3	0.72	0.06	0.36	0.01	0.08
Stephen Tulloch	DET	5.7	4.6	2.6	0.13	0.12	0.04	0.05	0.22
Sean Weatherspoon	ATL	5.7	4.4	2.4	0.33	0.09	0.02	0.01	0.43
Pat Angerer	IND	5.7	4.5	4.7	0.04	0.1	0.2	0.06	0.16
Paul Posluszny	JAC	5.6	4.8	3.6	0.11	0.02	0.06	0.06	0.29
Ryan Kerrigan	WAS	5.6	2.6	2.1	0.56	0.01	0.37	0.07	0.29
Anthony Spencer	DAL	5.5	3.2	1.4	0.47	0.01	0.33	0.01	0.06
Jamar Chaney	PHI	5.5	3.9	1.8	0.07	0.04	0.08	0.19	0.46
Lance Briggs	CHI	5.4	4.8	1.3	0.05	0.01	0.12	0.04	0.19
Von Miller	DEN	5.4	3	1	0.57	0.02	0.28	0.01	0.25
Daryl Smith	JAC	5.3	4.3	2.7	0.12	0.02	0.14	0.03	0.3
Luke Kuechly	CAR	5.3	4.1	1.9	0.1	0.1	0.24	0.02	0.23
Takeo Spikes	SD	5.1	4.5	3.2	0.04	0.04	0.01	0.07	0.2
Melvin Ingram	SD	5.1	4.1	1.6	0.09	0.08	0.17	0.01	0.14
Donta Hightower	NE	5.1	3.4	2.6	0.37	0.06	0.15	0.02	0.16
David Hawthorne	NO	5	3.8	2.3	0.08	0.1	0.05	0.08	0.26
Brooks Reed	HOU	5	2	1.3	0.72	0.18	0.17	0.01	0.11
Mason Foster	TB	5	3.7	2.4	0.17	0.09	0.08	0.07	0.12
Brian Orakpo	WAS	4.9	2.1	2.3	0.65	0.04	0.2	0.01	0.24
Cameron Wake	MIA	4.9	3	0.8	0.41	0.04	0.21	0.02	0.19
Brandon Spikes	NE	4.8	3.1	2.4	0.18	0.12	0.18	0.08	0.28
Nick Perry	GB	4.8	3.8	1.5	0.17	0.05	0.12	0.03	0.17
Scott Fujita	CLE	4.7	3.6	2.2	0.07	0.01	0.08	0.1	0.18
A.J. Hawk	GB	4.7	4.3	3	0.04	0.03	0.01	0.03	0.28
Quincy Black	TB	4.7	3.9	1.1	0.06	0.03	0.09	0.06	0.1
Rey Maualuga	CIN	4.7	3.8	2.9	0.03	0.06	0.21	0.04	0.1
Bart Scott	NYJ	4.6	3.1	1.1	0.28	0.11	0.09	0.01	0.1
Paris Lenon	ARI	4.5	4	2.3	0.07	0.03	0.02	0.02	0.18
Barrett Ruud	NO	4.5	3.8	2	0.04	0.01	0.14	0.06	0.24
Justin Durant	DET	4.4	3.7	1.6	0.12	0.09	0.05	0.01	0.05
Jo-Lonn Dunbar	STL	4.4	3.6	1.1	0.09	0.08	0.15	0.01	0.27
Pernell McPhee	BAL	4.4	2.2	1.2	0.55	0.07	0.11	0.01	0.12
Mychal Kendricks	PHI	4.4	3	1.1	0.23	0.1	0.09	0.04	0.18
Shaun Phillips	SD	4.3	2.8	1	0.26	0.04	0.02	0.08	0.26
Thomas Howard	CIN	4.3	3.7	2.2	0.05	0.04	0.17	0	0.12
DeAndre Levy	DET	4.3	3.8	2.5	0.05	0.02	0.04	0.04	0.06
Lavonte David	TB	4.1	3.3	1	0.1	0.06	0.07	0.02	0.14
Rocky McIntosh	STL	4	3.4	1.1	0.13	0.03	0.02	0.01	0.12
Elvis Dumervil	DEN	4	2	0.8	0.47	0.09	0.12	0	0.06
Ahmad Brooks	SF	4	1.8	0.8	0.63	0.02	0.08	0.01	0.18
Antwan Barnes	SD	4	1.9	0.4	0.44	0.02	0.34	0.01	0.05
Brian Rolle	PHI	3.8	2.6	1	0.11	0.17	0.15	0.02	0.31
Whitney Mercilus	HOU	3.8	2.5	1.2	0.25	0.04	0.14	0	0.13
Kavell Conner	IND	3.7	3	3.5	0.01	0.14	0.12	0.01	0.08
Justin Houston	KC	3.7	2.4	0.6	0.29	0.09	0.08	0.01	0.26
DeMeco Ryans	PHI	3.6	3.1	1.9	0.04	0.03	0.1	0.01	0.22
Stephen Nicholas	ATL	3.6	2.3	1.8	0.1	0.11	0.22	0.03	0.12
Dan Connor	DAL	3.6	3.2	1.7	0.03	0.03	0.12	0.01	0.04
Joe Mays	DEN	3.6	3.4	1	0.02	0.02	0.02	0.01	0.15
Jovan Belcher	KC	3.6	3.3	2.1	0.05	0.01	0.04	0.01	0.07
Geno Hayes	CHI	3.5	2.8	1.4	0.08	0.01	0.14	0.03	0.12
Jameel McClain	BAL	3.5	2.8	2.7	0.11	0.09	0.02	0.02	0.18
Bradie James	HOU	3.4	2.5	1.8	0.04	0.09	0.2	0.02	0.13
Wesley Woodyard	DEN	3.4	3.1	1.7	0.02	0.02	0.07	0.01	0.09
Bryan Thomas	NYJ	3.3	1.9	0.9	0.34	0.03	0.08	0.03	0.22
Philip Wheeler	OAK	3.3	3	1.6	0.06	0.01	0.01	0.01	0.05
Jarret Johnson	SD	3.2	2.6	1.4	0.05	0.04	0.1	0.01	0.08
Scott Shanle	NO	3.2	2.6	1.5	0.04	0.02	0.07	0.06	0.19
Sam Acho	ARI	3.2	1.7	0.4	0.3	0.05	0.22	0	0.09
Courtney Upshaw	BAL	3.1	2.2	1.2	0.17	0.05	0.14	0	0.07
Koa Misi	MIA	3	2.2	1.5	0.1	0.12	0.02	0.02	0.09
Mario Haggan	STL	2.8	1.7	0.6	0.11	0.1	0.09	0.05	0.07
Jonathan Vilma	NO	2.8	2.3	1.1	0.02	0.06	0.06	0.02	0.08
Parys Haralson	SF	2.8	1.5	0.6	0.22	0.04	0.22	0.01	0.05
Robert Ayers	DEN	2.8	1.8	1	0.19	0.05	0.1	0	0.1
Demario Davis	NYJ	2.8	2.4	1.1	0.1	0.01	0.02	0.01	0.12
Manny Lawson	CIN	2.7	2.2	1.5	0.08	0.03	0.02	0.01	0.18
Jason Worilds	PIT	2.7	1.4	0.9	0.28	0.06	0.14	0.01	0.05
Perry Riley	WAS	2.7	1.9	2.3	0.08	0.16	0.01	0.01	0.21
Clint Session	JAC	2.6	2.3	1.6	0	0.01	0.14	0	0.02
Brandon Siler	KC	2.5	2	1.1	0.04	0.01	0	0.06	0.24
