PLAYER	TEAM	FP	SOLO	AST	SACK	FUMR	FORCE	INT	PD
DQwell Jackson	CLE	9.2	7.5	3.6	0.21	0.24	0.1	0.05	0.16
DeMarcus Ware	DAL	8.8	3.2	0.8	1.55	0.11	0.27	0	0.09
James Laurinaitis	STL	8.6	6.4	2.3	0.34	0.12	0.01	0.16	0.42
Patrick Willis	SF	8.4	5.8	2.2	0.25	0.2	0.46	0.04	0.57
Karlos Dansby	MIA	8.1	5.9	1.7	0.21	0.04	0.52	0.06	0.34
James Anderson	CAR	8	6.5	3.8	0.08	0.2	0.08	0.08	0.38
Ray Lewis	BAL	7.8	5.6	2.4	0.41	0.04	0.18	0.08	0.47
London Fletcher	WAS	7.6	6	3.7	0.06	0.08	0.25	0.15	0.44
Kevin Burnett	MIA	7.3	5.5	2.2	0.35	0.04	0.06	0.1	0.27
Derrick Johnson	KC	7.1	5.6	2.1	0.1	0.08	0.17	0.11	0.55
Chad Greenway	MIN	7	6.6	3.9	0.05	0.06	0.04	0	0.12
Clay Matthews	GB	6.9	3.5	1.2	0.6	0.02	0.34	0.13	0.38
Donald Butler	SD	6.6	4.8	1.5	0.16	0.1	0.37	0.06	0.11
Tamba Hali	KC	6.5	2.6	1.3	0.9	0.07	0.41	0.01	0.05
Daryl Washington	ARI	6.5	4.6	0.8	0.33	0.01	0.03	0.16	0.28
Brian Urlacher	CHI	6.4	5.3	1.9	0.05	0.15	0.02	0.08	0.27
Von Miller	DEN	6.4	3.6	1.2	0.56	0.03	0.45	0.01	0.26
David Harris	NYJ	6.3	3.8	1.9	0.48	0.04	0.01	0.15	0.5
Jerod Mayo	NE	6.2	4.4	3.8	0.1	0.1	0.34	0.09	0.29
Sean Weatherspoon	ATL	6.1	5	2.7	0.26	0.08	0.02	0.01	0.34
Navorro Bowman	SF	6.1	5.1	2	0.1	0.2	0.02	0.01	0.28
Cameron Wake	MIA	6	2.7	0.6	0.86	0.04	0.22	0.01	0.24
Daryl Smith	JAC	5.9	4.6	2.3	0.18	0.02	0.2	0.06	0.47
Jon Beason	CAR	5.9	5.2	2.6	0.07	0.01	0.14	0.05	0.4
Rolando McClain	OAK	5.9	5.5	2.3	0.12	0.02	0.01	0.01	0.58
Lance Briggs	CHI	5.8	5	1.5	0.04	0.02	0.15	0.05	0.2
Leroy Hill	SEA	5.8	4.1	1.6	0.42	0.02	0.15	0.01	0.03
Paul Posluszny	JAC	5.8	4.8	3.2	0.1	0.02	0.07	0.08	0.44
Curtis Lofton	NO	5.8	4.9	2.8	0.09	0.06	0.12	0.03	0.17
Calvin Pace	NYJ	5.7	3	1.3	0.62	0.04	0.26	0.04	0.16
Michael Boley	NYG	5.6	4.3	1.8	0.14	0.15	0.07	0.03	0.22
Ryan Kerrigan	WAS	5.6	2.9	1.6	0.37	0.03	0.5	0.09	0.18
Stephen Tulloch	DET	5.5	4.1	2.3	0.23	0.12	0.04	0.06	0.31
Sean Lee	DAL	5.5	4	2.3	0.07	0.06	0.12	0.12	0.29
Colin McCarthy	TEN	5.5	4.4	1.6	0.01	0.16	0.2	0.05	0.18
Nick Barnett	BUF	5.4	4.2	4.1	0.07	0.01	0.08	0.13	0.28
Anthony Spencer	DAL	5.4	3.2	1.3	0.4	0.02	0.4	0	0.08
Brian Cushing	HOU	5.4	3.8	2.8	0.31	0.01	0.13	0.07	0.38
Jamar Chaney	PHI	5.4	4.3	1.8	0.04	0.02	0.07	0.14	0.47
A.J. Hawk	GB	5.3	4.9	3.7	0.04	0.02	0.01	0.05	0.26
Aldon Smith	SF	5.2	1.9	0.4	0.85	0.08	0.21	0.01	0.18
Luke Kuechly	CAR	5.2	4.4	2.2	0.1	0.05	0.11	0.01	0.18
Erin Henderson	MIN	5	4.1	3.1	0.1	0.06	0.2	0	0.11
Mason Foster	TB	5	3.4	2.1	0.25	0.1	0.09	0.07	0.12
Nick Perry	GB	5	4.1	1.9	0.16	0.05	0.08	0.02	0.16
Takeo Spikes	SD	4.9	4.4	3.1	0.03	0.02	0.02	0.06	0.24
Scott Fujita	CLE	4.9	3.8	2.3	0.08	0.02	0.1	0.07	0.22
Quincy Black	TB	4.9	3.7	0.9	0.08	0.05	0.16	0.1	0.14
Brandon Spikes	NE	4.9	3.4	2.5	0.07	0.13	0.22	0.09	0.27
Melvin Ingram	SD	4.9	4	1.5	0.12	0.04	0.13	0.01	0.18
Donta Hightower	NE	4.9	3.7	2.6	0.14	0.06	0.21	0.02	0.17
Paris Lenon	ARI	4.8	3.7	2	0.22	0.04	0.04	0.04	0.18
Kamerion Wimbley	TEN	4.8	3.8	1.2	0.24	0.01	0.05	0.01	0.1
Rey Maualuga	CIN	4.8	3.6	2.8	0.04	0.08	0.32	0.04	0.09
Shaun Phillips	SD	4.6	2.8	1.1	0.39	0.04	0.01	0.08	0.31
Elvis Dumervil	DEN	4.6	2.4	1	0.48	0.1	0.15	0.01	0.06
David Hawthorne	NO	4.6	3.8	2.2	0.09	0.07	0.04	0.04	0.18
Brian Orakpo	WAS	4.6	2.3	1.8	0.44	0.08	0.19	0.02	0.22
Sam Acho	ARI	4.6	1.6	0.3	0.7	0.06	0.34	0.01	0.1
Pernell McPhee	BAL	4.6	2	1	0.72	0.07	0.11	0.01	0.14
Bart Scott	NYJ	4.5	2.9	1.2	0.34	0.09	0.09	0.01	0.1
Thomas Howard	CIN	4.5	3.6	2.2	0.08	0.06	0.23	0.01	0.1
Keith Rivers	NYG	4.5	4	1.7	0.12	0.01	0.01	0.01	0.15
Joe Mays	DEN	4.5	4.2	1.3	0.02	0.03	0.01	0.01	0.15
Antwan Barnes	SD	4.4	1.8	0.4	0.64	0.02	0.27	0.01	0.05
Jo-Lonn Dunbar	STL	4.4	3.5	1.1	0.14	0.07	0.12	0.01	0.24
Justin Durant	DET	4.3	3.2	1.5	0.2	0.08	0.05	0.01	0.07
K.J. Wright	SEA	4.3	3	1.2	0.19	0.11	0.15	0.01	0.09
Barrett Ruud	NO	4.2	3.7	1.9	0.04	0.02	0.1	0.02	0.19
Wesley Woodyard	DEN	4.2	3.8	1.9	0.02	0.03	0.11	0	0.09
Akeem Ayers	TEN	4.2	3.4	2.1	0.1	0.07	0.1	0.01	0.09
Rocky McIntosh	STL	4.1	3.3	1	0.22	0.02	0.03	0.01	0.09
DeAndre Levy	DET	4.1	3.3	2.3	0.08	0.02	0.05	0.05	0.09
Justin Houston	KC	4.1	2.3	0.6	0.41	0.09	0.1	0.01	0.24
Will Witherspoon	TEN	4	3	1.6	0.09	0.11	0.09	0.04	0.18
Brooks Reed	HOU	4	1.7	1.1	0.65	0.08	0.08	0.01	0.15
Mychal Kendricks	PHI	4	3.1	0.9	0.11	0.07	0.08	0.03	0.16
Bobby Wagner	SEA	4	3	1.4	0.13	0.09	0.14	0.01	0.12
Zach Brown	TEN	4	3.5	1.5	0.06	0.04	0.1	0.01	0.1
Lavonte David	TB	4	3.1	1	0.14	0.07	0.06	0.02	0.15
DeMeco Ryans	PHI	3.8	3.4	1.7	0.02	0.02	0.11	0.01	0.19
Geno Hayes	CHI	3.8	3	1.5	0.06	0.01	0.12	0.05	0.14
Brian Rolle	PHI	3.8	3	0.9	0.03	0.16	0.13	0.01	0.32
Stephen Nicholas	ATL	3.7	2.7	2	0.08	0.09	0.21	0.02	0.12
Dan Connor	DAL	3.7	3.3	1.6	0.04	0.02	0.14	0	0.03
Jovan Belcher	KC	3.7	3.4	2.1	0.07	0.01	0.03	0.01	0.05
Philip Wheeler	OAK	3.6	3.3	1.4	0.04	0.02	0.02	0.02	0.03
Jacquian Williams	NYG	3.5	2.8	0.9	0.05	0.16	0.01	0.01	0.23
Chase Blackburn	NYG	3.4	2.2	1.4	0.03	0.11	0.02	0.15	0.17
Ahmad Brooks	SF	3.4	1.9	0.9	0.39	0.02	0.07	0.01	0.13
Jameel McClain	BAL	3.3	2.6	2.3	0.12	0.08	0.01	0.03	0.24
Robert Ayers	DEN	3.3	2.1	1.2	0.2	0.07	0.17	0	0.1
Bryan Thomas	NYJ	3.2	1.8	1	0.38	0.02	0.05	0.02	0.16
Whitney Mercilus	HOU	3.2	2.2	1	0.21	0.03	0.06	0.02	0.18
Jarret Johnson	SD	3.1	2.6	1.3	0.08	0.03	0.06	0.01	0.07
Mario Haggan	STL	3.1	1.7	0.6	0.19	0.09	0.06	0.07	0.06
Scott Shanle	NO	3	2.6	1.5	0.06	0.02	0.06	0.02	0.16
Koa Misi	MIA	3	2	1.4	0.17	0.12	0.02	0.01	0.11
Courtney Upshaw	BAL	2.9	1.9	0.9	0.22	0.04	0.12	0.01	0.05
Jonathan Vilma	NO	2.8	2.4	1.1	0.04	0.05	0.04	0.01	0.06
Manny Lawson	CIN	2.8	2.2	1.6	0.12	0.03	0.04	0	0.2
Parys Haralson	SF	2.8	1.6	0.6	0.15	0.05	0.22	0.01	0.05
Perry Riley	WAS	2.8	2.1	2.1	0.04	0.18	0.01	0.01	0.2
Demario Davis	NYJ	2.8	2.3	1.1	0.12	0.02	0.03	0.01	0.12
Brandon Siler	KC	2.7	2	1.1	0.05	0.01	0.01	0.08	0.23
Larry English	SD	2.7	1.1	0.4	0.48	0.02	0.02	0	0.03
James-Michael Johnson	CLE	2.7	2.1	1.2	0.08	0.06	0.08	0	0.09
Bradie James	HOU	2.6	2.1	1.5	0.04	0.05	0.1	0.02	0.13
OBrien Schofield	ARI	2.6	1	0.2	0.4	0.01	0.21	0	0.04
Keith Brooking	DEN	2.5	2.4	1.3	0.01	0.01	0.01	0	0.16
Jonathan Casillas	NO	2.5	1.9	0.9	0.18	0.02	0.01	0.01	0.09
Russell Allen	JAC	2.4	1.7	1	0.02	0.03	0.16	0.05	0.12
Kelvin Sheppard	BUF	2.4	2.1	1.5	0.01	0.06	0.01	0.01	0.06
Mike Peterson	ATL	2.3	1.6	1.1	0.02	0.05	0.05	0.08	0.18
Sergio Kindle	BAL	2.2	1.1	0.5	0.31	0.01	0.01	0	0.07
D.J. Smith	GB	2.2	1.8	0.8	0.03	0.01	0.02	0.04	0.04
Erik Walden	GB	2.1	1.9	1.1	0	0.02	0.02	0.03	0.1
Jasper Brinkley	MIN	1.9	1.5	0.9	0.04	0.04	0.04	0.01	0.03
Casey Matthews	PHI	1.9	1.6	0.6	0.03	0.02	0.01	0.01	0.06
Kaluka Maiava	CLE	1.8	1.4	0.2	0.02	0.02	0.12	0.01	0.04
