PLAYER	TEAM	FP	REC	RECYD	YPR	RECTD	FUML
Julio Jones	ATL	13	4.8	87	18	0.67	0.05
Demaryius Thomas	DEN	12.6	4.6	89	19.3	0.62	0.05
Greg Jennings	GB	11.2	5	70	14	0.71	0.04
Steve Johnson	BUF	11.1	5.5	79	14.5	0.54	0.04
Mike Wallace	PIT	10.8	4.1	66	16.1	0.59	0.04
Hakeem Nicks	NYG	10.7	4.5	69	15.5	0.64	0.04
Eric Decker	DEN	10.7	4.4	71	16.2	0.61	0.08
Jordy Nelson	GB	10.4	4.4	68	15.7	0.6	0.06
Larry Fitzgerald	ARI	10.3	5.1	80	15.6	0.4	0.04
Malcom Floyd	SD	10.1	3.8	71	18.8	0.51	0.03
Steve Smith	CAR	9.8	5.3	83	15.8	0.28	0.12
Percy Harvin	MIN	9.8	4.9	50	10.3	0.24	0.08
Brandon Lloyd	NE	9.5	4.6	71	15.3	0.43	0.05
Roddy White	ATL	9.4	5.4	73	13.5	0.36	0.04
A.J. Green	CIN	9.3	5.1	74	14.6	0.28	0.04
Brandon Marshall	CHI	9.2	5.6	70	12.5	0.39	0.06
Marques Colston	NO	9.2	5.4	70	13	0.38	0.05
Victor Cruz	NYG	9.2	4.1	66	16.1	0.44	0.03
Torrey Smith	BAL	9.2	3.4	64	18.8	0.46	0.03
Reggie Wayne	IND	9.1	5.4	74	13.7	0.3	0.06
Pierre Garcon	WAS	9.1	4.9	64	13.2	0.46	0.05
Lance Moore	NO	9	4.2	54	12.9	0.6	0.04
Andre Johnson	HOU	8.8	4.6	67	14.8	0.35	0.04
Anquan Boldin	BAL	8.6	3.7	61	16.5	0.42	0.04
Kenny Britt	TEN	8.6	4.1	68	16.7	0.33	0.1
Antonio Brown	PIT	8.3	3.9	61	15.5	0.26	0.08
Jeremy Maclin	PHI	7.4	4.7	58	12.5	0.26	0.04
Wes Welker	NE	7.1	4.6	50	11	0.35	0.05
DeSean Jackson	PHI	6.9	3.5	58	16.6	0.17	0.08
Dwayne Bowe	KC	6.8	3.9	57	14.6	0.18	0.03
Michael Crabtree	SF	6.7	3.7	47	12.9	0.35	0.04
