PLAYER	TEAM	FP	SOLO	AST	SACK	FUMR	FORCE	INT	PD
Patrick Willis	SF	8.7	5.6	1.8	0.47	0.19	0.38	0.05	0.58
DQwell Jackson	CLE	8.5	6.9	3.4	0.2	0.19	0.08	0.07	0.14
Karlos Dansby	MIA	8.3	6.6	2	0.17	0.03	0.46	0.03	0.23
Tamba Hali	KC	8.3	2.4	1.3	1.57	0.08	0.43	0.01	0.06
Ray Lewis	BAL	8.1	5.5	2.8	0.44	0.05	0.23	0.1	0.44
James Laurinaitis	STL	8	6.3	3.1	0.16	0.16	0.02	0.15	0.41
James Anderson	CAR	7.8	6.4	3.5	0.1	0.17	0.05	0.08	0.48
James Harrison	PIT	7.6	4.3	2	0.77	0.04	0.39	0.02	0.18
Kevin Burnett	MIA	7.5	6.1	2.4	0.28	0.04	0.04	0.05	0.18
London Fletcher	WAS	7.3	5.8	5	0.12	0.07	0.24	0.08	0.54
Chad Greenway	MIN	7.1	6.3	3.9	0.15	0.08	0.02	0	0.12
Sean Weatherspoon	ATL	7.1	6	3.1	0.24	0.07	0.01	0.02	0.46
Derrick Johnson	KC	7	5.2	2	0.21	0.08	0.16	0.08	0.57
Aldon Smith	SF	7	1.8	0.4	1.51	0.08	0.15	0.01	0.18
DeMarcus Ware	DAL	6.8	3.6	0.9	0.81	0.1	0.18	0	0.07
Donald Butler	SD	6.8	4.8	1.5	0.21	0.12	0.37	0.04	0.14
David Harris	NYJ	6.6	4.3	2	0.43	0.07	0.02	0.14	0.43
D.J. Williams	DEN	6.5	4.9	2.4	0.22	0.11	0.21	0.01	0.29
Clay Matthews	GB	6.4	3.1	1.1	0.57	0.02	0.38	0.13	0.49
Calvin Pace	NYJ	6.2	3.3	1.4	0.54	0.09	0.39	0.04	0.12
LaMarr Woodley	PIT	6.2	2.5	1.7	0.62	0.2	0.09	0.16	0.26
Brian Cushing	HOU	6.2	4.7	3.3	0.17	0.02	0.26	0.07	0.25
Daryl Washington	ARI	6.2	4.6	0.9	0.33	0.01	0.02	0.1	0.26
Brian Urlacher	CHI	6.1	4.8	1.8	0.09	0.12	0.03	0.13	0.37
Jon Beason	CAR	6.1	5.3	2.6	0.05	0.01	0.2	0.04	0.5
Sean Lee	DAL	6.1	4.4	2.6	0.03	0.04	0.1	0.2	0.29
Daryl Smith	JAC	5.9	4.2	2.1	0.2	0.04	0.26	0.06	0.47
Curtis Lofton	NO	5.9	5	2.8	0.05	0.07	0.13	0.04	0.26
Cameron Wake	MIA	5.9	3	0.7	0.77	0.03	0.18	0.01	0.18
Rolando McClain	OAK	5.9	5.2	2.4	0.13	0.03	0.02	0.02	0.55
Navorro Bowman	SF	5.9	5	1.7	0.13	0.16	0.02	0.01	0.24
Ryan Kerrigan	WAS	5.9	2.7	2.1	0.62	0.02	0.36	0.07	0.24
Michael Boley	NYG	5.8	4.9	1.8	0.09	0.09	0.05	0.06	0.2
Lawrence Timmons	PIT	5.8	4.6	2.7	0.12	0.08	0.04	0.08	0.34
Paul Posluszny	JAC	5.8	4.6	3	0.16	0.04	0.09	0.08	0.47
Jerod Mayo	NE	5.8	4.5	4.5	0.12	0.04	0.25	0.06	0.26
Stephen Tulloch	DET	5.7	4.7	2.5	0.14	0.08	0.03	0.04	0.18
Justin Houston	KC	5.7	2.3	0.6	0.92	0.1	0.11	0.01	0.22
Colin McCarthy	TEN	5.5	4	1.5	0.03	0.15	0.17	0.09	0.19
Lance Briggs	CHI	5.4	4.6	1.4	0.06	0.01	0.13	0.06	0.24
Jamar Chaney	PHI	5.4	4	2	0.04	0.03	0.1	0.17	0.5
Von Miller	DEN	5.3	3.1	1.1	0.47	0.02	0.32	0.01	0.22
Nick Barnett	BUF	5.2	3.7	3.8	0.13	0.02	0.1	0.12	0.3
Brian Orakpo	WAS	5.2	2.1	2.3	0.73	0.05	0.22	0.01	0.25
Luke Kuechly	CAR	5.2	4.4	2	0.12	0.04	0.15	0.02	0.2
Kamerion Wimbley	TEN	5.1	3.4	1.1	0.46	0.01	0.06	0.04	0.1
Erin Henderson	MIN	5.1	3.9	3.3	0.18	0.07	0.23	0	0.07
Pernell McPhee	BAL	5.1	1.9	1.2	0.82	0.11	0.13	0.01	0.15
Shaun Phillips	SD	5	2.7	1	0.54	0.04	0.02	0.08	0.36
Scott Fujita	CLE	4.9	3.5	2.2	0.1	0.01	0.12	0.12	0.19
Leroy Hill	SEA	4.9	3.4	1.6	0.38	0.02	0.12	0.01	0.06
A.J. Hawk	GB	4.9	4.3	3.2	0.05	0.02	0.01	0.06	0.31
Quincy Black	TB	4.9	4	1	0.04	0.03	0.16	0.07	0.12
Mason Foster	TB	4.9	3.7	2.2	0.13	0.08	0.1	0.06	0.09
Melvin Ingram	SD	4.9	3.9	1.4	0.16	0.07	0.13	0.01	0.18
Bart Scott	NYJ	4.8	3.2	1.2	0.29	0.13	0.1	0.01	0.08
Anthony Spencer	DAL	4.8	3.3	1.5	0.2	0.03	0.32	0.01	0.05
Justin Durant	DET	4.8	4	1.5	0.1	0.1	0.06	0.01	0.04
Antwan Barnes	SD	4.8	1.7	0.3	0.79	0.02	0.28	0.01	0.06
Donta Hightower	NE	4.8	3.8	2.9	0.18	0.06	0.14	0.02	0.14
Takeo Spikes	SD	4.7	4.2	3.1	0.06	0.02	0.01	0.06	0.24
Paris Lenon	ARI	4.7	3.8	2.2	0.19	0.04	0.02	0.03	0.16
David Hawthorne	NO	4.7	3.8	2.1	0.08	0.07	0.04	0.06	0.22
