PLAYER	TEAM	FP	RUSH	RUSHYD	YPC	RUSHTD	REC	RECYD	RECTD	FUML
Arian Foster	HOU	22	21.9	113	5.14	1	4.7	40	0.22	0.26
DeMarco Murray	DAL	16.7	19.4	102	5.24	0.58	3.4	24	0.16	0.2
Ryan Mathews	SD	16.4	19.1	91	4.77	0.72	3.4	27	0.13	0.27
Darren McFadden	OAK	15.7	17.4	84	4.85	0.6	3.8	30	0.16	0.18
LeSean McCoy	PHI	14.2	15.6	65	4.17	0.62	4	30	0.22	0.18
Maurice Jones-Drew	JAC	14.1	19.2	87	4.54	0.37	3.1	25	0.18	0.2
Shonn Greene	NYJ	13.8	18.8	86	4.56	0.69	1.6	12	0.04	0.19
Trent Richardson	CLE	13.7	16.7	74	4.42	0.49	2.8	27	0.17	0.18
Adrian Peterson	MIN	12.9	14.6	71	4.85	0.64	1.9	17	0.1	0.16
Ahmad Bradshaw	NYG	12.9	16.5	66	4.01	0.55	3.2	26	0.13	0.18
Willis McGahee	DEN	12.7	17.3	76	4.4	0.61	1.3	9	0.16	0.22
Ray Rice	BAL	12.4	16.3	59	3.62	0.46	4.1	33	0.14	0.18
Matt Forte	CHI	12.2	13.8	60	4.34	0.41	3.4	32	0.14	0.15
Reggie Bush	MIA	11.7	13.7	59	4.3	0.39	4.3	28	0.16	0.17
Doug Martin	TB	11.7	15.6	59	3.78	0.42	3	27	0.14	0.14
Michael Turner	ATL	11.5	15.3	72	4.69	0.63	0.8	7	0.03	0.15
Frank Gore	SF	11.4	14.9	66	4.42	0.52	1.8	15	0.07	0.15
Darren Sproles	NO	11.4	3.9	18	4.57	0.13	6.3	54	0.31	0.15
Kevin Smith	DET	11.3	8.8	50	5.65	0.43	2.4	21	0.3	0.11
Alfred Morris	WAS	11	15.1	69	4.54	0.56	0.8	8	0.04	0.14
Marshawn Lynch	SEA	10.9	16.3	65	3.98	0.49	2.1	13	0.08	0.16
Steven Jackson	STL	10.7	15.6	55	3.54	0.3	3.6	28	0.14	0.16
Donald Brown	IND	10.3	13.8	58	4.2	0.41	2.4	18	0.07	0.13
Chris Johnson	TEN	10.2	15	57	3.79	0.34	2.9	22	0.1	0.16
C.J. Spiller	BUF	10.1	10.1	49	4.85	0.45	3	17	0.13	0.18
Fred Jackson	BUF	9.7	11.7	47	3.99	0.34	3	25	0.12	0.13
Jamaal Charles	KC	9.6	11.9	55	4.65	0.32	2.2	16	0.13	0.14
BenJarvus Green-Ellis	CIN	9.3	13.7	57	4.16	0.48	0.7	7	0.04	0.12
Jonathan Stewart	CAR	9.2	9.3	43	4.65	0.26	2.9	26	0.15	0.11
Stevan Ridley	NE	9	18.6	61	3.27	0.39	1	8	0.02	0.18
Michael Bush	CHI	8.7	10.3	44	4.28	0.39	2	18	0.06	0.09
DeAngelo Williams	CAR	8.4	9.6	49	5.05	0.38	1.2	11	0.06	0.08
Pierre Thomas	NO	8.3	6.6	29	4.39	0.23	3.6	29	0.17	0.07
Ben Tate	HOU	8.1	9.7	50	5.17	0.35	1.2	9	0.05	0.12
Peyton Hillis	KC	6.7	10.6	40	3.72	0.3	1.5	9	0.05	0.16
Beanie Wells	ARI	6.7	11.4	45	3.94	0.32	0.5	4	0.01	0.09
Rashad Jennings	JAC	6.7	6.4	33	5.09	0.23	1.9	17	0.08	0.09
Knowshon Moreno	DEN	6.1	5.4	21	3.97	0.16	1.7	19	0.21	0.11
Rashard Mendenhall	PIT	6	11	33	2.96	0.32	1.1	8	0.04	0.11
Kendall Hunter	SF	6	7.9	35	4.49	0.23	0.9	9	0.04	0.08
Cedric Benson	GB	5.9	13.3	36	2.75	0.27	1	6	0.04	0.14
Mark Ingram	NO	5.8	11.1	34	3.1	0.3	1	6	0.03	0.12
Mikel LeShoure	DET	5.7	7.5	33	4.44	0.27	0.9	6	0.05	0.09
Shaun Draughn	KC	5.6	3.8	28	7.34	0.37	0.7	6	0.03	0.06
Jahvid Best	DET	4.6	4.4	18	4.21	0.14	2.5	16	0.09	0.06
Marcel Reece	OAK	4.5	3.2	14	4.32	0.07	2	22	0.11	0.1
Mike Goodson	OAK	4.5	4.5	21	4.73	0.16	1.4	12	0.07	0.08
Daryl Richardson	STL	4.5	6.8	27	3.93	0.2	0.7	6	0.03	0.07
Toby Gerhart	MIN	4.4	5.3	21	3.92	0.11	1.4	12	0.09	0.06
Roy Helu	WAS	4.3	3.8	15	3.97	0.08	2.5	16	0.13	0.05
