PLAYER	TEAM	FP	SOLO	AST	SACK	FUMR	FORCE	INT	PD
DQwell Jackson	CLE	8.7	7.2	3.5	0.17	0.18	0.07	0.09	0.17
James Anderson	CAR	8.2	6.2	3.3	0.18	0.26	0.07	0.1	0.44
Karlos Dansby	MIA	8.1	6.7	2	0.09	0.02	0.41	0.05	0.3
Clay Matthews	GB	8	3.3	1	1.13	0.03	0.31	0.1	0.36
Patrick Willis	SF	7.9	5.7	1.9	0.17	0.21	0.33	0.07	0.56
James Laurinaitis	STL	7.8	5.6	2	0.3	0.13	0.01	0.18	0.62
Ray Lewis	BAL	7.7	6.1	3	0.26	0.04	0.19	0.06	0.42
James Harrison	PIT	7.7	4.2	2	0.81	0.04	0.38	0.02	0.17
Tamba Hali	KC	7.6	2.6	1.4	1.19	0.1	0.51	0.01	0.07
Kevin Burnett	MIA	7.4	6.2	2.5	0.18	0.04	0.04	0.07	0.21
Derrick Johnson	KC	7.1	5.6	2.2	0.15	0.09	0.19	0.07	0.64
Von Miller	DEN	6.9	4.1	1.5	0.61	0.02	0.42	0.01	0.22
Sean Weatherspoon	ATL	6.8	5.1	2.7	0.45	0.08	0.01	0.02	0.36
Donald Butler	SD	6.8	5.4	1.6	0.1	0.08	0.31	0.05	0.09
London Fletcher	WAS	6.7	5.6	4.7	0.06	0.04	0.16	0.09	0.56
LaMarr Woodley	PIT	6.5	2.5	1.7	0.71	0.23	0.11	0.16	0.3
Daryl Washington	ARI	6.4	4.8	0.9	0.33	0.01	0.02	0.1	0.31
Brian Cushing	HOU	6.3	4.4	3.2	0.27	0.02	0.33	0.08	0.29
Brian Urlacher	CHI	6.2	5	1.8	0.06	0.17	0.02	0.08	0.34
Chad Greenway	MIN	6.2	5.6	3.6	0.14	0.04	0.01	0.01	0.15
Lawrence Timmons	PIT	6.1	4.7	2.7	0.16	0.09	0.05	0.08	0.36
Jon Beason	CAR	6	5	2.4	0.06	0.01	0.26	0.04	0.39
David Harris	NYJ	5.9	4.2	2.1	0.22	0.05	0.01	0.13	0.47
Daryl Smith	JAC	5.8	4.3	2.1	0.27	0.03	0.24	0.03	0.38
Paul Posluszny	JAC	5.8	4.5	2.9	0.25	0.03	0.08	0.06	0.4
Jerod Mayo	NE	5.8	4.4	4.4	0.12	0.06	0.32	0.05	0.22
