PLAYER	TEAM	FP	REC	RECYD	YPR	RECTD	FUML
Jimmy Graham	NO	12.6	6	80	13.2	0.8	0.06
Rob Gronkowski	NE	10.8	4.4	66	15.1	0.7	0.04
Antonio Gates	SD	10.4	4.8	64	13.4	0.68	0.04
Jason Witten	DAL	8.8	5.6	62	11	0.45	0.05
Tony Gonzalez	ATL	8.2	4.7	57	12	0.44	0.05
Jermichael Finley	GB	7.6	3.4	47	14.1	0.49	0.03
Aaron Hernandez	NE	7.6	3.8	42	11.1	0.32	0.04
Jermaine Gresham	CIN	6.6	4.7	48	10.1	0.32	0.06
Fred Davis	WAS	6.5	4	51	12.7	0.25	0.03
Dustin Keller	NYJ	6.1	3.6	48	13.5	0.22	0.04
Coby Fleener	IND	6.1	3.8	42	11.1	0.34	0.04
Jacob Tamme	DEN	6	3.8	43	11.2	0.31	0.04
Vernon Davis	SF	5.8	3.4	43	12.8	0.28	0.05
Brent Celek	PHI	5.3	3.1	38	12.2	0.25	0.03
Brandon Pettigrew	DET	5.2	4.4	37	8.5	0.25	0.04
Dwayne Allen	IND	5.1	3.1	34	11	0.29	0.03
Dallas Clark	TB	4.9	3.4	37	10.9	0.21	0.05
Heath Miller	PIT	4.7	3.6	39	11	0.13	0.03
Greg Olsen	CAR	4.7	3.1	35	11.5	0.21	0.05
Martellus Bennett	NYG	4.4	3.4	33	9.6	0.2	0.03
Owen Daniels	HOU	4.3	2.9	33	11.4	0.17	0.03
Kyle Rudolph	MIN	4.2	2.7	32	11.8	0.18	0.02
Benjamin Watson	CLE	4.1	2.9	33	11.4	0.15	0.03
Jed Collins	NO	4.1	2.2	23	10.5	0.31	0.02
Anthony Fasano	MIA	3.9	2.4	31	12.9	0.13	0.01
Ed Dickson	BAL	3.9	2.6	27	10.5	0.21	0.03
Tony Moeaki	KC	3.9	2.6	30	11.7	0.15	0.02
Joel Dreessen	DEN	3.8	2	28	13.9	0.17	0.02
Scott Chandler	BUF	3.7	2	22	11.5	0.26	0.03
Jared Cook	TEN	3.7	2.3	32	14.1	0.09	0.03
Marcedes Lewis	JAC	3.6	2.6	27	10.5	0.15	0.02
Tony Scheffler	DET	3.5	1.8	20	11	0.26	0.03
Lance Kendricks	STL	3.2	2.2	28	12.9	0.1	0.05
Dennis Pitta	BAL	3.1	2.2	23	10.6	0.15	0.02
Michael Palmer	ATL	3.1	1.6	18	11.3	0.22	0.02
Todd Heap	ARI	2.7	2	24	12	0.07	0.01
Travis Beckum	NYG	2.5	1.4	16	11.1	0.16	0.01
Kellen Davis	CHI	2.4	1.4	14	10.1	0.16	0.01
Clay Harbor	PHI	2.4	1.4	15	10.6	0.15	0.02
Zach Miller	SEA	2.3	2.3	19	8	0.08	0.02
Kevin Boss	KC	2.2	1.4	17	11.7	0.09	0.01
John Carlson	MIN	2	1.5	16	10.3	0.08	0.02
Luke Stocker	TB	1.9	1.7	15	8.8	0.08	0.01
Charles Clay	MIA	1.9	1.5	14	9.5	0.09	0.02
Craig Stevens	TEN	1.8	1.3	13	10.2	0.1	0.01
Rob Housler	ARI	1.8	1.7	16	9.1	0.07	0.1
Randy McMichael	SD	1.7	1.5	13	8.9	0.06	0.02
Delanie Walker	SF	1.7	1.1	13	11.5	0.07	0.02
Donald Lee	CIN	1.6	1.2	13	10.7	0.07	0.02
James Casey	HOU	1.5	1.2	11	8.8	0.06	0.01
Evan Moore	SEA	1.5	0.9	9	10.8	0.1	0
Brandon Myers	OAK	1.4	1.2	11	8.8	0.06	0.02
Leonard Pope	PIT	1.3	1.1	11	9.8	0.04	0.01
Matt Spaeth	CHI	1.2	0.8	7	9.2	0.08	0.01
John Phillips	DAL	1.1	0.7	7	9	0.07	0.01
Jeff Cumberland	NYJ	1	1	9	8.9	0.03	0.01
Visanthe Shiancoe	NE	0.8	0.6	6	10.6	0.04	0
Daniel Fells	NE	0.8	0.4	5	11.3	0.05	0.01
Matthew Mulligan	STL	0.8	0.7	7	9.6	0.02	0.01
Lee Smith	BUF	0.7	0.7	6	8.3	0.02	0.01
Alex Smith	CLE	0.6	0.4	4	10.7	0.02	0
Michael Egnew	MIA	0.5	0.5	5	10.1	0.01	0
Tom Crabtree	GB	0.4	0.2	2	10.7	0.04	0
Anthony McCoy	SEA	0.4	0.4	3	9.2	0.01	0
Jordan Cameron	CLE	0.4	0.4	4	8.9	0.01	0.01
Will Heller	DET	0.3	0.2	2	9.3	0.03	0
Jeff King	ARI	0.3	0.2	2	10	0.01	0
Garrett Graham	HOU	0.3	0.2	2	12.2	0.01	0
Adrien Robinson	NYG	0.3	0.2	2	10	0.01	0
David Thomas	NO	0.2	0.2	2	7.8	0.01	0.01
