PLAYER	TEAM	FP	PA	SACK	INT	FUMR	BLK	TO	INTTD	KRETTD	PRETTD
New York Jets	NYJ	22.6	16.1	4.2	1.54	1.22	0.24	2.76	0.1	0.03	0.08
New England Patriots	NE	22	16.2	4.5	1.63	0.93	0.22	2.56	0.08	0.02	0.08
Oakland Raiders	OAK	20.4	15.9	3.5	1.32	0.79	0.28	2.1	0.17	0.15	0.04
Green Bay Packers	GB	18.4	19.5	4.1	1.38	0.9	0.2	2.28	0.04	0.08	0.17
Chicago Bears	CHI	18.1	17.2	3.3	1.19	0.86	0.2	2.04	0.1	0.06	0.15
San Francisco 49ers	SF	17.5	16.1	3.5	0.83	1.09	0.22	1.91	0.08	0.05	0.1
Baltimore Ravens	BAL	16.8	17.5	3.9	0.9	0.88	0.22	1.78	0.06	0.03	0.05
Detroit Lions	DET	16.6	21.2	4.3	1.38	0.87	0.22	2.25	0.14	0.03	0.01
New York Giants	NYG	14.9	24.6	4.7	1.05	1.31	0.21	2.36	0.13	0.02	0.01
Houston Texans	HOU	14.7	19.7	3.6	1.18	0.75	0.17	1.93	0.05	0.04	0.03
Buffalo Bills	BUF	13.1	20.1	2.7	1	1.08	0.24	2.08	0.2	0.03	0.13
San Diego Chargers	SD	12.1	20.4	2.3	1.17	0.85	0.23	2.02	0.12	0.07	0.08
Denver Broncos	DEN	11.9	20.6	2	1.01	1.22	0.18	2.22	0.14	0.01	0.2
Kansas City Chiefs	KC	11.6	22.4	2.4	1.24	0.73	0.2	1.97	0.12	0.02	0.05
St. Louis Rams	STL	10.8	23.8	3.6	0.67	0.81	0.22	1.49	0.1	0.02	0.01
Carolina Panthers	CAR	10.2	22.7	2	0.98	0.84	0.21	1.82	0.26	0.09	0.02
Dallas Cowboys	DAL	9.8	25.2	2.7	1.25	1.07	0.22	2.31	0.13	0.05	0.02
Jacksonville Jaguars	JAC	9.4	24	1.4	1.32	1.2	0.19	2.52	0.16	0.02	0.01
Arizona Cardinals	ARI	8.9	25.8	2.2	0.74	1.34	0.23	2.08	0.29	0.03	0.13
Pittsburgh Steelers	PIT	8.7	24	2.4	0.51	1	0.24	1.51	0.14	0.04	0.02
Seattle Seahawks	SEA	8.6	26.2	2.9	0.66	1.02	0.19	1.68	0.22	0.04	0.02
Philadelphia Eagles	PHI	8	28.7	3.1	1.08	0.95	0.19	1.99	0.15	0.04	0.02
Cleveland Browns	CLE	7.6	25.3	1.3	1.18	1.13	0.23	2.32	0.09	0.05	0.07
Washington Redskins	WAS	6.5	26.6	1.5	0.95	0.88	0.21	1.83	0.1	0.04	0.02
Atlanta Falcons	ATL	5.4	29.5	1.8	1.33	0.75	0.2	2.08	0.08	0.02	0.01
Minnesota Vikings	MIN	4.7	37.7	2.4	0.38	0.87	0.17	1.25	0.26	0.11	0.01
Cincinnati Bengals	CIN	4.5	30	1.8	0.77	0.88	0.2	1.65	0.15	0.05	0.04
Miami Dolphins	MIA	4.2	28	1.7	0.67	0.83	0.23	1.51	0.23	0.08	0.05
Indianapolis Colts	IND	3.9	33.3	1.5	0.78	0.91	0.16	1.69	0.29	0.03	0.01
Tampa Bay Buccaneers	TB	3.9	32.9	1.2	0.73	1.15	0.19	1.88	0.11	0.04	0.01
Tennessee Titans	TEN	3.8	26.6	1.3	0.44	0.76	0.19	1.19	0.15	0.02	0.01
New Orleans Saints	NO	3.3	29.9	1.6	0.56	0.74	0.18	1.3	0.18	0.04	0.03
