PLAYER	TEAM	FP	SOLO	AST	SACK	FUMR	FORCE	INT	PD
Sean Lee	DAL	12	10	2	0	0	1	0	0
DeMarcus Ware	DAL	11	5	0	2	0	0	0	0
DQwell Jackson	CLE	8.6	6.6	3.2	0.24	0.22	0.1	0.09	0.15
James Anderson	CAR	8.2	5.9	3.4	0.11	0.37	0.15	0.14	0.37
Karlos Dansby	MIA	8.1	6.8	2	0.08	0.03	0.47	0.02	0.21
London Fletcher	WAS	7.8	6.5	4.1	0.06	0.04	0.15	0.12	0.3
Lawrence Timmons	PIT	7.6	6.6	2.8	0.11	0.06	0.1	0.06	0.32
Clay Matthews	GB	7.5	3	1	1.05	0.02	0.39	0.09	0.43
Von Miller	DEN	7.4	3.4	1.1	1.07	0.02	0.36	0	0.28
Kevin Burnett	MIA	7.2	6.2	2.4	0.15	0.04	0.05	0.04	0.16
Chad Greenway	MIN	7.2	6.4	4.1	0.16	0.07	0.02	0	0.13
Patrick Willis	SF	7.1	5.3	1.9	0.23	0.13	0.28	0.03	0.35
James Laurinaitis	STL	7.1	5.8	2.8	0.15	0.13	0.01	0.09	0.38
LaMarr Woodley	PIT	7	3.5	1.9	0.58	0.26	0.15	0.11	0.2
Derrick Johnson	KC	6.9	5.4	2.1	0.16	0.06	0.15	0.07	0.62
Ray Lewis	BAL	6.7	5.3	2.3	0.17	0.03	0.15	0.07	0.48
Donald Butler	SD	6.4	4.6	1.4	0.09	0.13	0.41	0.07	0.1
David Harris	NYJ	6.2	3.9	1.9	0.22	0.05	0.02	0.24	0.5
Sean Weatherspoon	ATL	6.2	5.3	2.9	0.22	0.06	0.01	0.01	0.3
Brian Cushing	HOU	6	3.9	2.9	0.36	0.01	0.24	0.08	0.29
Daryl Washington	ARI	6	4.3	0.8	0.32	0.01	0.03	0.12	0.25
Paul Posluszny	JAC	5.8	4.3	3.3	0.25	0.02	0.06	0.09	0.36
Brian Urlacher	CHI	5.7	4.5	1.3	0.08	0.11	0.02	0.1	0.34
Jon Beason	CAR	5.7	4.6	2.4	0.06	0.02	0.22	0.07	0.41
Stephen Tulloch	DET	5.6	4.3	2.4	0.18	0.14	0.05	0.05	0.28
Elvis Dumervil	DEN	5.6	2.2	1	0.93	0.1	0.14	0	0.06
Rolando McClain	OAK	5.6	4.6	2.1	0.24	0.02	0.02	0.02	0.69
Daryl Smith	JAC	5.5	4	2.4	0.28	0.02	0.16	0.05	0.4
Erin Henderson	MIN	5.4	4	3.4	0.19	0.08	0.25	0	0.11
Curtis Lofton	NO	5.3	4	2.7	0.13	0.09	0.15	0.06	0.37
Navorro Bowman	SF	5.3	4.7	1.8	0.08	0.12	0.01	0.01	0.18
Nick Barnett	BUF	5.2	3.9	3.5	0.09	0.02	0.08	0.14	0.29
Ryan Kerrigan	WAS	5.2	3.1	1.7	0.38	0.01	0.28	0.06	0.14
Calvin Pace	NYJ	5.1	3	1.4	0.27	0.06	0.3	0.08	0.19
Jerod Mayo	NE	5.1	3.6	3.2	0.18	0.05	0.2	0.06	0.31
Jamar Chaney	PHI	5.1	3.8	1.9	0.07	0.02	0.06	0.17	0.38
