PLAYER	TEAM	FP	INT	PD	SOLO	AST	SACK	FUMR	FORCE
Charles Woodson	GB	7.7	0.28	0.91	4.1	1.9	0.35	0.06	0.22
Antoine Winfield	MIN	7.6	0.06	0.17	6	3.7	0.2	0.04	0.3
Greg Toler	ARI	6.9	0.08	0.42	5	1.8	0.07	0.13	0.37
Morgan Burnett	GB	6.9	0.2	0.7	4.4	2	0.12	0.22	0.23
Quintin Mikell	STL	6.4	0.08	0.51	4.6	1.4	0.12	0.12	0.39
Tyvon Branch	OAK	6.3	0.11	0.27	4.7	2	0.2	0.11	0.04
Charles Tillman	CHI	6.2	0.12	0.62	4.3	1.4	0.04	0.15	0.25
Richard Marshall	MIA	6.2	0.2	0.51	4.9	1.7	0.08	0.04	0.03
Charles Godfrey	CAR	6.2	0.18	0.41	4.8	2.4	0.06	0.01	0.17
Bernard Pollard	BAL	6.1	0.04	0.66	4.2	2.1	0.26	0.03	0.21
Ronde Barber	TB	6	0.12	0.37	4.8	1.6	0.06	0.1	0.1
Eric Weddle	SD	6	0.34	0.79	4.2	1.6	0	0.01	0.01
Kerry Rhodes	ARI	5.9	0.1	0.5	4	1.4	0.21	0.24	0.02
Tramon Williams	GB	5.9	0.28	1.24	3.5	1.6	0.02	0.18	0.02
LaRon Landry	NYJ	5.9	0.1	0.49	3.8	1.7	0.2	0.17	0.18
Jason McCourty	TEN	5.9	0.08	0.6	5.1	2.3	0.03	0.06	0.05
Yeremiah Bell	NYJ	5.8	0.11	0.45	3.7	1.7	0.21	0.12	0.15
Roman Harper	NO	5.8	0.02	0.36	4.1	1.7	0.36	0.06	0.19
Thomas DeCoud	ATL	5.7	0.14	0.2	4.8	2.7	0	0.01	0.05
Marcus Trufant	SEA	5.6	0.12	0.49	4.1	1.9	0	0.15	0.05
Troy Polamalu	PIT	5.6	0.15	0.7	4.1	2	0.06	0.15	0.03
Patrick Chung	NE	5.6	0.16	0.54	3.6	2.4	0.18	0.04	0.02
Jairus Byrd	BUF	5.6	0.13	0.35	3.5	2.3	0.09	0.09	0.35
Ryan Clark	PIT	5.5	0.07	0.33	4.7	2.3	0.04	0.06	0.02
DeAngelo Hall	WAS	5.5	0.22	0.9	4	3.6	0.03	0.04	0.12
Eric Berry	KC	5.5	0.23	0.72	3.4	1.7	0.08	0.01	0.08
Gerald Sensabaugh	DAL	5.4	0.17	0.26	3.7	1.6	0.02	0.1	0.18
Dawan Landry	JAC	5.4	0.11	0.22	4	2.3	0.01	0.12	0.1
Antoine Bethea	IND	5.4	0.03	0.4	4.6	3.8	0	0.06	0.21
Patrick Peterson	ARI	5.4	0.15	0.61	3.4	1.1	0.06	0.08	0.02
Nate Clements	CIN	5.3	0.11	0.46	3.7	2.1	0.07	0.1	0.21
Dashon Goldson	SF	5.3	0.19	0.54	4	1.2	0.02	0.08	0.07
Antrel Rolle	NYG	5.2	0.09	0.3	4.4	1.9	0.01	0.06	0.08
Eric Wright	TB	5.2	0.1	0.55	4.5	1.5	0	0.04	0.06
Lardarius Webb	BAL	5.2	0.25	1.23	3.4	1.7	0	0.06	0.06
Earl Thomas	SEA	5.2	0.08	0.25	4	2	0	0.17	0.11
Devin McCourty	NE	5.1	0.21	0.84	3.7	2.4	0.03	0.02	0.12
Donte Whitner	SF	5	0.07	0.42	3.7	1.1	0	0.21	0.17
Brent Grimes	ATL	5	0.11	0.8	4.2	2.4	0	0.04	0.08
Michael Griffin	TEN	4.9	0.11	0.38	4.1	1.8	0	0.02	0.12
Reggie Nelson	CIN	4.9	0.14	0.34	3.3	1.9	0.12	0.01	0.14
Terence Newman	CIN	4.8	0.11	0.39	3.8	2.1	0	0.09	0.01
Tracy Porter	DEN	4.8	0.07	0.52	3.5	1.3	0	0.26	0.14
William Moore	ATL	4.8	0.11	0.38	3.9	2.2	0	0.02	0.15
Cortland Finnegan	STL	4.7	0.05	0.64	3.7	1.2	0.13	0.1	0.03
Aqib Talib	TB	4.7	0.17	0.59	3.1	1	0	0.03	0.14
Kyle Arrington	NE	4.7	0.29	0.65	3.2	2.1	0	0.04	0.02
Bradley Fletcher	STL	4.7	0.1	0.46	4	1.2	0.01	0.05	0.01
T.J. Ward	CLE	4.7	0.07	0.39	3.6	2.1	0.04	0.02	0.18
Kurt Coleman	PHI	4.7	0.19	0.27	3.5	1.2	0	0.03	0.1
Ed Reed	BAL	4.6	0.22	0.97	3	1.5	0.09	0.02	0.09
Matt Giordano	OAK	4.6	0.28	0.25	2.6	1.1	0.08	0.02	0.14
Kenny Phillips	NYG	4.6	0.19	0.6	3.2	1.3	0.01	0.04	0.13
Nate Allen	PHI	4.6	0.15	0.48	3.6	1.3	0.05	0.03	0.04
Kam Chancellor	SEA	4.6	0.1	0.39	3.4	1.6	0.11	0.07	0.09
George Wilson	BUF	4.5	0.16	0.35	3.2	2.1	0	0.09	0.16
Sean Smith	MIA	4.5	0.07	0.48	4	1.4	0	0.04	0.01
Jerraud Powers	IND	4.5	0.2	0.54	2.9	2.5	0	0.05	0.02
Joe Haden	CLE	4.5	0.17	0.97	3.2	1.7	0.04	0.06	0.1
Cody Grimm	TB	4.5	0.06	0.17	3.8	1.3	0	0.04	0.05
Michael Huff	OAK	4.4	0.15	0.39	2.9	1.2	0.15	0.02	0.11
Jordan Babineaux	TEN	4.3	0.06	0.29	3.6	1.7	0.01	0.05	0.06
Danieal Manning	HOU	4.3	0.13	0.41	3	1.3	0	0	0.01
Darrelle Revis	NYJ	4.3	0.31	1.73	2	0.9	0	0.04	0.02
Malcolm Jenkins	NO	4.3	0.01	0.44	3.6	1.4	0.07	0.1	0.07
Captain Munnerlyn	CAR	4.3	0.05	0.42	2.9	1.4	0.11	0.08	0.21
Mark Barron	TB	4.3	0.09	0.32	3.1	1	0.03	0.15	0.08
Carlos Rogers	SF	4.2	0.18	0.84	3	0.9	0	0.02	0.03
Corey Webster	NYG	4.2	0.35	0.91	2.3	1	0	0.02	0.08
Kelvin Hayden	CHI	4.2	0.21	0.36	2.6	0.9	0	0.02	0.03
Dwight Lowery	JAC	4.2	0.25	0.4	1.6	0.9	0.09	0.14	0.02
Brandon Browner	SEA	4.2	0.15	0.95	3.1	1.5	0	0.03	0.01
Chris Hope	ATL	4.1	0.11	0.18	3.2	1.8	0.01	0.1	0.02
Rashean Mathis	JAC	4.1	0.14	0.36	2.8	1.7	0	0.12	0.07
Asante Samuel	ATL	4.1	0.24	0.65	2.4	1.4	0	0.05	0.08
Cedric Griffin	WAS	4.1	0.09	0.73	3.2	2.8	0	0.02	0.23
Brandon Flowers	KC	4.1	0.18	1.02	2.7	1.3	0	0.02	0.04
Sherrod Martin	CAR	4.1	0.13	0.41	3.3	1.7	0	0.02	0.04
Reshad Jones	MIA	4.1	0.06	0.22	3.3	1.1	0.1	0.08	0.01
Tim Jennings	CHI	4	0.08	0.44	3.3	1.1	0	0.06	0.08
