PLAYER	TEAM	FP	SOLO	AST	SACK	FUMR	FORCE	INT	PD
James Harrison	PIT	9.7	3.9	1.7	1.55	0.04	0.43	0.02	0.2
DQwell Jackson	CLE	8.9	7.2	3.6	0.17	0.2	0.08	0.09	0.16
Karlos Dansby	MIA	8.8	6.7	2	0.16	0.04	0.66	0.04	0.31
James Anderson	CAR	8	6.1	3.8	0.16	0.31	0.1	0.06	0.38
LaMarr Woodley	PIT	7.9	2.3	1.6	1.21	0.26	0.12	0.15	0.27
Clay Matthews	GB	7.9	3.2	1.1	1.04	0.03	0.48	0.09	0.45
James Laurinaitis	STL	7.9	6.6	2.5	0.14	0.12	0.01	0.11	0.44
London Fletcher	WAS	7.8	6.4	4.2	0.13	0.05	0.2	0.08	0.4
Kevin Burnett	MIA	7.6	6.2	2.5	0.24	0.06	0.06	0.06	0.26
Patrick Willis	SF	7.3	5.1	1.8	0.3	0.14	0.36	0.05	0.66
Derrick Johnson	KC	7.2	5.6	2.1	0.09	0.13	0.18	0.1	0.57
Chad Greenway	MIN	7	6.3	4	0.1	0.09	0.04	0.01	0.15
David Harris	NYJ	6.7	3.8	1.9	0.47	0.04	0.02	0.21	0.48
D.J. Williams	DEN	6.6	5.3	2.3	0.25	0.07	0.14	0	0.31
Sean Weatherspoon	ATL	6.6	5.5	3	0.24	0.07	0.02	0.01	0.32
Donald Butler	SD	6.6	4.6	1.4	0.28	0.11	0.35	0.05	0.13
Sean Lee	DAL	6.5	4.4	2.4	0.03	0.06	0.11	0.21	0.31
Jerod Mayo	NE	6.4	4.6	3.8	0.19	0.09	0.37	0.06	0.33
DeMarcus Ware	DAL	6.3	3.2	0.9	0.75	0.11	0.23	0.01	0.1
Curtis Lofton	NO	6.3	5.3	3	0.06	0.09	0.19	0.03	0.2
Ryan Kerrigan	WAS	6.2	3	1.8	0.68	0.02	0.36	0.05	0.16
Brian Urlacher	CHI	6.1	5	1.5	0.05	0.12	0.02	0.12	0.42
Tamba Hali	KC	6.1	2.7	1.3	0.65	0.08	0.52	0.01	0.06
