PLAYER	TEAM	FP	INT	PD	SOLO	AST	SACK	FUMR	FORCE
Antoine Winfield	MIN	8.4	0.11	0.2	6.1	3.8	0.29	0.06	0.31
Quintin Mikell	STL	7.4	0.15	0.59	4.6	1.4	0.13	0.21	0.5
Charles Woodson	GB	7.2	0.18	0.9	4.2	1.8	0.3	0.07	0.32
Morgan Burnett	GB	6.7	0.14	0.67	4.6	2.1	0.11	0.22	0.27
Richard Marshall	MIA	6.6	0.29	0.53	4.6	1.7	0.09	0.06	0.04
Greg Toler	ARI	6.6	0.06	0.39	5.2	1.8	0.07	0.1	0.27
Charles Godfrey	CAR	6.5	0.17	0.36	5.2	2.5	0.06	0.02	0.12
Tyvon Branch	OAK	6.5	0.1	0.29	5	2	0.18	0.14	0.06
Jason McCourty	TEN	6.3	0.15	0.61	5.1	2.1	0.05	0.05	0.11
Roman Harper	NO	6.2	0.03	0.37	4.1	1.7	0.43	0.09	0.22
Charles Tillman	CHI	6.1	0.1	0.4	4.3	1.7	0.03	0.14	0.24
DeAngelo Hall	WAS	6.1	0.22	0.96	4.3	3	0.09	0.03	0.13
Troy Polamalu	PIT	6	0.21	0.94	4.1	2.3	0.07	0.16	0.04
Yeremiah Bell	NYJ	6	0.06	0.28	4.6	2.1	0.14	0.1	0.1
Jerraud Powers	IND	6	0.38	0.76	3	2.8	0	0.06	0.01
Marcus Trufant	SEA	5.8	0.14	0.48	4.3	2.3	0	0.2	0.05
Matt Giordano	OAK	5.8	0.42	0.24	3	1.2	0.09	0.03	0.18
Antoine Bethea	IND	5.8	0.06	0.55	4.8	4.4	0	0.08	0.24
LaRon Landry	NYJ	5.8	0.03	0.33	4.5	2.1	0.16	0.12	0.17
Tracy Porter	DEN	5.8	0.07	0.54	4.6	2	0	0.17	0.12
Ryan Clark	PIT	5.7	0.1	0.38	4.8	2.8	0.06	0.04	0.06
Bernard Pollard	BAL	5.7	0.05	0.72	4	2.3	0.16	0.04	0.29
Dawan Landry	JAC	5.7	0.06	0.18	5	2.5	0.02	0.06	0.08
Ronde Barber	TB	5.6	0.17	0.51	4.3	1.5	0.05	0.08	0.06
Antrel Rolle	NYG	5.6	0.13	0.31	4.4	2.1	0	0.1	0.09
Cortland Finnegan	STL	5.6	0.12	0.7	3.7	1.1	0.2	0.11	0.04
Jairus Byrd	BUF	5.6	0.15	0.39	3.5	2.4	0.06	0.07	0.22
Eric Berry	KC	5.6	0.26	0.6	3.4	1.7	0.09	0.01	0.06
Dashon Goldson	SF	5.5	0.29	0.62	3.8	1.1	0.01	0.05	0.08
Thomas DeCoud	ATL	5.5	0.11	0.22	4.7	2.6	0	0.02	0.07
Bradley Fletcher	STL	5.5	0.21	0.56	4.2	1.2	0	0.09	0.02
Gerald Sensabaugh	DAL	5.4	0.16	0.2	3.7	1.5	0.04	0.12	0.14
Tramon Williams	GB	5.4	0.17	1.16	3.5	1.6	0.04	0.23	0.03
Michael Griffin	TEN	5.4	0.18	0.34	4.1	1.8	0	0.05	0.14
Kerry Rhodes	ARI	5.3	0.07	0.42	4	1.5	0.14	0.18	0.01
Donte Whitner	SF	5.3	0.11	0.48	3.7	1.1	0	0.18	0.16
Eric Weddle	SD	5.2	0.3	0.79	3.6	1.4	0	0.01	0.02
Lardarius Webb	BAL	5.2	0.26	1.04	3.2	1.9	0	0.08	0.05
Michael Huff	OAK	5	0.22	0.33	3.2	1.3	0.13	0.02	0.11
Brent Grimes	ATL	5	0.1	0.78	4	2.3	0	0.07	0.15
Reggie Nelson	CIN	4.9	0.16	0.64	2.7	1.9	0.25	0.01	0.15
Kenny Phillips	NYG	4.9	0.21	0.62	3.3	1.6	0	0.07	0.17
William Moore	ATL	4.9	0.1	0.42	3.8	2.2	0	0.04	0.23
Danieal Manning	HOU	4.8	0.11	0.34	3.6	1.6	0	0.02	0.02
Eric Smith	NYJ	4.8	0.04	0.3	3.6	1.6	0.16	0.07	0.02
Kyle Arrington	NE	4.8	0.38	0.76	2.7	2	0.01	0.06	0.02
Sherrod Martin	CAR	4.8	0.2	0.38	3.7	1.7	0	0.02	0.03
Sean Smith	MIA	4.8	0.16	0.49	3.8	1.4	0	0.04	0.02
Earl Thomas	SEA	4.8	0.08	0.24	3.9	2.3	0	0.1	0.09
T.J. Ward	CLE	4.8	0.06	0.48	3.9	2.2	0.04	0.02	0.15
Patrick Peterson	ARI	4.8	0.1	0.53	3.4	1.2	0.04	0.06	0.01
George Wilson	BUF	4.7	0.18	0.34	3.3	2.2	0	0.07	0.11
Eric Wright	TB	4.7	0.12	0.63	4	1.4	0	0.03	0.04
Aqib Talib	TB	4.7	0.24	0.72	2.8	1	0	0.02	0.08
Patrick Chung	NE	4.7	0.16	0.61	2.9	2.3	0.12	0.04	0.02
Devin McCourty	NE	4.7	0.29	1.06	2.9	2.3	0.05	0.01	0.06
Kurt Coleman	PHI	4.7	0.16	0.28	3.6	1	0	0.04	0.09
Jordan Babineaux	TEN	4.6	0.09	0.3	3.5	1.5	0.03	0.05	0.11
Carlos Rogers	SF	4.6	0.23	0.93	3.1	0.9	0	0.02	0.02
Cedric Griffin	WAS	4.6	0.08	0.7	3.5	2.4	0	0.02	0.27
Brandon Browner	SEA	4.6	0.19	0.96	3.2	1.8	0	0.02	0.01
Nate Clements	CIN	4.5	0.12	0.71	2.9	1.9	0.09	0.1	0.16
Ed Reed	BAL	4.5	0.23	0.74	3	1.6	0.05	0.03	0.07
Terence Newman	CIN	4.5	0.18	0.67	3	2.1	0.01	0.06	0.01
Corey Webster	NYG	4.5	0.38	0.99	2.4	1.1	0	0.03	0.05
Malcolm Jenkins	NO	4.5	0.04	0.44	3.5	1.4	0.11	0.12	0.06
Glover Quin	HOU	4.5	0.04	0.45	3.8	1.7	0	0.14	0.04
Captain Munnerlyn	CAR	4.5	0.05	0.3	3.1	1.4	0.14	0.08	0.18
Nate Allen	PHI	4.5	0.14	0.58	3.4	1	0.04	0.03	0.05
Asante Samuel	ATL	4.4	0.22	0.7	2.3	1.3	0	0.09	0.11
Johnathan Joseph	HOU	4.4	0.21	0.83	3	1.3	0	0.02	0.14
Justin King	IND	4.4	0.1	0.37	3.3	3	0.11	0.02	0.11
Vontae Davis	IND	4.4	0.23	0.62	3	2.7	0.06	0.02	0.02
Joe Haden	CLE	4.4	0.12	1.05	3.4	1.9	0.04	0.04	0.09
