PLAYER	TEAM	FP	INT	PD	SOLO	AST	SACK	FUMR	FORCE
Antoine Winfield	MIN	8.3	0.12	0.27	5.6	3.5	0.37	0.06	0.37
Charles Woodson	GB	7.4	0.18	0.62	5.2	2.1	0.11	0.06	0.24
Morgan Burnett	GB	7.1	0.14	0.48	5.4	2.1	0.05	0.16	0.23
Quintin Mikell	STL	6.9	0.14	0.5	4.5	1.8	0.11	0.2	0.44
Richard Marshall	MIA	6.3	0.16	0.59	4.6	1.6	0.22	0.04	0.03
Tramon Williams	GB	6.2	0.19	0.83	4.2	1.6	0.01	0.18	0.04
Tracy Porter	DEN	6.2	0.1	0.44	4.7	1.9	0	0.22	0.14
Tyvon Branch	OAK	6.2	0.06	0.24	5.3	2	0.08	0.08	0.04
Jason McCourty	TEN	6.2	0.14	0.72	4.9	2.2	0.06	0.06	0.08
Ronde Barber	TB	5.9	0.11	0.53	4.7	1.4	0.08	0.08	0.06
Marcus Trufant	SEA	5.9	0.14	0.48	4.2	2.5	0	0.18	0.05
Antoine Bethea	IND	5.9	0.04	0.46	4.8	4	0	0.1	0.3
LaRon Landry	NYJ	5.9	0.06	0.36	4.2	1.9	0.22	0.14	0.18
Yeremiah Bell	NYJ	5.8	0.1	0.36	4	1.9	0.2	0.07	0.12
Dashon Goldson	SF	5.8	0.32	0.55	3.9	1.1	0.01	0.04	0.08
Thomas DeCoud	ATL	5.8	0.19	0.29	4.6	2.6	0	0.02	0.07
Greg Toler	ARI	5.8	0.14	0.51	4.1	1.3	0.04	0.09	0.18
DeAngelo Hall	WAS	5.7	0.27	0.95	3.7	3.3	0.09	0.04	0.12
Bernard Pollard	BAL	5.7	0.03	0.54	4	2	0.22	0.03	0.26
Patrick Peterson	ARI	5.7	0.22	0.57	3.2	1.1	0.05	0.06	0.01
Kerry Rhodes	ARI	5.6	0.13	0.5	3.7	1.2	0.17	0.21	0.02
Eric Weddle	SD	5.6	0.24	0.55	4.3	1.7	0	0.02	0.01
Gerald Sensabaugh	DAL	5.5	0.09	0.21	4	1.5	0.03	0.15	0.18
Jairus Byrd	BUF	5.5	0.18	0.42	3.2	2	0.08	0.07	0.24
Eric Berry	KC	5.5	0.23	0.63	3.4	1.7	0.09	0.02	0.1
Asante Samuel	ATL	5.4	0.39	0.84	2.3	1.2	0	0.09	0.13
Nate Clements	CIN	5.2	0.1	0.5	3.4	2	0.15	0.1	0.19
