PLAYER	TEAM	FP	PA	SACK	INT	FUMR	BLK	TO	INTTD	KRETTD	PRETTD
Pittsburgh Steelers	PIT	18.7	16.6	3.3	1.09	0.85	0.22	1.93	0.13	0.02	0.04
Chicago Bears	CHI	18.1	17	3.7	0.94	0.95	0.22	1.89	0.05	0.07	0.22
Arizona Cardinals	ARI	16.6	17.2	3.8	0.57	1.09	0.25	1.66	0.16	0.03	0.17
Seattle Seahawks	SEA	15.3	18.8	2.8	1.29	0.98	0.24	2.27	0.09	0.04	0.03
Miami Dolphins	MIA	14.9	19.3	3.3	0.87	0.85	0.24	1.72	0.22	0.06	0.07
Buffalo Bills	BUF	13.6	22.5	3.2	1.19	0.8	0.2	1.98	0.19	0.04	0.17
St. Louis Rams	STL	12.9	22.8	3.2	1.02	1.16	0.2	2.18	0.07	0.01	0.02
Tennessee Titans	TEN	12.8	18.3	2.6	0.58	1.1	0.22	1.68	0.13	0.02	0.01
Cleveland Browns	CLE	12.6	22.4	3.4	0.88	0.89	0.23	1.77	0.14	0.04	0.05
New England Patriots	NE	12.6	21.8	2.2	1.11	1.27	0.2	2.38	0.18	0.04	0.08
Philadelphia Eagles	PHI	11.5	24.6	3.1	1.27	0.78	0.19	2.05	0.21	0.02	0.02
Dallas Cowboys	DAL	11.4	23	2.8	1.06	1.24	0.15	2.3	0.1	0.04	0.01
Denver Broncos	DEN	11.3	21.5	2.7	0.83	0.95	0.21	1.78	0.18	0.01	0.04
Jacksonville Jaguars	JAC	11.3	18.4	1.4	0.96	0.66	0.22	1.63	0.07	0.03	0
New Orleans Saints	NO	11.2	20.8	3.2	0.5	0.79	0.24	1.29	0.12	0.04	0.02
Atlanta Falcons	ATL	11	23	1.8	1.36	1.24	0.21	2.59	0.15	0.02	0
Cincinnati Bengals	CIN	10.8	20.5	1.7	1.15	0.88	0.21	2.03	0.06	0.05	0.09
San Diego Chargers	SD	9.6	25.8	3	0.82	1.1	0.23	1.92	0.16	0.05	0.04
Baltimore Ravens	BAL	9.4	24.2	2	1.09	0.91	0.25	1.99	0.07	0.04	0.03
Minnesota Vikings	MIN	8.8	25.4	3.3	0.48	1.01	0.25	1.49	0.19	0.07	0.01
Indianapolis Colts	IND	8.7	25	1.3	1.06	1.08	0.2	2.14	0.18	0.06	0.01
Oakland Raiders	OAK	8.5	22.8	1.8	0.89	0.73	0.23	1.62	0.16	0.02	0.04
Green Bay Packers	GB	8.2	29.4	2.2	1.52	0.87	0.17	2.39	0.09	0.08	0.1
New York Giants	NYG	8.2	32	3.7	0.89	0.9	0.2	1.79	0.24	0.02	0.01
Carolina Panthers	CAR	6.3	27.6	1.7	1.25	1.01	0.18	2.26	0.16	0.07	0.01
Kansas City Chiefs	KC	6.2	26.3	1.3	0.94	0.82	0.21	1.76	0.09	0.02	0.07
Houston Texans	HOU	6	27.2	2.4	1.07	0.86	0.21	1.93	0.13	0.02	0.02
New York Jets	NYJ	5.5	27.9	1.7	0.96	0.89	0.22	1.85	0.16	0.07	0.08
San Francisco 49ers	SF	5.2	28.3	1.8	1.07	0.7	0.19	1.77	0.06	0.09	0.08
Detroit Lions	DET	4.9	27.4	1.8	0.71	1.16	0.2	1.87	0.12	0.04	0.02
Tampa Bay Buccaneers	TB	4.2	27.4	1.5	0.9	0.87	0.21	1.77	0.15	0.04	0.01
Washington Redskins	WAS	4	31	1.7	0.73	0.95	0.18	1.68	0.13	0.02	0.01
