PLAYER	TEAM	FP	SOLO	AST	SACK	FUMR	FORCE	INT	PD
Jared Allen	MIN	8.1	3.1	1.7	1.27	0.18	0.24	0.04	0.19
Jason Pierre-Paul	NYG	7	3.6	1.5	0.88	0.05	0.18	0	0.45
Rob Ninkovich	NE	6.9	2.1	2.1	1.07	0.23	0.29	0.1	0.22
John Abraham	ATL	5.7	2.1	0.9	0.68	0.14	0.54	0.02	0.15
Justin Smith	SF	5.7	2.7	0.8	0.82	0.04	0.2	0	0.09
J.J. Watt	HOU	5.7	3.1	0.7	0.71	0.1	0.01	0.04	0.2
Chris Long	STL	5.5	1.8	0.5	1.14	0.02	0.15	0	0.12
Osi Umenyiora	NYG	5.4	1.6	1.1	0.9	0.01	0.51	0	0.09
Jason Babin	PHI	5.4	2.4	0.6	0.76	0.03	0.31	0	0.09
Trent Cole	PHI	5.4	3.4	1.1	0.57	0.02	0.12	0	0.19
Jabaal Sheard	CLE	5.4	2.4	1.2	0.61	0.08	0.45	0	0.09
Connor Barwin	HOU	5.3	1.9	0.8	1.04	0.01	0.1	0	0.26
Chris Clemons	SEA	5.2	1.9	1.5	0.91	0.03	0.23	0	0.23
Cliff Avril	DET	5.1	1.4	0.6	0.82	0.14	0.37	0.02	0.2
Justin Tuck	NYG	4.9	2.1	1.4	0.7	0.09	0.23	0	0.18
Calais Campbell	ARI	4.9	2.7	1.4	0.49	0.05	0.12	0.02	0.3
Charles Johnson	CAR	4.7	3	1.2	0.56	0.01	0.02	0	0.16
Jeremy Mincey	JAC	4.6	1.9	1.1	0.61	0.05	0.24	0.04	0.11
Vince Wilfork	NE	4.5	1.8	1.5	0.61	0.14	0.09	0.08	0.17
Ahtyba Rubin	CLE	4.5	3.4	2.2	0.33	0.02	0.02	0.01	0.02
Julius Peppers	CHI	4.4	2	0.6	0.42	0.1	0.24	0.02	0.23
Brett Keisel	PIT	4.1	2.1	1.7	0.34	0.16	0.23	0.02	0.46
Robert Mathis	IND	4.1	2	1.4	0.39	0.2	0.21	0	0.04
Tommy Kelly	OAK	4.1	2.2	1.4	0.33	0.05	0.32	0.04	0.22
Mario Williams	BUF	4.1	1.5	0.5	0.6	0.01	0.34	0	0.16
Mathias Kiwanuka	NYG	4.1	2.5	1.2	0.3	0.06	0.15	0.04	0.09
Kyle Vanden Bosch	DET	4	1.5	1	0.6	0.05	0.28	0	0.01
Greg Hardy	CAR	4	2.6	1.2	0.24	0.01	0.2	0	0.41
Haloti Ngata	BAL	3.8	2.5	2.4	0.24	0.1	0.15	0	0.32
Matt Shaughnessy	OAK	3.8	2.7	0.8	0.27	0.02	0.1	0	0.04
Ndamukong Suh	DET	3.7	1.7	1.1	0.48	0.02	0.02	0.01	0.07
Jurrell Casey	TEN	3.7	2.4	1.2	0.24	0.1	0.15	0	0.05
Karl Klug	TEN	3.7	1.2	0.2	0.65	0.02	0.26	0	0.24
Michael Bennett	TB	3.6	2.3	0.4	0.23	0.13	0.06	0	0.01
Geno Atkins	CIN	3.6	1.4	1.4	0.52	0.11	0.16	0	0.12
Robert Quinn	STL	3.6	1.2	0.3	0.57	0.02	0.1	0	0.13
Adrian Clayborn	TB	3.6	1.7	1.2	0.47	0.01	0.21	0	0.05
Israel Idonije	CHI	3.5	2.2	1	0.23	0.13	0.1	0	0.02
Jason Hatcher	DAL	3.5	1.5	0.9	0.46	0.03	0.16	0.05	0.07
Brian Robison	MIN	3.5	1.6	1.4	0.39	0.11	0.19	0	0.04
Lamarr Houston	OAK	3.5	2.4	1.3	0.1	0.17	0.03	0.06	0.12
Phil Taylor	CLE	3.4	2.3	1.9	0.31	0.02	0.08	0	0.05
Sione Pouha	NYJ	3.3	2.4	1.4	0.07	0.2	0.08	0	0.2
Ray Edwards	ATL	3.3	1.8	0.8	0.28	0.23	0.02	0	0.18
Dwan Edwards	CAR	3.2	2.5	2.1	0.19	0.02	0.04	0.02	0.06
Darnell Dockett	ARI	3.2	2	1	0.25	0.12	0.11	0	0.05
Randy Starks	MIA	3.2	2.3	0.6	0.16	0.05	0.02	0.05	0.2
Antonio Smith	HOU	3.2	1.3	0.6	0.58	0.01	0.11	0	0.11
Ray McDonald	SF	3.2	1.3	0.6	0.41	0.06	0.2	0.02	0.08
Jared Odrick	MIA	3.2	1.5	0.2	0.25	0.04	0.28	0.05	0.1
Carlos Dunlap	CIN	3.2	1	1.1	0.63	0.1	0.01	0	0.2
Bruce Irvin	SEA	3.2	1.4	0.8	0.45	0.09	0.1	0	0.12
Cullen Jenkins	PHI	3.1	2	0.6	0.27	0.1	0.01	0	0.02
Chandler Jones	NE	3.1	1	0.8	0.61	0.03	0.02	0.01	0.04
Richard Seymour	OAK	3	1.9	0.7	0.26	0.02	0.01	0	0.18
Kevin Williams	MIN	3	1.9	1.5	0.27	0.02	0.08	0	0.21
Chris Kelsay	BUF	3	1.8	1.4	0.31	0.02	0.15	0	0.21
Darryl Tapp	PHI	3	1.8	0.7	0.18	0.12	0.19	0	0.24
B.J. Raji	GB	3	1.3	0.8	0.47	0.07	0.01	0.01	0.12
Desmond Bryant	OAK	3	1.8	0.5	0.2	0.02	0.14	0	0.04
Will Smith	NO	2.9	1.4	0.7	0.4	0.01	0.05	0.02	0.11
Jay Ratliff	DAL	2.9	1.7	0.7	0.24	0.12	0.06	0	0.14
Mark Anderson	BUF	2.9	1.1	0.9	0.42	0.06	0.16	0	0.15
Lawrence Jackson	DET	2.9	1.2	1.1	0.47	0.05	0.02	0	0.03
Dwight Freeney	IND	2.8	1	0.5	0.4	0.01	0.26	0	0.02
Antonio Garay	SD	2.8	2.2	1.5	0.15	0.03	0.01	0	0
Spencer Johnson	BUF	2.8	1.7	1.2	0.13	0.03	0.13	0.04	0.17
