PLAYER	TEAM	FP	PA	SACK	INT	FUMR	BLK	TO	INTTD	KRETTD	PRETTD
Buffalo Bills	BUF	20	18.6	4.1	1.5	1	0.23	2.49	0.1	0.05	0.12
Philadelphia Eagles	PHI	18.5	19.7	4.8	1.37	1.16	0.2	2.54	0.12	0.02	0.02
Chicago Bears	CHI	18.4	18	2.6	1.45	0.94	0.2	2.38	0.05	0.04	0.18
Denver Broncos	DEN	18.1	17.5	3.9	0.95	0.88	0.24	1.83	0.09	0.01	0.18
New England Patriots	NE	16.8	17.7	3.4	0.92	1.13	0.23	2.05	0.1	0.05	0.08
Houston Texans	HOU	15.9	17.9	3.7	1.05	0.79	0.21	1.84	0.02	0.03	0.02
Kansas City Chiefs	KC	15.4	19.3	3.6	1.11	0.81	0.22	1.92	0.11	0.02	0.07
Pittsburgh Steelers	PIT	13.9	16.4	1.9	0.89	0.7	0.2	1.59	0.09	0.03	0.04
San Francisco 49ers	SF	13.9	21.2	3.6	0.98	0.92	0.22	1.9	0.12	0.05	0.06
Seattle Seahawks	SEA	13	19.7	3.2	0.71	0.79	0.21	1.5	0.12	0.04	0.03
Green Bay Packers	GB	12.4	22.6	2.5	1.36	0.64	0.2	1.99	0.06	0.08	0.1
Miami Dolphins	MIA	11.7	21.3	1.7	1.27	0.99	0.25	2.26	0.21	0.03	0.05
Arizona Cardinals	ARI	11.6	24.2	3.5	0.46	1.1	0.2	1.56	0.34	0.04	0.14
San Diego Chargers	SD	11.6	23.3	2.6	1.06	1.29	0.22	2.35	0.2	0.07	0.05
Tampa Bay Buccaneers	TB	11	19.6	2.1	0.74	0.92	0.21	1.66	0.12	0.04	0.01
New York Jets	NYJ	10.9	23.8	2.3	1.34	0.95	0.25	2.28	0.11	0.06	0.02
Cincinnati Bengals	CIN	10.4	24.5	3.1	0.63	0.92	0.24	1.54	0.12	0.04	0.02
Baltimore Ravens	BAL	10	20.6	1.8	1.01	0.83	0.23	1.84	0.08	0.02	0.05
New York Giants	NYG	9.9	25.6	3.4	0.79	1.1	0.24	1.88	0.13	0.02	0.01
Carolina Panthers	CAR	9.5	23.1	1.5	1.26	1.17	0.22	2.43	0.1	0.12	0
Oakland Raiders	OAK	9.4	26.6	2.7	1.06	0.82	0.22	1.88	0.14	0.19	0.02
St. Louis Rams	STL	9.4	24.6	1.8	0.91	1.4	0.19	2.31	0.11	0.02	0.02
Cleveland Browns	CLE	6.4	25.9	1.3	0.62	1.3	0.17	1.92	0.08	0.03	0.09
Indianapolis Colts	IND	6.1	26	1.8	0.59	0.98	0.18	1.57	0.22	0.03	0.01
Washington Redskins	WAS	5.9	29.7	2.2	0.96	1.02	0.21	1.98	0.16	0.02	0.01
Detroit Lions	DET	5.1	29.8	1.9	0.98	0.71	0.22	1.69	0.12	0.05	0.01
Atlanta Falcons	ATL	4.9	30.6	1.7	1.16	0.96	0.19	2.12	0.19	0.02	0
Dallas Cowboys	DAL	4.9	31.7	2	0.94	0.69	0.15	1.62	0.09	0.06	0.03
New Orleans Saints	NO	4.1	31.5	1.9	0.61	0.91	0.18	1.52	0.11	0.05	0.02
Jacksonville Jaguars	JAC	3.6	30.3	1.5	0.77	0.9	0.22	1.61	0.12	0.03	0
Tennessee Titans	TEN	3.4	36.1	1.8	0.58	0.85	0.18	1.43	0.24	0.02	0.01
Minnesota Vikings	MIN	2.3	27.8	1.5	0.34	0.79	0.21	1.13	0.11	0.11	0.01
