PLAYER	TEAM	FP	PA	SACK	INT	FUMR	BLK	TO	INTTD	KRETTD	PRETTD
San Francisco 49ers	SF	26.9	12.6	4.5	1.52	1.03	0.26	2.55	0.05	0.06	0.08
Kansas City Chiefs	KC	20.6	16.1	3.8	1.49	0.87	0.25	2.35	0.13	0.02	0.05
Chicago Bears	CHI	17.9	18.6	3.8	1.15	0.89	0.24	2.04	0.06	0.04	0.19
Baltimore Ravens	BAL	17.3	21.2	4.7	1.03	1.33	0.18	2.36	0.09	0.03	0.04
New York Jets	NYJ	17.2	17.6	3.5	0.78	1.21	0.25	1.99	0.12	0.05	0.09
Seattle Seahawks	SEA	17.2	18.1	3.3	1.41	1.13	0.22	2.54	0.09	0.04	0.03
Buffalo Bills	BUF	16	17.4	2.9	1.02	1.04	0.23	2.06	0.16	0.04	0.13
Philadelphia Eagles	PHI	13	22.1	2.5	1.44	1.26	0.19	2.67	0.18	0.03	0.04
Arizona Cardinals	ARI	12	23.6	3.5	0.83	0.91	0.22	1.74	0.24	0.04	0.1
Minnesota Vikings	MIN	11.8	23.2	3.8	0.54	1.06	0.24	1.6	0.24	0.06	0.01
Atlanta Falcons	ATL	11	24.2	2.6	1.42	0.86	0.19	2.28	0.07	0.02	0
Tennessee Titans	TEN	10.8	21.6	2.5	0.96	0.78	0.22	1.74	0.12	0.03	0.01
Jacksonville Jaguars	JAC	10.6	21.2	1.7	0.88	1.38	0.27	2.26	0.17	0.02	0.01
San Diego Chargers	SD	10.4	25.5	3.4	0.84	0.92	0.22	1.76	0.12	0.07	0.07
Denver Broncos	DEN	10.3	22.6	1.7	1.22	1.15	0.22	2.37	0.05	0.02	0.03
Green Bay Packers	GB	9	28.6	2.4	1.54	0.92	0.17	2.46	0.17	0.1	0.12
Cleveland Browns	CLE	8.9	23.8	2	0.96	0.91	0.23	1.88	0.31	0.03	0.05
Pittsburgh Steelers	PIT	8.8	23.9	2.1	0.94	0.82	0.22	1.76	0.11	0.04	0.03
Indianapolis Colts	IND	8.2	23.4	2.1	0.78	0.77	0.21	1.56	0.1	0.03	0.02
Miami Dolphins	MIA	8	25	3.1	0.45	0.78	0.25	1.23	0.2	0.06	0.05
Detroit Lions	DET	7.6	39.7	3.1	0.76	0.94	0.16	1.71	0.24	0.06	0.01
New England Patriots	NE	7.6	24.2	1.8	0.77	0.79	0.21	1.55	0.11	0.03	0.05
Cincinnati Bengals	CIN	7.4	25.4	2.4	0.64	0.91	0.21	1.49	0.1	0.05	0.04
New York Giants	NYG	6.7	29	2.7	1.22	0.71	0.2	1.93	0.11	0.03	0.02
Dallas Cowboys	DAL	6.6	25.3	1.9	0.91	0.79	0.21	1.71	0.1	0.05	0
Tampa Bay Buccaneers	TB	6.1	28.5	1.7	1.34	1	0.22	2.34	0.18	0.03	0.01
Washington Redskins	WAS	5.8	28.5	2.4	0.74	1.01	0.18	1.74	0.17	0.04	0.01
Houston Texans	HOU	5.8	29.4	2.3	0.88	1	0.21	1.88	0.09	0.05	0.01
St. Louis Rams	STL	5.4	27.2	1.4	1.22	1.14	0.2	2.36	0.15	0.02	0.02
Carolina Panthers	CAR	5.3	26.6	1.6	0.69	0.73	0.21	1.42	0.18	0.07	0.02
Oakland Raiders	OAK	4.7	27.7	1.4	0.62	1.11	0.23	1.72	0.13	0	0.04
New Orleans Saints	NO	4.2	28.5	1.6	0.72	0.85	0.23	1.57	0.11	0.05	0.03
