PLAYER	TEAM	FP	SOLO	AST	SACK	FUMR	FORCE	INT	PD
Joe Mays	DEN	3.7	3.5	1.1	0.02	0.01	0.01	0.01	0.15
Jovan Belcher	KC	3.7	3.4	2.4	0.06	0.01	0.02	0	0.08
Kavell Conner	IND	3.7	2.9	3.4	0.03	0.14	0.12	0.01	0.11
Whitney Mercilus	HOU	3.7	2.5	1.1	0.24	0.07	0.1	0.01	0.15
Thomas Howard	CIN	3.6	3	2.4	0.04	0.06	0.14	0.01	0.13
K.J. Wright	SEA	3.6	2.5	1.3	0.13	0.1	0.17	0	0.11
Pernell McPhee	BAL	3.6	2.1	1.1	0.29	0.08	0.13	0.01	0.14
Stephen Nicholas	ATL	3.5	2.8	2.2	0.04	0.07	0.16	0.02	0.08
Philip Wheeler	OAK	3.5	3.2	1.4	0.07	0.03	0.02	0	0.05
Jameel McClain	BAL	3.5	2.7	2.4	0.04	0.09	0.02	0.07	0.25
Bobby Wagner	SEA	3.5	2.6	1.6	0.09	0.09	0.11	0.01	0.14
Bryan Thomas	NYJ	3.3	1.8	0.9	0.37	0.02	0.08	0.04	0.15
Wesley Woodyard	DEN	3.3	2.8	1.8	0.04	0.02	0.09	0.01	0.1
Jacquian Williams	NYG	3.3	2.7	0.8	0.02	0.13	0.01	0.02	0.25
Bradie James	HOU	3.2	2.4	1.7	0.06	0.09	0.15	0.01	0.11
Chase Blackburn	NYG	3.2	2.1	1.3	0.02	0.08	0.01	0.14	0.16
Robert Ayers	DEN	3.1	1.7	1.1	0.26	0.06	0.12	0.01	0.11
Jarret Johnson	SD	3	2.4	1.1	0.08	0.05	0.1	0	0.1
Demario Davis	NYJ	3	2.5	1.1	0.11	0.01	0.03	0.01	0.11
Koa Misi	MIA	2.9	2	1.1	0.17	0.08	0.01	0.01	0.11
Scott Shanle	NO	2.8	2.3	1.6	0.05	0.02	0.05	0.03	0.28
Parys Haralson	SF	2.8	1.5	0.6	0.21	0.03	0.24	0.01	0.05
Courtney Upshaw	BAL	2.8	2.1	1	0.1	0.04	0.14	0.01	0.07
Brandon Siler	KC	2.7	2.1	1.4	0.12	0.01	0.01	0.04	0.15
Kelvin Sheppard	BUF	2.7	2.4	1.5	0.01	0.06	0.01	0.01	0.05
Mike Peterson	ATL	2.6	1.9	1.3	0.03	0.03	0.06	0.07	0.12
Mario Haggan	STL	2.6	1.7	0.7	0.11	0.1	0.05	0.04	0.07
Jonathan Vilma	NO	2.5	2.3	1.2	0.03	0.03	0.04	0.01	0.11
Keith Brooking	DEN	2.4	2.3	1.4	0.01	0.01	0.01	0	0.18
Manny Lawson	CIN	2.4	2	1.8	0.06	0.02	0.05	0.01	0.24
Clint Session	JAC	2.4	2.2	1.3	0	0	0.12	0	0.03
Jonathan Casillas	NO	2.4	1.8	0.9	0.16	0.01	0	0.01	0.14
Jason Worilds	PIT	2.4	1.4	0.9	0.23	0.05	0.1	0.01	0.04
Mario Harvey	IND	2.4	1.9	1.6	0.08	0.06	0.06	0.01	0.03
Larry English	SD	2.2	1	0.4	0.35	0.02	0.02	0.01	0.05
Russell Allen	JAC	2.2	1.5	0.8	0.03	0.01	0.15	0.05	0.1
Jasper Brinkley	MIN	2.1	1.6	0.9	0.06	0.04	0.05	0.01	0.04
Larry Foote	PIT	1.9	1.6	1.2	0.06	0.02	0.01	0.01	0.06
Dannell Ellerbe	BAL	1.9	1.6	0.9	0.03	0.01	0.03	0.01	0.07
Willie Young	DET	1.9	0.5	0.4	0.36	0.01	0.06	0.01	0.04
Casey Matthews	PHI	1.9	1.6	0.6	0.05	0.03	0.01	0.01	0.04
Kyle Wilber	DAL	1.9	1.7	0.7	0.05	0.02	0.03	0	0.07
