PLAYER	TEAM	FP	PA	SACK	INT	FUMR	BLK	TO	INTTD	KRETTD	PRETTD
Green Bay Packers	GB	19.1	17.2	3.1	2.06	0.87	0.2	2.93	0.07	0.06	0.09
Baltimore Ravens	BAL	19	16.3	4	1.08	0.91	0.21	1.99	0.08	0.02	0.03
Indianapolis Colts	IND	17.2	17	3.5	1.01	1.04	0.23	2.04	0.08	0.02	0.01
Seattle Seahawks	SEA	17.2	17.6	3.6	1.17	0.85	0.22	2.02	0.06	0.05	0.04
New York Giants	NYG	16.7	19.9	4.6	0.99	1.01	0.23	2	0.09	0.02	0.01
Detroit Lions	DET	15.3	20.9	4	0.84	1.27	0.23	2.11	0.12	0.05	0.02
San Diego Chargers	SD	13.6	20.4	3.2	1.03	0.96	0.2	1.99	0.23	0.07	0.08
Carolina Panthers	CAR	13.5	23.7	3.7	1.15	1.12	0.16	2.27	0.12	0.12	0
Chicago Bears	CHI	13	19.7	2.3	1.04	0.69	0.19	1.73	0.05	0.04	0.16
Miami Dolphins	MIA	13	20.7	3.7	0.83	0.85	0.22	1.68	0.18	0.03	0.03
Oakland Raiders	OAK	12.8	20.9	1.9	1.08	1.41	0.21	2.5	0.21	0.22	0.03
Houston Texans	HOU	12	21.2	2.1	1.46	1.02	0.21	2.48	0.13	0.03	0.01
Washington Redskins	WAS	9.3	24.6	2.2	1.05	0.83	0.18	1.89	0.13	0.04	0.02
Cleveland Browns	CLE	9.1	25	2.4	0.61	1.08	0.23	1.7	0.13	0.04	0.02
Pittsburgh Steelers	PIT	8.7	21.8	1.6	0.78	0.79	0.23	1.57	0.11	0.02	0.03
Tennessee Titans	TEN	8.6	23.3	2.6	0.41	1.03	0.23	1.44	0.22	0.02	0.02
Denver Broncos	DEN	7.4	24.5	1.5	0.84	0.73	0.22	1.57	0.1	0.01	0.16
Minnesota Vikings	MIN	7.3	28.7	3.4	0.61	0.92	0.22	1.54	0.22	0.1	0.01
Philadelphia Eagles	PHI	6.7	31.9	2.6	1.13	0.77	0.21	1.9	0.14	0.04	0.04
Kansas City Chiefs	KC	5.8	27.5	1.8	1.16	0.88	0.21	2.04	0.12	0.01	0.04
New Orleans Saints	NO	5.8	28.8	2.1	0.9	0.98	0.19	1.88	0.12	0.06	0.02
Tampa Bay Buccaneers	TB	5.6	27.4	1.3	1.31	1.1	0.2	2.4	0.11	0.05	0.01
Atlanta Falcons	ATL	5.3	27.2	2.1	0.88	0.92	0.2	1.81	0.11	0.02	0
Arizona Cardinals	ARI	5.2	36.8	2.3	0.53	0.87	0.2	1.4	0.35	0.06	0.1
Jacksonville Jaguars	JAC	4.3	29.3	1.6	0.89	0.95	0.2	1.79	0.17	0.03	0.01
Buffalo Bills	BUF	4.2	29.8	1.4	0.85	0.81	0.21	1.65	0.17	0.06	0.08
Cincinnati Bengals	CIN	4.1	29.2	1.4	0.65	1.19	0.2	1.84	0.07	0.04	0.04
Dallas Cowboys	DAL	4	28.7	1.9	0.78	0.65	0.2	1.43	0.13	0.06	0.01
St. Louis Rams	STL	0	0	0	0	0	0	0	0	0	0
New England Patriots	NE	0	0	0	0	0	0	0	0	0	0
New York Jets	NYJ	0	0	0	0	0	0	0	0	0	0
San Francisco 49ers	SF	0	0	0	0	0	0	0	0	0	0
