PLAYER	TEAM	FP	INT	PD	SOLO	AST	SACK	FUMR	FORCE
Antoine Winfield	MIN	7.5	0.12	0.25	5.9	3.9	0.13	0.02	0.26
Quintin Mikell	STL	6.5	0.09	0.41	4.6	1.8	0.08	0.16	0.37
Tyvon Branch	OAK	6.5	0.04	0.21	5.3	2	0.13	0.14	0.08
Jason McCourty	TEN	6.4	0.19	0.78	4.8	2	0.1	0.05	0.09
Lardarius Webb	BAL	6.3	0.37	1.11	3.5	1.7	0	0.12	0.08
Charles Tillman	CHI	6.2	0.08	0.5	4.7	1.6	0.02	0.15	0.24
Eric Weddle	SD	6.1	0.35	0.77	4.3	1.6	0	0.02	0.01
Marcus Trufant	SEA	6	0.18	0.59	3.9	2.2	0	0.22	0.07
Ronde Barber	TB	5.9	0.18	0.47	4.5	1.4	0.07	0.06	0.06
Bernard Pollard	BAL	5.9	0.06	0.7	4.2	2.2	0.14	0.04	0.27
LaRon Landry	NYJ	5.9	0.05	0.31	4.2	1.9	0.22	0.11	0.19
Charles Godfrey	CAR	5.9	0.12	0.35	4.8	2.3	0.03	0.02	0.19
Yeremiah Bell	NYJ	5.8	0.06	0.25	4.4	1.9	0.15	0.13	0.1
Thomas DeCoud	ATL	5.8	0.14	0.19	5	2.7	0	0.01	0.04
Gerald Sensabaugh	DAL	5.6	0.14	0.21	3.9	1.6	0.04	0.14	0.17
Richard Marshall	MIA	5.6	0.17	0.63	4.1	1.4	0.16	0.03	0.02
Antoine Bethea	IND	5.6	0.03	0.43	4.7	3.9	0	0.09	0.27
Jairus Byrd	BUF	5.6	0.14	0.29	3.8	2.1	0.05	0.07	0.24
Roman Harper	NO	5.5	0.02	0.46	3.7	1.8	0.34	0.08	0.18
Michael Griffin	TEN	5.5	0.19	0.42	4.1	1.7	0	0.06	0.18
Eric Wright	TB	5.5	0.18	0.62	4.4	1.3	0	0.02	0.05
Troy Polamalu	PIT	5.4	0.16	0.77	3.9	2.3	0.07	0.11	0.02
Eric Berry	KC	5.4	0.15	0.51	3.6	1.8	0.2	0.01	0.06
Dashon Goldson	SF	5.3	0.22	0.55	3.7	1.1	0.03	0.06	0.08
