PLAYER	TEAM	FP	SOLO	AST	SACK	FUMR	FORCE	INT	PD
Jason Babin	PHI	8.2	2.2	0.6	1.67	0.04	0.39	0	0.12
Trent Cole	PHI	7.2	3.2	1.1	1.19	0.03	0.12	0	0.19
John Abraham	ATL	6.6	1.8	0.7	1.22	0.09	0.4	0.02	0.19
Justin Smith	SF	6.1	3	0.9	0.81	0.06	0.22	0	0.09
Rob Ninkovich	NE	6.1	2.1	2.1	0.85	0.18	0.25	0.08	0.25
J.J. Watt	HOU	5.7	3	0.8	0.58	0.22	0.01	0.05	0.2
Mario Williams	BUF	5.1	1.5	0.5	1	0.02	0.3	0	0.14
Chris Long	STL	5.1	1.9	0.4	0.88	0.06	0.18	0	0.17
Connor Barwin	HOU	5.1	1.9	0.9	0.93	0.02	0.16	0	0.34
Julius Peppers	CHI	4.8	2	0.5	0.6	0.08	0.22	0.02	0.21
Jabaal Sheard	CLE	4.8	2.4	1.2	0.48	0.06	0.4	0	0.08
Robert Mathis	IND	4.7	2	1.3	0.45	0.28	0.27	0	0.06
Calais Campbell	ARI	4.4	2.9	1.4	0.3	0.04	0.12	0.02	0.38
Haloti Ngata	BAL	4.2	2.3	2.4	0.44	0.11	0.14	0	0.27
Ahtyba Rubin	CLE	4.2	3.3	2.2	0.26	0.02	0.01	0.01	0.02
Vince Wilfork	NE	4.1	1.8	1.5	0.53	0.11	0.08	0.06	0.17
Jeremy Mincey	JAC	4.1	2.2	1.2	0.38	0.03	0.26	0.02	0.06
Charles Johnson	CAR	4.1	2.4	0.9	0.52	0.03	0.02	0	0.2
Cliff Avril	DET	4.1	1.6	0.7	0.55	0.1	0.28	0.01	0.15
Tommy Kelly	OAK	4	2.1	1.6	0.32	0.06	0.29	0.05	0.22
Matt Shaughnessy	OAK	4	2.8	1	0.29	0.02	0.15	0	0.03
Adrian Clayborn	TB	4	1.8	1.2	0.53	0.02	0.26	0	0.06
Brett Keisel	PIT	3.9	2.1	1.8	0.2	0.19	0.27	0.01	0.51
Cullen Jenkins	PHI	3.9	1.8	0.6	0.56	0.13	0.01	0	0.03
Greg Hardy	CAR	3.8	2.2	0.8	0.26	0.02	0.27	0	0.49
Mark Anderson	BUF	3.7	1.1	0.9	0.72	0.06	0.14	0	0.14
Israel Idonije	CHI	3.6	2.1	1	0.33	0.07	0.1	0	0.02
Darryl Tapp	PHI	3.6	1.8	0.7	0.35	0.16	0.19	0	0.28
Paul Kruger	BAL	3.6	1.2	0.6	0.67	0.1	0.03	0	0.11
Michael Bennett	TB	3.6	2.3	0.3	0.25	0.14	0.07	0	0.02
Geno Atkins	CIN	3.6	1.5	1.3	0.48	0.1	0.14	0	0.09
Sione Pouha	NYJ	3.5	2.3	1.4	0.18	0.19	0.11	0	0.21
Aaron Maybin	NYJ	3.5	0.6	0.2	0.67	0.02	0.4	0	0.01
Marcell Dareus	BUF	3.5	1.6	0.8	0.55	0.07	0.01	0	0.07
Muhammad Wilkerson	NYJ	3.5	2	0.9	0.38	0.02	0.13	0	0.16
Kyle Vanden Bosch	DET	3.4	1.6	1.1	0.46	0.02	0.19	0	0.01
Chris Kelsay	BUF	3.4	1.7	1.4	0.48	0.01	0.12	0	0.18
Antonio Smith	HOU	3.4	1.3	0.6	0.56	0.02	0.16	0	0.13
Ray Edwards	ATL	3.4	1.6	0.7	0.47	0.14	0.01	0	0.2
Lamarr Houston	OAK	3.4	2.4	1.3	0.09	0.13	0.07	0.05	0.12
Carlos Dunlap	CIN	3.4	1.2	1	0.65	0.08	0.02	0	0.16
Ray McDonald	SF	3.3	1.5	0.7	0.39	0.05	0.21	0	0.08
Ndamukong Suh	DET	3.3	1.8	1.2	0.36	0.01	0.01	0.01	0.05
Robert Quinn	STL	3.3	1.2	0.2	0.4	0.03	0.14	0	0.18
Antonio Garay	SD	3.2	2.7	1.5	0.13	0.01	0.02	0	0
Jared Odrick	MIA	3.2	1.4	0.2	0.24	0.04	0.32	0.07	0.1
Jason Hatcher	DAL	3.1	1.4	0.8	0.39	0.03	0.09	0.06	0.08
Phil Taylor	CLE	3.1	2.2	1.7	0.24	0.02	0.1	0	0.06
Richard Seymour	OAK	3	2	0.8	0.22	0.02	0.02	0	0.14
Darnell Dockett	ARI	3	2.1	1	0.16	0.08	0.08	0	0.06
Randy Starks	MIA	3	2	0.6	0.12	0.04	0.02	0.1	0.22
Spencer Johnson	BUF	3	1.6	1.2	0.23	0.02	0.09	0.06	0.14
Desmond Bryant	OAK	3	2	0.5	0.22	0.01	0.1	0	0.04
Quinton Coples	NYJ	3	1.5	0.7	0.4	0.07	0.03	0.01	0.05
Dwight Freeney	IND	2.9	1	0.4	0.41	0.02	0.29	0	0.03
Dwan Edwards	CAR	2.8	1.9	1.6	0.18	0.03	0.08	0.02	0.07
Domata Peko	CIN	2.8	2.3	2	0.1	0.05	0.06	0	0.01
Kyle Williams	BUF	2.8	1.6	1.1	0.34	0.08	0.01	0	0.1
Michael Johnson	CIN	2.8	1.7	0.9	0.28	0.02	0.07	0.02	0.19
Brandon Graham	PHI	2.8	1.3	0.2	0.34	0.05	0.16	0	0
Will Smith	NO	2.7	1.5	0.6	0.28	0.03	0.08	0.02	0.09
Jay Ratliff	DAL	2.7	1.7	0.7	0.22	0.09	0.02	0	0.14
Chandler Jones	NE	2.7	1.1	0.9	0.49	0.03	0.03	0.01	0.04
Kenyon Coleman	DAL	2.5	1.8	1.1	0.16	0.08	0.02	0	0.08
Cory Redding	IND	2.5	1.9	1.9	0.13	0.07	0.02	0	0.08
Frostee Rucker	CLE	2.5	1.9	1	0.18	0.01	0.01	0	0.08
Lawrence Jackson	DET	2.5	1.3	1.3	0.33	0.05	0.02	0	0.01
B.J. Raji	GB	2.5	1.3	0.8	0.28	0.07	0.02	0.02	0.12
Gerald McCoy	TB	2.5	1.6	0.5	0.21	0.01	0.08	0	0.12
Ryan Pickett	GB	2.4	2.2	0.7	0.02	0.03	0.01	0	0.1
Glenn Dorsey	KC	2.4	2.3	2.1	0.01	0.01	0	0	0
Kendall Langford	STL	2.4	1.4	0.6	0.11	0.03	0.31	0	0.14
Brandon Deaderick	NE	2.4	1	0.5	0.44	0.01	0.01	0	0
