PLAYER	TEAM	FP	INT	PD	SOLO	AST	SACK	FUMR	FORCE
Charles Woodson	GB	8.2	0.32	0.83	4.9	1.9	0.24	0.07	0.23
Antoine Winfield	MIN	7.4	0.09	0.18	5.9	3.8	0.17	0.03	0.23
Morgan Burnett	GB	7.3	0.2	0.63	5	1.9	0.13	0.17	0.24
Tramon Williams	GB	6.8	0.33	1.14	3.8	1.5	0.05	0.18	0.04
Charles Godfrey	CAR	6.8	0.19	0.42	5.4	2.6	0.06	0.01	0.16
Quintin Mikell	STL	6.6	0.13	0.42	4.5	1.8	0.11	0.15	0.38
Charles Tillman	CHI	6.5	0.13	0.55	4.5	1.7	0.03	0.18	0.28
Eric Weddle	SD	6.5	0.43	0.67	4.2	1.7	0	0.01	0.02
Richard Marshall	MIA	6.3	0.15	0.46	5.1	1.9	0.09	0.04	0.05
Tyvon Branch	OAK	6.3	0.07	0.22	5.3	2.1	0.08	0.09	0.06
Jason McCourty	TEN	6.3	0.14	0.75	4.9	2.2	0.08	0.09	0.1
Dashon Goldson	SF	6	0.46	0.69	3.3	0.9	0.02	0.05	0.08
Greg Toler	ARI	6	0.04	0.36	4.8	1.6	0.1	0.08	0.24
Troy Polamalu	PIT	5.9	0.25	0.79	3.7	2.1	0.1	0.12	0.02
Roman Harper	NO	5.9	0.03	0.43	3.7	1.8	0.44	0.08	0.22
Bernard Pollard	BAL	5.8	0.04	0.76	4.3	2.4	0.08	0.04	0.26
Marcus Trufant	SEA	5.7	0.14	0.57	4.1	2.3	0	0.18	0.07
Yeremiah Bell	NYJ	5.7	0.09	0.28	4.3	1.8	0.09	0.14	0.11
LaRon Landry	NYJ	5.7	0.07	0.32	4.4	1.9	0.08	0.13	0.16
Thomas DeCoud	ATL	5.7	0.19	0.34	4.4	2.5	0	0.02	0.1
Jairus Byrd	BUF	5.7	0.17	0.45	3.4	2.2	0.06	0.1	0.31
DeAngelo Hall	WAS	5.6	0.19	0.69	4.1	3.7	0.05	0.04	0.11
Gerald Sensabaugh	DAL	5.5	0.15	0.22	3.5	1.5	0.06	0.18	0.19
Antoine Bethea	IND	5.5	0.02	0.35	4.9	4.4	0	0.06	0.19
Antrel Rolle	NYG	5.4	0.12	0.22	4.4	2	0	0.08	0.07
Lardarius Webb	BAL	5.4	0.25	1.17	3.6	2	0	0.06	0.04
Eric Berry	KC	5.4	0.17	0.46	3.7	1.9	0.11	0.02	0.08
Ronde Barber	TB	5.3	0.14	0.5	4.2	1.5	0.05	0.06	0.05
Carlos Rogers	SF	5.2	0.42	1.14	2.6	0.7	0	0.02	0.02
Kerry Rhodes	ARI	5.2	0.05	0.37	3.7	1.3	0.26	0.17	0.01
Brent Grimes	ATL	5.2	0.15	1.17	3.8	2.1	0	0.07	0.17
Matt Giordano	OAK	5.1	0.3	0.24	3.1	1.2	0.04	0.02	0.15
Michael Griffin	TEN	5.1	0.14	0.4	3.9	1.7	0	0.06	0.15
Dawan Landry	JAC	5	0.09	0.27	4	2.2	0.02	0.06	0.09
William Moore	ATL	5	0.16	0.64	3.5	2.1	0	0.03	0.28
Ryan Clark	PIT	4.9	0.12	0.36	3.9	2.4	0.07	0.04	0.03
Michael Huff	OAK	4.9	0.17	0.31	3.6	1.3	0.04	0.02	0.11
Patrick Chung	NE	4.9	0.14	0.51	3.2	2.5	0.15	0.04	0.02
Sherrod Martin	CAR	4.9	0.17	0.33	4	2	0	0.04	0.05
Bradley Fletcher	STL	4.9	0.16	0.43	4	1.6	0.01	0.05	0.01
Devin McCourty	NE	4.9	0.25	0.83	3.5	2.7	0.05	0.01	0.06
Kurt Coleman	PHI	4.9	0.25	0.3	3.4	1.2	0	0.03	0.07
Cortland Finnegan	STL	4.8	0.11	0.56	3.5	1.4	0.13	0.09	0.02
Eric Wright	TB	4.8	0.11	0.64	4	1.3	0	0.02	0.04
Kyle Arrington	NE	4.8	0.32	0.68	2.9	2.2	0.01	0.07	0.02
Earl Thomas	SEA	4.8	0.12	0.34	3.7	2.1	0	0.13	0.08
T.J. Ward	CLE	4.8	0.05	0.4	3.7	2.1	0.09	0.02	0.18
Nate Clements	CIN	4.7	0.09	0.63	3.1	2.3	0.08	0.11	0.23
Asante Samuel	ATL	4.7	0.28	0.91	2.2	1.2	0	0.12	0.15
Donte Whitner	SF	4.7	0.14	0.55	3.2	0.9	0	0.17	0.14
Patrick Peterson	ARI	4.7	0.07	0.51	3.2	1.1	0.07	0.05	0.01
Jordan Babineaux	TEN	4.6	0.07	0.38	3.5	1.5	0.04	0.06	0.11
George Wilson	BUF	4.6	0.21	0.4	3.1	2.2	0	0.09	0.15
Reggie Nelson	CIN	4.6	0.1	0.5	3.1	2.2	0.16	0.01	0.17
Kenny Phillips	NYG	4.6	0.17	0.57	3.3	1.6	0	0.06	0.11
Tracy Porter	DEN	4.6	0.06	0.45	3.7	1.4	0	0.15	0.11
Ed Reed	BAL	4.5	0.21	0.84	3.2	1.9	0.03	0.02	0.05
Nate Allen	PHI	4.5	0.18	0.53	3.4	1.2	0.04	0.03	0.02
Kendrick Lewis	KC	4.5	0.16	0.44	2.6	1.3	0	0.09	0.18
Brandon Browner	SEA	4.5	0.19	1.23	3.1	1.8	0	0.02	0.01
Orlando Scandrick	DAL	4.4	0.09	0.36	3	1.2	0.23	0.02	0.02
Sean Smith	MIA	4.4	0.09	0.54	3.9	1.5	0	0.04	0.02
Jerraud Powers	IND	4.4	0.16	0.5	3	2.7	0	0.06	0.01
Kam Chancellor	SEA	4.4	0.12	0.45	3.2	1.8	0.1	0.05	0.08
Chris Hope	ATL	4.3	0.13	0.26	2.9	1.6	0.02	0.23	0.03
Terence Newman	CIN	4.3	0.11	0.56	3.3	2.3	0	0.08	0.02
Danieal Manning	HOU	4.3	0.13	0.34	3.1	1.5	0	0.01	0.01
Eric Smith	NYJ	4.3	0.05	0.33	3.4	1.5	0.08	0.08	0.02
Tim Jennings	CHI	4.2	0.06	0.44	3.5	1.4	0	0.07	0.07
Malcolm Jenkins	NO	4.2	0.05	0.53	3.2	1.5	0.1	0.1	0.04
Chris Gamble	CAR	4.1	0.16	0.54	3.2	1.6	0	0.02	0.02
Kelvin Hayden	CHI	4.1	0.2	0.4	2.6	1	0	0.02	0.05
Cedric Griffin	WAS	4.1	0.07	0.64	3.3	3	0.01	0.02	0.21
Abram Elam	KC	4.1	0.03	0.2	3.2	1.6	0.02	0.09	0.19
Antoine Cason	SD	4.1	0.18	1.04	3	1.3	0	0.02	0.06
Glover Quin	HOU	4.1	0.05	0.45	3.5	1.5	0.01	0.08	0.03
Joe Haden	CLE	4.1	0.08	0.93	3.2	1.7	0.09	0.03	0.09
Jabari Greer	NO	4	0.18	1	2.9	1.4	0	0.03	0.01
Corey Webster	NYG	4	0.3	0.89	2.4	1	0.01	0.02	0.05
Steve Gregory	NE	4	0.14	0.21	3.1	2.3	0	0.02	0.02
Aqib Talib	TB	4	0.17	0.71	2.7	0.9	0	0.01	0.07
Brandon Flowers	KC	4	0.13	0.83	2.9	1.5	0	0.01	0.03
Sam Shields	GB	4	0.21	0.65	2.6	1	0.03	0.01	0.04
Ron Bartell	OAK	3.9	0.07	0.56	3.3	1.3	0	0.02	0.08
Antonio Cromartie	NYJ	3.9	0.27	0.77	2.3	0.9	0	0.03	0.07
Darrelle Revis	NYJ	3.9	0.21	1.11	2.3	1	0	0.05	0.02
Josh Wilson	WAS	3.9	0.12	0.71	2.8	2.5	0	0.07	0.05
Craig Dahl	STL	3.9	0.09	0.19	3.1	1.2	0.03	0.03	0.1
Louis Delmas	DET	3.9	0.03	0.22	3.2	1.5	0.06	0.07	0.05
