PLAYER	TEAM	FP	INT	PD	SOLO	AST	SACK	FUMR	FORCE
Charles Woodson	GB	8.2	0.25	0.71	4.7	1.8	0.31	0.08	0.28
Antoine Winfield	MIN	7.4	0.07	0.24	5.7	3.6	0.26	0.03	0.25
Morgan Burnett	GB	7.2	0.17	0.52	4.8	1.9	0.14	0.18	0.23
Quintin Mikell	STL	6.9	0.09	0.48	4.7	1.8	0.1	0.17	0.45
Troy Polamalu	PIT	6.5	0.3	0.74	4.2	2	0.04	0.15	0.04
Charles Tillman	CHI	6.4	0.11	0.61	4.4	1.5	0.04	0.18	0.3
Richard Marshall	MIA	6.3	0.2	0.64	4.6	1.6	0.15	0.07	0.04
Antoine Bethea	IND	6.3	0.04	0.47	5.1	4.7	0	0.12	0.3
Tramon Williams	GB	6.3	0.27	0.89	3.7	1.5	0.04	0.21	0.05
Tyvon Branch	OAK	6.3	0.08	0.27	5	2.1	0.19	0.1	0.04
Kerry Rhodes	ARI	6.2	0.13	0.53	4	1.3	0.27	0.22	0.01
Roman Harper	NO	6.2	0.04	0.37	4	1.8	0.4	0.1	0.25
Charles Godfrey	CAR	6.2	0.19	0.45	4.6	2.2	0.05	0.01	0.16
Yeremiah Bell	NYJ	6.1	0.08	0.32	4.4	1.9	0.19	0.14	0.1
LaRon Landry	NYJ	6	0.07	0.33	4.3	1.9	0.22	0.11	0.17
Thomas DeCoud	ATL	5.9	0.19	0.28	4.9	2.6	0	0.01	0.04
Greg Toler	ARI	5.8	0.09	0.56	4.3	1.4	0.05	0.1	0.19
Jason McCourty	TEN	5.8	0.13	0.72	4.6	2.1	0.04	0.07	0.09
Eric Berry	KC	5.8	0.21	0.44	3.9	1.9	0.12	0.01	0.06
Ronde Barber	TB	5.7	0.14	0.43	4.5	1.5	0.06	0.08	0.07
Bernard Pollard	BAL	5.7	0.04	0.63	4.3	2.1	0.12	0.03	0.2
Ryan Clark	PIT	5.5	0.13	0.33	4.6	2.3	0.03	0.06	0.03
Marcus Trufant	SEA	5.5	0.16	0.49	4	2.3	0	0.15	0.05
DeAngelo Hall	WAS	5.5	0.25	0.95	3.9	3.7	0.02	0.04	0.11
Dashon Goldson	SF	5.5	0.28	0.49	3.8	1.1	0.02	0.05	0.06
Patrick Peterson	ARI	5.5	0.15	0.58	3.4	1.1	0.08	0.06	0.01
Antrel Rolle	NYG	5.4	0.08	0.23	4.7	2.1	0.01	0.06	0.07
