PLAYER	TEAM	FP	SOLO	AST	SACK	FUMR	FORCE	INT	PD
DQwell Jackson	CLE	8.8	7.1	3.5	0.12	0.26	0.08	0.08	0.12
James Anderson	CAR	8.5	6.6	3.7	0.08	0.31	0.08	0.12	0.4
Karlos Dansby	MIA	8.2	6.5	1.9	0.11	0.03	0.49	0.06	0.33
Tamba Hali	KC	8.2	2.3	1.3	1.58	0.08	0.41	0.01	0.05
Patrick Willis	SF	7.9	5.6	2	0.35	0.13	0.37	0.04	0.46
London Fletcher	WAS	7.8	6.3	4	0.09	0.05	0.21	0.13	0.48
James Laurinaitis	STL	7.6	6	3	0.17	0.19	0.01	0.11	0.41
Chad Greenway	MIN	7.5	7.1	4.1	0.05	0.05	0.03	0.01	0.11
Kevin Burnett	MIA	7.4	6	2	0.14	0.06	0.09	0.09	0.24
Ray Lewis	BAL	7.2	5.7	2.5	0.18	0.03	0.18	0.06	0.48
DeMarcus Ware	DAL	7	3.7	1	0.87	0.09	0.2	0.01	0.08
Donald Butler	SD	6.9	4.6	1.5	0.18	0.15	0.5	0.06	0.16
James Harrison	PIT	6.8	4.3	1.9	0.57	0.02	0.29	0.02	0.18
Von Miller	DEN	6.8	2.8	0.9	1.1	0.02	0.28	0	0.27
Derrick Johnson	KC	6.7	5.1	1.9	0.2	0.08	0.14	0.08	0.56
Clay Matthews	GB	6.7	2.8	0.9	0.85	0.02	0.25	0.12	0.52
D.J. Williams	DEN	6.6	4.4	1.9	0.55	0.06	0.15	0	0.37
Jerod Mayo	NE	6.5	4.5	3.8	0.22	0.08	0.39	0.06	0.28
Sean Weatherspoon	ATL	6.5	5.6	3	0.17	0.08	0.02	0.02	0.41
Jon Beason	CAR	6.4	5.4	2.7	0.04	0.02	0.31	0.04	0.39
David Harris	NYJ	6.4	4.1	1.9	0.25	0.05	0.02	0.22	0.48
Brian Urlacher	CHI	6.2	4.7	1.6	0.08	0.17	0.02	0.15	0.45
Curtis Lofton	NO	6.2	5.3	2.9	0.08	0.08	0.15	0.03	0.2
Sean Lee	DAL	6.2	4.7	2.7	0.04	0.04	0.1	0.19	0.26
Pat Angerer	IND	6	4.6	4.9	0.07	0.11	0.21	0.07	0.19
Aldon Smith	SF	6	1.8	0.4	1.19	0.06	0.15	0.01	0.11
Ryan Kerrigan	WAS	6	3	1.7	0.54	0.02	0.43	0.07	0.16
Paul Posluszny	JAC	5.9	4.8	3.1	0.16	0.02	0.07	0.07	0.33
Navorro Bowman	SF	5.9	5	1.9	0.13	0.14	0.01	0.01	0.24
Daryl Smith	JAC	5.8	4.5	2.2	0.17	0.03	0.19	0.06	0.37
Brian Cushing	HOU	5.8	4.1	3.1	0.3	0.01	0.21	0.07	0.31
Rolando McClain	OAK	5.8	5	2.1	0.19	0.02	0.02	0.02	0.71
Daryl Washington	ARI	5.8	4.4	0.8	0.3	0.02	0.03	0.07	0.28
Nick Barnett	BUF	5.7	3.9	3.6	0.17	0.02	0.08	0.19	0.28
Donta Hightower	NE	5.7	3.9	2.5	0.35	0.08	0.23	0.02	0.17
Luke Kuechly	CAR	5.5	4.4	2	0.1	0.09	0.2	0.02	0.18
Lance Briggs	CHI	5.4	4.5	1.3	0.04	0.02	0.14	0.08	0.3
Michael Boley	NYG	5.4	4.3	1.6	0.12	0.13	0.08	0.03	0.25
Stephen Tulloch	DET	5.4	4.5	2.5	0.1	0.08	0.02	0.06	0.29
Elvis Dumervil	DEN	5.4	1.9	0.8	0.99	0.08	0.1	0.01	0.05
Lawrence Timmons	PIT	5.4	4.5	2.6	0.09	0.07	0.03	0.06	0.42
Colin McCarthy	TEN	5.4	4.2	1.5	0.01	0.15	0.2	0.06	0.14
Calvin Pace	NYJ	5.3	3.1	1.4	0.33	0.06	0.27	0.08	0.19
Brian Orakpo	WAS	5.3	2.5	1.9	0.64	0.05	0.16	0.01	0.19
Jamar Chaney	PHI	5.3	3.9	1.5	0.08	0.02	0.09	0.18	0.47
LaMarr Woodley	PIT	5.2	2.4	1.6	0.46	0.14	0.07	0.13	0.3
Leroy Hill	SEA	5.1	3.7	1.8	0.38	0.01	0.12	0.01	0.04
Anthony Spencer	DAL	5.1	3.7	1.6	0.23	0.02	0.26	0	0.06
Brandon Spikes	NE	5.1	3.3	2.3	0.14	0.15	0.24	0.07	0.24
Kamerion Wimbley	TEN	5	3.7	1.2	0.33	0.01	0.06	0.02	0.07
Erin Henderson	MIN	5	4.4	3.4	0.07	0.04	0.15	0	0.07
Melvin Ingram	SD	5	3.8	1.4	0.13	0.09	0.18	0.02	0.22
Mason Foster	TB	4.9	3.7	2.2	0.2	0.1	0.09	0.03	0.12
Scott Fujita	CLE	4.8	3.6	2.2	0.06	0.02	0.09	0.11	0.17
Quincy Black	TB	4.8	4	1	0.06	0.04	0.12	0.04	0.14
David Hawthorne	NO	4.8	4	2.3	0.08	0.08	0.05	0.04	0.19
Rey Maualuga	CIN	4.8	3.7	2.8	0.04	0.07	0.26	0.04	0.09
Justin Houston	KC	4.8	2.2	0.5	0.72	0.08	0.09	0.01	0.25
Takeo Spikes	SD	4.7	4.1	2.9	0.04	0.02	0.02	0.08	0.32
Cameron Wake	MIA	4.7	2.9	0.7	0.44	0.03	0.18	0	0.2
Barrett Ruud	NO	4.6	4	2.1	0.04	0.01	0.12	0.04	0.19
Paris Lenon	ARI	4.5	3.7	2	0.16	0.06	0.03	0.02	0.16
Shaun Phillips	SD	4.5	2.7	1	0.38	0.04	0.01	0.1	0.41
A.J. Hawk	GB	4.5	3.9	2.9	0.09	0.02	0.01	0.06	0.34
Brooks Reed	HOU	4.5	1.9	1.3	0.67	0.12	0.12	0.01	0.15
Antwan Barnes	SD	4.4	1.7	0.3	0.6	0.02	0.36	0.01	0.07
Sam Acho	ARI	4.4	1.6	0.3	0.63	0.07	0.36	0	0.09
Thomas Howard	CIN	4.3	3.5	2.3	0.06	0.04	0.21	0	0.12
Keith Rivers	NYG	4.3	3.9	1.6	0.1	0.02	0.02	0.01	0.11
DeAndre Levy	DET	4.3	3.7	2.5	0.03	0.02	0.04	0.06	0.1
Justin Durant	DET	4.2	3.6	1.6	0.08	0.07	0.05	0	0.08
Nick Perry	GB	4.2	3.2	1.4	0.22	0.04	0.07	0.02	0.26
Mychal Kendricks	PHI	4.2	2.9	0.9	0.21	0.09	0.1	0.04	0.17
