PLAYER	TEAM	FP	INT	PD	SOLO	AST	SACK	FUMR	FORCE
Charles Woodson	GB	7.5	0.27	0.81	4.8	1.9	0.14	0.08	0.26
Quintin Mikell	STL	7.3	0.11	0.53	4.9	1.5	0.08	0.22	0.5
Morgan Burnett	GB	7.1	0.19	0.57	5	2	0.08	0.2	0.22
Tyvon Branch	OAK	6.5	0.07	0.24	5.5	2.3	0.09	0.12	0.03
Richard Marshall	MIA	6.3	0.26	0.51	4.6	1.8	0.06	0.04	0.05
Tramon Williams	GB	6.3	0.24	1.02	3.8	1.4	0.02	0.2	0.04
Charles Godfrey	CAR	6.3	0.22	0.46	4.5	2.1	0.04	0.03	0.23
Roman Harper	NO	6.2	0.04	0.36	4.2	1.7	0.32	0.1	0.29
Eric Weddle	SD	6.2	0.21	0.5	4.9	1.9	0	0.02	0.02
Charles Tillman	CHI	6.1	0.1	0.49	4.3	1.7	0.03	0.16	0.26
LaRon Landry	NYJ	6	0.04	0.37	4.5	2	0.17	0.12	0.2
Greg Toler	ARI	6	0.06	0.43	4.9	1.7	0.05	0.06	0.18
Bernard Pollard	BAL	5.9	0.04	0.6	4.1	2.3	0.19	0.03	0.27
Yeremiah Bell	NYJ	5.8	0.05	0.36	4.4	1.9	0.16	0.13	0.11
DeAngelo Hall	WAS	5.8	0.26	0.88	4	3.6	0.04	0.05	0.14
Jairus Byrd	BUF	5.7	0.17	0.39	3.3	2.2	0.1	0.11	0.27
Antoine Bethea	IND	5.6	0.03	0.35	4.8	4.2	0	0.08	0.22
Ronde Barber	TB	5.5	0.18	0.5	4.2	1.4	0.04	0.08	0.06
Troy Polamalu	PIT	5.4	0.15	0.8	3.8	2.2	0.08	0.17	0.03
Eric Berry	KC	5.4	0.19	0.76	3.7	1.8	0.06	0.01	0.07
Nate Clements	CIN	5.3	0.09	0.44	3.8	2.1	0.08	0.1	0.17
Kerry Rhodes	ARI	5.3	0.08	0.46	3.9	1.4	0.17	0.13	0.01
Thomas DeCoud	ATL	5.3	0.26	0.4	3.8	2.1	0	0.01	0.08
Bradley Fletcher	STL	5.3	0.14	0.55	4.3	1.3	0	0.1	0.01
Gerald Sensabaugh	DAL	5.2	0.18	0.29	3.4	1.5	0.06	0.11	0.14
Dawan Landry	JAC	5.2	0.06	0.16	4.4	2.5	0.01	0.08	0.09
Cortland Finnegan	STL	5.2	0.08	0.73	4	1.2	0.08	0.12	0.04
Ryan Clark	PIT	5.1	0.07	0.4	4.5	2.5	0.04	0.04	0.05
Patrick Peterson	ARI	5.1	0.1	0.6	3.3	1.1	0.04	0.04	0.02
Asante Samuel	ATL	5	0.42	1.17	1.8	1	0	0.06	0.09
Donte Whitner	SF	5	0.06	0.44	3.8	1	0	0.19	0.19
Dashon Goldson	SF	5	0.19	0.54	3.6	1.1	0.04	0.05	0.1
George Wilson	BUF	4.9	0.27	0.39	3.1	2	0	0.08	0.09
Reggie Nelson	CIN	4.8	0.09	0.39	3.3	1.8	0.17	0.02	0.16
