PLAYER	TEAM	FP	PA	SACK	INT	FUMR	BLK	TO	INTTD	KRETTD	PRETTD
Green Bay Packers	GB	17.8	20.7	4.5	1.14	1.22	0.21	2.36	0.11	0.07	0.14
San Francisco 49ers	SF	17.2	18.1	4.1	1.09	0.92	0.23	2.01	0.13	0.05	0.07
Oakland Raiders	OAK	16.5	15.7	2.9	0.64	1.03	0.27	1.68	0.18	0.02	0.05
Indianapolis Colts	IND	15.2	17.9	3	1.04	0.87	0.21	1.92	0.12	0.05	0.02
Minnesota Vikings	MIN	15.1	20.7	3.7	0.85	1.19	0.2	2.04	0.08	0.07	0.01
New York Giants	NYG	13.9	22.1	3.4	1.22	1.29	0.2	2.51	0.12	0.02	0.01
Houston Texans	HOU	13.8	22.7	3.8	0.92	1.17	0.23	2.09	0.09	0.02	0.02
New England Patriots	NE	13.7	19.1	2.2	1.13	1.32	0.21	2.45	0.13	0.03	0.1
Arizona Cardinals	ARI	13.5	23.9	4.1	0.71	0.99	0.19	1.69	0.08	0.05	0.18
Cleveland Browns	CLE	13.3	21.6	3.4	1.02	0.81	0.2	1.83	0.18	0.03	0.08
Cincinnati Bengals	CIN	12.8	21.2	3.5	0.68	0.89	0.2	1.57	0.08	0.04	0.05
Detroit Lions	DET	12	26.5	4.2	0.78	1.07	0.22	1.85	0.23	0.05	0.02
Buffalo Bills	BUF	11.8	19.9	1.7	1.24	0.63	0.21	1.87	0.14	0.03	0.16
Pittsburgh Steelers	PIT	10.9	19	2	0.72	0.65	0.24	1.37	0.11	0.03	0.04
Chicago Bears	CHI	9.9	24.9	1.6	1.14	0.85	0.21	1.99	0.14	0.06	0.16
Seattle Seahawks	SEA	9.9	24.9	2.8	0.69	0.84	0.21	1.53	0.13	0.06	0.02
Dallas Cowboys	DAL	9.5	25.9	3.1	0.97	0.85	0.17	1.82	0.12	0.05	0.01
New Orleans Saints	NO	9.4	23.6	1.7	0.93	1.2	0.18	2.13	0.16	0.05	0.06
Jacksonville Jaguars	JAC	9.3	22.2	1.4	1.13	0.97	0.2	2.11	0.05	0.02	0.01
Baltimore Ravens	BAL	8.5	22.4	1.5	0.67	1.06	0.24	1.73	0.12	0.04	0.04
Carolina Panthers	CAR	6.4	26.2	1.6	0.79	0.97	0.18	1.76	0.14	0.07	0.01
Tennessee Titans	TEN	6.3	26	1.3	1.03	1.06	0.18	2.08	0.21	0.02	0.01
St. Louis Rams	STL	6	33.2	2.7	0.83	0.8	0.2	1.63	0.17	0.02	0.02
New York Jets	NYJ	5.4	29.6	1.8	0.82	0.94	0.25	1.76	0.15	0.07	0.08
Tampa Bay Buccaneers	TB	4.7	33.7	1.6	1.13	0.71	0.19	1.83	0.13	0.05	0.01
Washington Redskins	WAS	4.1	30.1	1.6	0.9	0.89	0.2	1.79	0.12	0.03	0.01
Atlanta Falcons	ATL	0	0	0	0	0	0	0	0	0	0
Denver Broncos	DEN	0	0	0	0	0	0	0	0	0	0
Kansas City Chiefs	KC	0	0	0	0	0	0	0	0	0	0
Miami Dolphins	MIA	0	0	0	0	0	0	0	0	0	0
Philadelphia Eagles	PHI	0	0	0	0	0	0	0	0	0	0
San Diego Chargers	SD	0	0	0	0	0	0	0	0	0	0
