PLAYER	TEAM	FP	SOLO	AST	SACK	FUMR	FORCE	INT	PD
Jared Allen	MIN	8.7	3.2	1.6	1.36	0.19	0.31	0.04	0.26
Jason Pierre-Paul	NYG	7	3.5	1.4	0.96	0.03	0.15	0	0.36
Chris Clemons	SEA	6.9	2	1.2	1.4	0.03	0.29	0	0.23
Jason Babin	PHI	6.5	2.3	0.4	1.18	0.02	0.25	0	0.13
Rob Ninkovich	NE	6.2	2.5	2.2	0.56	0.32	0.35	0.12	0.27
Julius Peppers	CHI	5.8	1.9	0.4	0.92	0.08	0.24	0.02	0.25
Trent Cole	PHI	5.6	3	0.7	0.78	0.01	0.1	0	0.14
Jabaal Sheard	CLE	5.5	2.4	1.1	0.7	0.07	0.42	0	0.12
Calais Campbell	ARI	5.4	2.5	1.3	0.69	0.08	0.17	0.03	0.39
John Abraham	ATL	5.3	2.1	0.9	0.62	0.1	0.47	0.02	0.13
Osi Umenyiora	NYG	5.3	1.6	1.1	0.96	0.02	0.38	0	0.08
Chris Long	STL	5	1.6	0.5	1.01	0.02	0.15	0	0.21
Justin Tuck	NYG	4.8	2	1.4	0.73	0.08	0.19	0	0.16
J.J. Watt	HOU	4.7	3.1	0.7	0.34	0.12	0.01	0.05	0.22
Robert Mathis	IND	4.6	1.9	1.2	0.45	0.31	0.28	0	0.05
Jeremy Mincey	JAC	4.6	1.9	0.8	0.65	0.05	0.23	0.03	0.12
Justin Smith	SF	4.5	3.2	1.2	0.31	0.04	0.11	0	0.05
Mario Williams	BUF	4.5	1.7	0.5	0.77	0.02	0.26	0	0.18
Charles Johnson	CAR	4.5	2.5	1	0.64	0.02	0.02	0	0.17
Ahtyba Rubin	CLE	4.4	3.1	2.2	0.36	0.02	0.02	0.03	0.05
Jared Odrick	MIA	4.2	1.5	0.2	0.6	0.04	0.29	0.05	0.15
Vince Wilfork	NE	4.1	2.1	1.6	0.3	0.19	0.15	0.08	0.18
Mathias Kiwanuka	NYG	4.1	2.6	1.2	0.32	0.06	0.12	0.03	0.06
Jurrell Casey	TEN	4.1	2.7	1.2	0.3	0.08	0.12	0	0.06
Brett Keisel	PIT	4	2.2	1.4	0.29	0.12	0.25	0.03	0.39
Darnell Dockett	ARI	3.8	2.1	0.9	0.38	0.14	0.12	0	0.04
Tommy Kelly	OAK	3.8	2.1	1.3	0.28	0.05	0.27	0.04	0.29
Connor Barwin	HOU	3.8	2	0.8	0.52	0.02	0.1	0	0.3
Matt Shaughnessy	OAK	3.8	2.7	0.8	0.27	0.01	0.1	0	0.04
Greg Hardy	CAR	3.8	2.2	1	0.25	0.02	0.24	0	0.48
Haloti Ngata	BAL	3.7	2.3	2.3	0.31	0.12	0.13	0	0.26
Cliff Avril	DET	3.7	1.6	0.7	0.4	0.1	0.27	0.03	0.18
Bruce Irvin	SEA	3.7	1.4	0.7	0.61	0.1	0.07	0.01	0.11
Randy Starks	MIA	3.6	2	0.6	0.34	0.04	0.02	0.1	0.22
Adrian Clayborn	TB	3.6	1.8	1.1	0.47	0.02	0.17	0	0.07
Karl Klug	TEN	3.6	1.1	0.2	0.65	0.02	0.2	0	0.18
Israel Idonije	CHI	3.5	2	0.9	0.39	0.07	0.07	0	0.04
Cullen Jenkins	PHI	3.5	1.9	0.5	0.42	0.08	0.01	0	0.02
Brian Robison	MIN	3.5	1.6	1.3	0.37	0.14	0.2	0	0.07
Phil Taylor	CLE	3.5	2.2	1.8	0.37	0.02	0.08	0	0.05
Will Smith	NO	3.4	1.4	0.7	0.6	0.01	0.08	0	0.09
Michael Bennett	TB	3.4	2.3	0.3	0.23	0.11	0.05	0	0.03
Robert Quinn	STL	3.4	1.1	0.2	0.53	0.02	0.1	0	0.17
Sione Pouha	NYJ	3.3	2.5	1.6	0.06	0.19	0.08	0	0.19
Jason Hatcher	DAL	3.3	1.4	0.8	0.44	0.02	0.14	0.07	0.12
Jason Jones	SEA	3.3	1.3	0.8	0.54	0.01	0.16	0	0.22
Lamarr Houston	OAK	3.3	2.3	1.2	0.08	0.16	0.03	0.05	0.14
Mark Anderson	BUF	3.2	1.2	0.8	0.56	0.04	0.11	0	0.09
Chris Kelsay	BUF	3.1	1.8	1.3	0.36	0.01	0.08	0	0.13
Antonio Garay	SD	3.1	2.2	1.5	0.26	0.02	0.02	0	0
Ndamukong Suh	DET	3.1	1.9	1.2	0.24	0.02	0.01	0.01	0.08
Marcell Dareus	BUF	3.1	1.6	0.7	0.43	0.06	0.01	0	0.04
Kyle Vanden Bosch	DET	3	1.6	1.1	0.28	0.03	0.21	0	0.01
Kevin Williams	MIN	3	1.8	1.4	0.3	0.01	0.12	0	0.28
Dwan Edwards	CAR	3	2.2	1.8	0.2	0.01	0.04	0.01	0.07
Darryl Tapp	PHI	3	1.7	0.6	0.22	0.14	0.13	0	0.23
Ray Edwards	ATL	3	1.8	0.8	0.2	0.2	0.02	0	0.14
Geno Atkins	CIN	3	1.4	1.5	0.29	0.14	0.15	0	0.1
Jay Ratliff	DAL	2.9	1.6	0.7	0.25	0.18	0.03	0	0.17
Muhammad Wilkerson	NYJ	2.9	2.1	1.2	0.16	0.01	0.11	0	0.14
Dwight Freeney	IND	2.8	0.8	0.5	0.4	0.02	0.32	0	0.02
Kyle Williams	BUF	2.8	1.6	1.2	0.32	0.06	0.01	0	0.09
Alan Branch	SEA	2.8	1.4	1	0.39	0.02	0.08	0	0.06
Desmond Bryant	OAK	2.8	1.8	0.4	0.2	0.02	0.1	0	0.05
Richard Seymour	OAK	2.7	1.8	0.7	0.23	0.03	0.01	0	0.17
Spencer Johnson	BUF	2.7	1.7	1	0.2	0.01	0.06	0.03	0.11
Ray McDonald	SF	2.7	1.7	0.9	0.16	0.06	0.12	0.02	0.08
Paul Kruger	BAL	2.7	1.2	0.6	0.41	0.07	0.03	0	0.08
Chandler Jones	NE	2.7	1.3	0.9	0.38	0.04	0.05	0	0.04
Antonio Smith	HOU	2.6	1.4	0.5	0.3	0.02	0.13	0	0.11
Frostee Rucker	CLE	2.6	1.9	1	0.22	0.02	0.02	0	0.08
Gerald McCoy	TB	2.6	1.8	0.4	0.19	0.02	0.08	0	0.12
