PLAYER	TEAM	FP	INT	PD	SOLO	AST	SACK	FUMR	FORCE
Antoine Winfield	MIN	8.3	0.07	0.25	6	3.7	0.31	0.06	0.42
Charles Woodson	GB	7.5	0.2	0.75	4.7	1.8	0.25	0.1	0.3
Morgan Burnett	GB	7.2	0.12	0.6	5	1.9	0.14	0.23	0.29
Quintin Mikell	STL	6.9	0.15	0.56	4.7	1.4	0.11	0.14	0.34
Charles Tillman	CHI	6.6	0.11	0.54	4.8	1.6	0.04	0.12	0.25
Richard Marshall	MIA	6.5	0.18	0.53	4.7	1.6	0.21	0.06	0.04
DeAngelo Hall	WAS	6.4	0.33	0.81	4.2	2.9	0.1	0.03	0.09
Tyvon Branch	OAK	6.4	0.06	0.24	5.2	2.1	0.12	0.12	0.05
Jason McCourty	TEN	6.4	0.15	0.83	4.9	2.1	0.06	0.1	0.1
Tramon Williams	GB	6.1	0.2	1.02	3.7	1.5	0.06	0.26	0.05
Ronde Barber	TB	6	0.18	0.38	4.7	1.5	0.06	0.06	0.06
Marcus Trufant	SEA	6	0.21	0.48	4	1.9	0	0.14	0.05
Charles Godfrey	CAR	6	0.19	0.38	4.6	2.4	0.04	0.02	0.16
Thomas DeCoud	ATL	6	0.17	0.38	4.9	2.8	0	0.02	0.08
Bernard Pollard	BAL	5.9	0.03	0.56	4.1	2	0.15	0.03	0.3
Eric Berry	KC	5.9	0.25	0.56	3.6	2	0.1	0.01	0.09
Troy Polamalu	PIT	5.8	0.17	0.61	4.3	2.1	0.05	0.12	0.04
Roman Harper	NO	5.7	0.03	0.45	3.6	1.8	0.28	0.14	0.36
Eric Weddle	SD	5.7	0.34	0.72	4	1.6	0.01	0.01	0.01
Dashon Goldson	SF	5.7	0.2	0.39	4.4	1.2	0.01	0.06	0.08
Greg Toler	ARI	5.7	0.09	0.53	4.2	1.4	0.05	0.12	0.17
Antoine Bethea	IND	5.6	0.02	0.34	5	4.2	0	0.07	0.17
Ryan Clark	PIT	5.5	0.07	0.26	4.9	2.3	0.04	0.04	0.03
Kerry Rhodes	ARI	5.5	0.09	0.56	3.8	1.2	0.19	0.2	0.01
Nate Clements	CIN	5.4	0.09	0.55	3.7	2	0.08	0.11	0.26
Gerald Sensabaugh	DAL	5.4	0.15	0.28	3.7	1.6	0.05	0.09	0.17
Dawan Landry	JAC	5.4	0.1	0.2	4.2	2.5	0.03	0.11	0.1
Jairus Byrd	BUF	5.4	0.16	0.39	3.2	2.2	0.09	0.09	0.24
William Moore	ATL	5.4	0.16	0.69	4.1	2.3	0	0.02	0.2
Earl Thomas	SEA	5.4	0.14	0.3	3.9	1.9	0	0.16	0.14
Antrel Rolle	NYG	5.3	0.07	0.22	4.8	2	0	0.03	0.07
Patrick Peterson	ARI	5.3	0.15	0.66	3.2	1.1	0.06	0.04	0.01
Brandon Browner	SEA	5.3	0.29	1.03	3.1	1.5	0	0.02	0.02
Donte Whitner	SF	5.2	0.07	0.31	4	1.2	0	0.2	0.13
Michael Griffin	TEN	5.2	0.16	0.57	3.9	1.8	0	0.06	0.14
Eric Wright	TB	5.2	0.13	0.48	4.4	1.5	0	0.02	0.05
Bradley Fletcher	STL	5.2	0.17	0.51	4.2	1.3	0	0.04	0.01
Yeremiah Bell	NYJ	5.1	0.06	0.31	3.9	1.8	0.13	0.08	0.07
Cortland Finnegan	STL	5.1	0.09	0.69	3.8	1.2	0.13	0.08	0.03
Reggie Nelson	CIN	5.1	0.14	0.43	3.3	1.8	0.16	0.02	0.15
Lardarius Webb	BAL	5.1	0.21	0.95	3.3	1.7	0	0.1	0.07
Asante Samuel	ATL	4.9	0.3	1.08	2.4	1.4	0	0.05	0.1
Aqib Talib	TB	4.9	0.24	0.57	3	1	0	0.01	0.08
Tracy Porter	DEN	4.9	0.06	0.46	3.8	1.6	0	0.19	0.12
LaRon Landry	NYJ	4.8	0.05	0.39	3.8	1.6	0.14	0.07	0.11
T.J. Ward	CLE	4.8	0.07	0.47	3.4	1.8	0.14	0.02	0.22
Jordan Babineaux	TEN	4.7	0.09	0.41	3.4	1.5	0.02	0.09	0.14
Kam Chancellor	SEA	4.7	0.15	0.37	3.4	1.6	0.05	0.08	0.1
Kurt Coleman	PHI	4.7	0.19	0.3	3.6	1	0	0.02	0.07
Chris Hope	ATL	4.6	0.14	0.29	3.4	1.8	0.01	0.14	0.02
Matt Giordano	OAK	4.6	0.23	0.25	2.9	1.2	0.06	0.02	0.14
Josh Wilson	WAS	4.6	0.22	0.77	3	2	0	0.07	0.06
Malcolm Jenkins	NO	4.6	0.04	0.54	3.4	1.5	0.08	0.19	0.09
Patrick Chung	NE	4.6	0.07	0.44	3.3	2.6	0.15	0.03	0.01
Terence Newman	CIN	4.5	0.11	0.46	3.5	2.1	0	0.1	0.01
George Wilson	BUF	4.5	0.24	0.35	3	2	0	0.07	0.11
Nate Allen	PHI	4.5	0.2	0.61	3.4	1	0.03	0.02	0.03
Kendrick Lewis	KC	4.5	0.18	0.46	2.5	1.3	0	0.1	0.2
Carlos Rogers	SF	4.4	0.18	0.67	3.2	1	0	0.02	0.03
Michael Huff	OAK	4.4	0.11	0.34	3.3	1.3	0.09	0.02	0.13
Tim Jennings	CHI	4.4	0.06	0.38	3.8	1.3	0	0.07	0.07
Brandon Flowers	KC	4.4	0.2	1.02	2.9	1.5	0	0.02	0.03
Jerraud Powers	IND	4.4	0.16	0.49	3.2	2.6	0	0.04	0.02
Joe Haden	CLE	4.4	0.16	1.2	2.8	1.5	0.13	0.06	0.11
Reshad Jones	MIA	4.4	0.04	0.25	3.2	1.1	0.21	0.1	0.02
Cody Grimm	TB	4.4	0.08	0.14	3.7	1.3	0	0.02	0.04
Ed Reed	BAL	4.3	0.19	0.72	2.9	1.4	0.04	0.03	0.1
Cedric Griffin	WAS	4.3	0.09	0.63	3.5	2.3	0	0.01	0.18
Sherrod Martin	CAR	4.3	0.16	0.38	3.4	1.7	0	0.02	0.06
Sean Smith	MIA	4.3	0.09	0.5	3.7	1.3	0.01	0.04	0.02
Devin McCourty	NE	4.3	0.14	0.81	3.3	2.6	0.04	0.01	0.07
Jabari Greer	NO	4.2	0.2	1.11	2.9	1.4	0	0.06	0.02
Stanford Routt	KC	4.2	0.25	0.75	2.6	1.4	0	0.02	0.07
Danieal Manning	HOU	4.2	0.15	0.38	3	1.5	0	0.01	0.01
Kenny Phillips	NYG	4.2	0.13	0.48	3.3	1.5	0	0.02	0.11
Leon Hall	CIN	4.1	0.16	0.58	2.8	1.6	0	0.1	0.06
Chris Houston	DET	4.1	0.22	0.81	2.5	1	0	0.01	0.02
Dwight Lowery	JAC	4.1	0.2	0.45	1.7	1	0.17	0.13	0.01
Orlando Scandrick	DAL	4.1	0.04	0.36	3.2	1.3	0.18	0.02	0.01
Jacob Lacey	DET	4.1	0.12	0.45	2.7	1.1	0	0.04	0.21
Richard Sherman	SEA	4.1	0.2	0.71	2.8	1.4	0	0.02	0.13
Rashean Mathis	JAC	4	0.12	0.38	2.9	1.7	0	0.1	0.09
Johnathan Joseph	HOU	4	0.23	0.86	2.6	1.2	0.01	0.02	0.07
Eric Smith	NYJ	4	0.03	0.33	3	1.3	0.14	0.05	0.01
Reed Doughty	WAS	4	0.04	0.19	3.2	2.1	0.05	0.05	0.12
Justin King	IND	4	0.04	0.23	3.4	2.9	0.03	0.02	0.1
Kyle Arrington	NE	4	0.17	0.67	2.9	2.3	0	0.06	0.03
Captain Munnerlyn	CAR	4	0.04	0.39	2.8	1.4	0.07	0.09	0.23
Major Wright	CHI	4	0.12	0.26	3	1	0	0.01	0.01
Dunta Robinson	ATL	3.9	0.08	0.6	3.4	1.9	0	0.02	0.01
Corey Webster	NYG	3.9	0.25	0.78	2.5	1.1	0	0.01	0.04
Abram Elam	KC	3.9	0.06	0.22	3	1.5	0.02	0.08	0.16
Antoine Cason	SD	3.9	0.18	1.17	2.8	1.2	0	0.01	0.05
Glover Quin	HOU	3.9	0.06	0.59	3.3	1.5	0	0.09	0.04
Alterraun Verner	TEN	3.9	0.09	0.5	3	1.3	0	0.13	0.04
Mark Barron	TB	3.9	0.11	0.29	3	1.1	0.03	0.06	0.05
Chris Gamble	CAR	3.8	0.18	0.57	2.8	1.4	0	0.02	0.02
Craig Dahl	STL	3.8	0.08	0.26	3.1	0.9	0.02	0.05	0.07
E.J. Biggers	TB	3.8	0.05	0.43	3.5	1.2	0	0.02	0.01
Steve Gregory	NE	3.7	0.08	0.24	3.1	2.3	0	0.01	0.02
Vontae Davis	IND	3.7	0.1	0.37	3.1	2.6	0.03	0.02	0.01
Alphonso Smith	DET	3.7	0.23	0.47	1.7	0.7	0	0.06	0.09
Troy Nolan	MIA	3.7	0.04	0.26	2.7	0.9	0.12	0.11	0.02
Adrian Wilson	ARI	3.6	0.07	0.62	3	1	0.02	0.02	0.07
Ron Bartell	OAK	3.6	0.05	0.59	3.3	1.3	0	0.02	0.05
William Gay	ARI	3.6	0.07	0.69	2.8	0.9	0.02	0.09	0.02
Louis Delmas	DET	3.6	0.04	0.26	3	1.2	0.05	0.06	0.04
Derek Cox	JAC	3.6	0.18	0.38	2.6	1.5	0	0.02	0.01
Jamarca Sanford	MIN	3.6	0.04	0.24	2.8	1.6	0.03	0.13	0.1
Amari Spievey	DET	3.6	0.12	0.19	2.7	1.2	0.07	0.03	0.01
Sam Shields	GB	3.6	0.14	0.61	2.5	1	0.05	0.02	0.05
Ike Taylor	PIT	3.5	0.1	0.54	2.8	1.3	0.03	0.02	0.05
Brandon Carr	DAL	3.5	0.12	0.58	2.7	1.1	0	0.07	0.01
Harrison Smith	MIN	3.5	0.04	0.44	2.7	1.6	0.06	0.06	0.09
Champ Bailey	DEN	3.4	0.1	0.79	2.6	1.1	0.03	0.02	0.1
Drayton Florence	DET	3.4	0.16	0.7	2	0.9	0	0.06	0.08
Mike Adams	DEN	3.4	0.11	0.32	2.5	1.1	0.01	0.06	0.07
D.J. Moore	CHI	3.4	0.14	0.35	2.4	0.8	0	0.02	0.02
Javier Arenas	KC	3.4	0.08	0.3	1.7	0.8	0.08	0.08	0.01
Sheldon Brown	CLE	3.3	0.19	0.73	2.1	1.2	0	0.08	0.09
Aaron Williams	BUF	3.3	0.1	0.54	2.4	1.6	0	0.02	0.14
Antonio Cromartie	NYJ	3.2	0.21	0.91	2	0.8	0	0.02	0.06
Tarell Brown	SF	3.2	0.15	0.52	2.2	0.6	0	0.02	0.01
Patrick Robinson	NO	3.2	0.18	0.68	1.9	0.9	0	0.02	0.01
Quentin Jammer	SD	3.1	0.04	0.59	2.6	1	0	0.07	0.05
Bryan Scott	BUF	3.1	0.08	0.33	1.8	1.2	0.16	0.08	0.01
Darrelle Revis	NYJ	3.1	0.16	1.27	2	0.9	0	0.03	0.01
Dominique Rodgers-Cromartie	PHI	3.1	0.07	0.75	2.2	0.7	0.04	0.02	0.01
Cary Williams	BAL	3.1	0.04	0.55	2.6	1.4	0	0.02	0.13
Perrish Cox	SF	3.1	0.02	0.62	3	1.1	0	0.01	0
Quinton Carter	DEN	3.1	0.08	0.17	2.5	1.1	0.05	0.01	0.01
Nnamdi Asomugha	PHI	3	0.17	0.42	2.2	0.7	0	0.01	0
Jason Allen	CIN	3	0.11	0.42	2.4	1.3	0	0.01	0.02
Aaron Ross	JAC	3	0.16	0.38	2.1	1.2	0.02	0.02	0.02
Courtney Greene	JAC	3	0.06	0.15	2.1	1.2	0	0.1	0.1
Kareem Jackson	HOU	3	0.08	0.46	2.4	1.1	0	0.01	0.1
Jim Leonhard	DEN	3	0	0.12	2.6	1.1	0	0.05	0.1
Chris Cook	MIN	2.9	0.01	0.47	2.8	1.7	0	0.02	0.01
Marcus Gilchrist	SD	2.9	0.15	0.32	1.8	0.7	0	0.11	0.01
Usama Young	CLE	2.8	0.09	0.2	2.1	1.2	0.05	0.02	0.02
Mike Jenkins	DAL	2.8	0.07	0.55	2.3	0.9	0	0.02	0.03
Morris Claiborne	DAL	2.7	0.14	0.54	1.6	0.6	0.02	0.06	0.05
Terrence McGee	BUF	2.6	0.05	0.36	2.3	1.4	0	0.01	0.01
James Sanders	ARI	2.6	0.03	0.21	2.1	0.8	0	0.08	0.01
Mike Mitchell	OAK	2.6	0.04	0.46	1.9	0.7	0.06	0.07	0.05
Chris Culliver	SF	2.6	0.04	0.23	2.3	0.7	0	0.02	0.01
Leodis McKelvin	BUF	2.5	0.08	0.58	1.4	1	0	0.13	0.02
Chris Clemons	MIA	2.5	0.03	0.24	1.4	0.5	0.03	0.1	0.19
Joselio Hanson	OAK	2.4	0.05	0.28	1.7	0.7	0.01	0.14	0.01
Dimitri Patterson	CLE	2.4	0.08	0.7	1.6	0.9	0.04	0.02	0.02
Brandon Meriweather	WAS	2.4	0.05	0.22	2	1.4	0	0.03	0.02
Darian Stewart	STL	2.4	0.04	0.15	2	0.6	0	0.01	0.06
Quintin Demps	HOU	2.3	0.14	0.24	1.6	0.8	0	0.01	0
Craig Steltz	CHI	2.3	0.04	0.14	1.6	0.6	0.04	0.02	0.15
Jimmy Smith	BAL	2.3	0.12	0.41	1.5	0.7	0	0.09	0.02
Rahim Moore	DEN	2.3	0.05	0.18	1.8	0.7	0	0.08	0.01
Stephon Gilmore	BUF	2.3	0.21	0.71	1	0.7	0.02	0.04	0.03
Janoris Jenkins	STL	2.3	0.15	0.65	1.3	0.4	0.02	0.05	0.03
Adam Jones	CIN	2.2	0.02	0.25	1.6	1.1	0	0.05	0.08
Alan Ball	HOU	2.1	0.06	0.5	1.6	0.7	0.01	0.04	0.03
Christopher Owens	ATL	2.1	0.02	0.31	1.9	1.2	0	0.01	0.01
Walter Thurmond	SEA	2.1	0.06	0.28	1.4	0.7	0	0.02	0.17
Mistral Raymond	MIN	2.1	0.16	0.48	1.1	0.7	0	0.08	0.02
Keenan Lewis	PIT	2	0.04	0.24	1.6	0.7	0	0.01	0.02
Brice McCain	HOU	2	0.09	0.62	1.2	0.6	0.01	0.01	0.01
Kyle Wilson	NYJ	2	0.07	0.31	1.6	0.7	0	0.01	0
Michael Adams	ARI	1.9	0.04	0.22	1.6	0.6	0	0.01	0.01
Brandon Taylor	SD	1.9	0.06	0.32	1.4	0.6	0.02	0.03	0.03
James Ihedigbo	BAL	1.9	0	0.04	1.8	1	0	0.01	0.01
Sean Considine	BAL	1.8	0.04	0.24	0.8	0.4	0.02	0.16	0.1
Justin Tryon	NYG	1.8	0.05	0.39	1.4	0.6	0	0.03	0.01
Ryan Mundy	PIT	1.8	0.03	0.18	1.3	0.6	0	0.02	0.16
Rashad Johnson	ARI	1.8	0.02	0.2	1.6	0.5	0	0.03	0.03
Nolan Carroll	MIA	1.8	0.05	0.27	1.5	0.5	0	0.03	0.02
Jaiquawn Jarrett	PHI	1.8	0.07	0.31	1.3	0.4	0.01	0.03	0.01
Chris Conte	CHI	1.8	0.04	0.15	1.5	0.5	0	0.02	0.01
Casey Hayward	GB	1.8	0.11	0.6	1.1	0.5	0.02	0.03	0.03
Shawntae Spencer	OAK	1.7	0.06	0.24	1.3	0.5	0	0.03	0.03
Justin Rogers	BUF	1.7	0.09	0.3	0.7	0.4	0	0.01	0.01
Jerron McMillian	GB	1.7	0.04	0.23	1.2	0.5	0.03	0.03	0.04
Tom Zbikowski	IND	1.6	0.03	0.13	1.1	0.8	0.02	0.02	0.02
Barry Church	DAL	1.6	0.04	0.16	1.2	0.4	0	0.05	0.04
Prince Amukamara	NYG	1.6	0.08	0.22	1.1	0.5	0	0.06	0.01
Dre Kirkpatrick	CIN	1.6	0.06	0.45	1.1	0.6	0.02	0.03	0.05
Brandon Boykin	PHI	1.6	0.07	0.25	0.4	0.1	0	0.03	0.01
Elbert Mack	NO	1.5	0.08	0.35	0.8	0.4	0	0.02	0.01
Brandyn Thompson	WAS	1.5	0.04	0.2	0.4	0.3	0	0.29	0.01
Madieu Williams	WAS	1.4	0.05	0.22	1	0.7	0	0.01	0.04
DaNorris Searcy	BUF	1.4	0.06	0.23	1	0.7	0	0.01	0.01
Chris Prosinski	JAC	1.3	0.05	0.16	0.8	0.4	0	0.08	0.01
Jerome Murphy	NO	1.3	0.05	0.26	0.8	0.4	0	0.09	0.02
Darcel McBath	SF	1.3	0	0.07	1.2	0.4	0	0.01	0
Atari Bigby	SD	1.2	0.06	0.22	0.4	0.1	0.09	0.09	0.01
Jalil Brown	KC	1.2	0.07	0.25	0.4	0.2	0	0.15	0.02
Buster Skrine	CLE	1.2	0.1	0.22	0.4	0.2	0	0.02	0.02
Josh Thomas	CAR	1.2	0.03	0.18	0.4	0.2	0	0.17	0.03
