PLAYER	TEAM	FP	REC	RECYD	YPR	RECTD	FUML
Ryan Broyles	DET	2.5	1.2	15	13.2	0.09	0.03
T.J. Graham	BUF	2.5	1.6	21	13.3	0.07	0.01
Joshua Cribbs	CLE	2.4	0.8	9	12.2	0.01	0.2
Julian Edelman	NE	2.4	1.3	14	11.1	0.06	0.18
Josh Gordon	CLE	2.4	1.9	21	11.3	0.06	0.01
Harry Douglas	ATL	2.2	1.2	15	12.4	0.03	0.08
Keshawn Martin	HOU	2.2	1	13	13.2	0.13	0.02
Ted Ginn Jr.	SF	2	0.1	1	12.7	0	0.1
Cecil Shorts	JAC	2	1.1	13	11.2	0.05	0.04
Rueben Randle	NYG	2	1	14	14.6	0.1	0.01
Travis Benjamin	CLE	2	1.3	17	12.6	0.04	0.02
Devin Aromashodu	MIN	1.9	1.2	17	14.9	0.04	0.02
Chaz Schilens	NYJ	1.9	1.3	16	12.6	0.06	0.02
Richard Goodman	SD	1.9	0.5	6	12.2	0.03	0.03
Brad Smith	BUF	1.8	1.2	12	10.7	0.04	0.02
Mohamed Sanu	CIN	1.8	1.1	15	13.7	0.05	0.01
Jon Baldwin	KC	1.7	1.3	16	12.8	0.02	0.01
Michael Floyd	ARI	1.6	0.9	13	13.7	0.05	0
Sammie Stroughter	TB	1.5	0.9	10	11.1	0.03	0.09
Arrelious Benn	TB	1.5	0.9	12	13.7	0.05	0.01
Dwayne Harris	DAL	1.5	0.7	8	10.7	0.04	0.06
Ruvell Martin	BUF	1.4	0.9	13	14.9	0.03	0.01
Patrick Turner	NYJ	1.3	0.7	10	13.5	0.06	0.01
Greg Salas	NE	1.3	1.1	11	10	0.06	0.06
Joe Adams	CAR	1.3	0.2	3	12.3	0.01	0.07
Damian Williams	TEN	1.1	0.6	7	11.5	0.04	0.01
Brandon Banks	WAS	1	0.1	1	10.4	0	0.4
Kealoha Pilares	CAR	1	0.1	2	11.4	0.01	0.12
Chris Givens	STL	1	0.6	8	13.5	0.03	0.01
Damaris Johnson	PHI	1	0.2	2	11.3	0.01	0.04
Trindon Holliday	HOU	1	0	0	0	0	0.06
Ben Obomanu	SEA	0.9	0.6	8	12	0.03	0.01
Cole Beasley	DAL	0.9	0.8	7	9.2	0.03	0
Lavelle Hawkins	TEN	0.8	0.6	7	10.8	0.03	0.01
Eric Weems	CHI	0.7	0	0	0	0	0.01
Deonte Thompson	BAL	0.7	0.1	2	14.3	0.01	0.02
Matt Willis	DEN	0.6	0.1	2	15.5	0.01	0.12
Kevin Cone	ATL	0.6	0.4	5	11.5	0.01	0
Micheal Spurlock	SD	0.5	0	0	0	0	0.03
Matthew Slater	NE	0.5	0.2	2	11.5	0.01	0.01
Anthony Armstrong	MIA	0.5	0.2	3	14.8	0	0.01
Jarius Wright	MIN	0.5	0.2	2	12.4	0.01	0.01
Marlon Moore	MIA	0.4	0.2	3	19.7	0	0
Lestar Jean	HOU	0.4	0.2	2	12.4	0.03	0
Nick Toon	NO	0.4	0.2	3	14	0.02	0
Andre Caldwell	DEN	0.3	0.1	2	12.7	0.02	0
Riley Cooper	PHI	0.3	0.2	3	16.5	0.01	0
Dezmon Briscoe	WAS	0.3	0.1	2	14	0.02	0
Jerrel Jernigan	NYG	0.3	0.1	1	12.8	0	0.01
Terrance Copper	KC	0.2	0.1	2	12.2	0.01	0
Armanti Edwards	CAR	0.2	0.1	2	12.4	0.01	0
Dane Sanzenbacher	CHI	0.2	0.1	2	14	0.01	0
A.J. Jenkins	SF	0.2	0.1	1	12.5	0	0
DeVier Posey	HOU	0.2	0.1	1	13.9	0.01	0
Patrick Edwards	DET	0.2	0.1	1	11.2	0.01	0
Rod Streater	OAK	0.2	0.2	2	9.4	0.01	0
Brian Robiskie	JAC	0.1	0.1	1	9.2	0.01	0
