PLAYER	TEAM	FP	SOLO	AST	SACK	FUMR	FORCE	INT	PD
Jared Allen	MIN	10	3.2	1.7	1.69	0.25	0.41	0.04	0.29
Jason Babin	PHI	7.3	2.1	0.6	1.53	0.02	0.29	0	0.08
Jason Hatcher	DAL	7	4	1	1	0	0	0	0
Trent Cole	PHI	6.5	3.1	1	1.05	0.02	0.11	0	0.16
Robert Mathis	IND	5.6	2	1.2	0.73	0.29	0.32	0	0.05
John Abraham	ATL	5.4	2.1	0.8	0.82	0.06	0.31	0.01	0.13
J.J. Watt	HOU	5.4	2.7	0.6	0.64	0.16	0.01	0.06	0.21
Jeremy Mincey	JAC	5.3	2	1.1	0.8	0.05	0.27	0.04	0.08
Calais Campbell	ARI	5.2	2.4	1.2	0.67	0.06	0.14	0.05	0.3
Julius Peppers	CHI	5.1	1.8	0.4	0.77	0.09	0.22	0.02	0.22
Chris Clemons	SEA	5	1.7	1.1	0.9	0.02	0.26	0	0.26
Linval Joseph	NYG	5	2	0	1	0	0	0	0
Jabaal Sheard	CLE	5	2.3	1.2	0.56	0.06	0.42	0	0.12
Rocky Bernard	NYG	5	2	1	1	0	0	0	0
Rob Ninkovich	NE	4.9	1.9	1.8	0.61	0.14	0.14	0.09	0.26
Connor Barwin	HOU	4.9	1.7	0.9	0.95	0.01	0.11	0	0.3
Cliff Avril	DET	4.8	1.4	0.6	0.76	0.13	0.34	0.02	0.2
Brett Keisel	PIT	4.7	2.9	2	0.16	0.18	0.38	0.02	0.36
Justin Smith	SF	4.5	2.7	0.9	0.45	0.04	0.15	0	0.05
Tommy Kelly	OAK	4.5	1.8	1.3	0.51	0.08	0.36	0.05	0.21
Brian Robison	MIN	4.3	1.6	1.4	0.54	0.15	0.3	0	0.07
Ahtyba Rubin	CLE	4.2	3	2.1	0.31	0.01	0.02	0.02	0.03
Matt Shaughnessy	OAK	4.2	2.4	0.8	0.46	0.02	0.19	0	0.03
Charles Johnson	CAR	4.1	2.3	0.9	0.54	0.02	0.02	0	0.2
Chris Long	STL	3.9	1.7	0.5	0.61	0.03	0.14	0	0.14
Kyle Vanden Bosch	DET	3.8	1.4	0.9	0.57	0.04	0.26	0	0.01
Dwight Freeney	IND	3.8	0.9	0.5	0.68	0.02	0.35	0	0.05
Mario Williams	BUF	3.8	1.6	0.4	0.5	0.01	0.32	0	0.18
Will Smith	NO	3.7	1.2	0.6	0.72	0.01	0.08	0.02	0.09
Geno Atkins	CIN	3.7	1.6	1.3	0.48	0.13	0.14	0	0.11
Ndamukong Suh	DET	3.6	1.7	1	0.47	0.01	0.02	0.02	0.08
Greg Hardy	CAR	3.6	2	0.9	0.21	0.03	0.27	0	0.5
Cullen Jenkins	PHI	3.5	1.8	0.6	0.5	0.09	0.01	0	0.03
Darnell Dockett	ARI	3.4	1.8	0.9	0.37	0.11	0.1	0	0.04
Israel Idonije	CHI	3.4	1.8	0.9	0.4	0.08	0.07	0	0.04
Lamarr Houston	OAK	3.4	2.1	1	0.17	0.19	0.07	0.05	0.13
Vince Wilfork	NE	3.3	1.6	1.2	0.36	0.08	0.06	0.06	0.15
Sione Pouha	NYJ	3.3	2.3	1.5	0.07	0.22	0.07	0	0.19
Haloti Ngata	BAL	3.3	2	1.7	0.26	0.09	0.14	0	0.33
Michael Bennett	TB	3.3	2.1	0.3	0.23	0.14	0.07	0	0.02
Adrian Clayborn	TB	3.3	1.6	1	0.44	0.01	0.19	0	0.05
Ray Edwards	ATL	3.2	1.9	0.8	0.3	0.14	0.01	0	0.13
Desmond Bryant	OAK	3.2	1.6	0.5	0.33	0.03	0.14	0	0.04
Jurrell Casey	TEN	3.2	2.4	1.2	0.16	0.07	0.1	0	0.04
Richard Seymour	OAK	3.1	1.7	0.6	0.41	0.02	0.01	0	0.17
Antonio Smith	HOU	3.1	1.2	0.5	0.55	0.02	0.13	0	0.15
Darryl Tapp	PHI	3.1	1.6	0.6	0.31	0.1	0.15	0	0.23
Jason Pierre-Paul	NYG	3	3	1	0	0	0	0	0
Domata Peko	CIN	2.9	2.2	2	0.11	0.07	0.06	0	0.02
Michael Johnson	CIN	2.9	1.7	1	0.28	0.02	0.08	0.02	0.21
Jared Odrick	MIA	2.9	1.5	0.2	0.21	0.04	0.27	0.03	0.09
Bruce Irvin	SEA	2.9	1.2	0.6	0.4	0.09	0.07	0	0.11
Chris Kelsay	BUF	2.8	1.8	1.3	0.23	0.02	0.12	0	0.15
Randy Starks	MIA	2.8	2.1	0.6	0.12	0.03	0.02	0.05	0.17
Turk McBride	NO	2.8	0.6	0.5	0.49	0.07	0.28	0	0.01
Lawrence Jackson	DET	2.8	1.3	1.1	0.44	0.07	0.03	0	0.02
Karl Klug	TEN	2.8	1.1	0.2	0.4	0.01	0.22	0	0.2
Cory Redding	IND	2.7	1.8	1.9	0.18	0.08	0.01	0	0.09
Antonio Garay	SD	2.7	2.3	1.3	0.12	0.01	0.01	0	0
Mark Anderson	BUF	2.7	1.1	0.7	0.36	0.05	0.16	0	0.12
B.J. Raji	GB	2.7	1.1	0.8	0.45	0.06	0.02	0.01	0.16
Marcell Dareus	BUF	2.7	1.6	0.8	0.29	0.07	0.01	0	0.06
Robert Quinn	STL	2.7	1.2	0.3	0.29	0.02	0.08	0	0.13
Muhammad Wilkerson	NYJ	2.7	2	1.1	0.15	0.02	0.09	0	0.15
Spencer Johnson	BUF	2.5	1.6	1.1	0.12	0.01	0.09	0.04	0.13
Frostee Rucker	CLE	2.5	1.8	1	0.21	0.01	0.02	0	0.1
Kyle Williams	BUF	2.5	1.6	1.1	0.2	0.08	0.01	0	0.12
Ray McDonald	SF	2.5	1.4	0.7	0.22	0.04	0.14	0.01	0.06
Jason Jones	SEA	2.5	1.1	0.7	0.34	0.02	0.14	0	0.26
Tyson Alualu	JAC	2.5	1.3	1.2	0.28	0.06	0.07	0	0.05
Brandon Graham	PHI	2.5	1.2	0.1	0.3	0.03	0.13	0	0
Glenn Dorsey	KC	2.4	2.2	2.1	0.03	0.02	0.01	0	0.01
Aaron Maybin	NYJ	2.4	0.6	0.2	0.33	0.02	0.36	0	0.01
Paul Kruger	BAL	2.4	1.1	0.5	0.38	0.07	0.02	0	0.13
Quinton Coples	NYJ	2.4	1.4	0.6	0.19	0.07	0.04	0.01	0.07
Kevin Vickerson	DEN	2.3	1.5	0.6	0.16	0.02	0.07	0.02	0.1
Ziggy Hood	PIT	2.3	1.8	1	0.12	0.02	0.02	0	0.05
Gerald McCoy	TB	2.3	1.6	0.3	0.16	0.02	0.08	0	0.11
Ryan Pickett	GB	2.2	2	0.9	0.04	0.04	0.02	0	0.08
Juqua Parker	CLE	2.2	1	0.3	0.15	0.24	0.05	0	0.25
Jamaal Anderson	CIN	2.2	0.9	0.7	0.29	0.07	0.04	0	0.07
Tyson Jackson	KC	2.2	1.8	1.3	0.08	0.01	0.02	0	0.1
Shea McClellin	CHI	2.2	1.3	0.4	0.25	0.04	0.02	0	0.03
Chandler Jones	NE	2.2	1	0.7	0.35	0.02	0.02	0.01	0.04
Alan Branch	SEA	2.1	1.2	0.9	0.23	0.02	0.07	0	0.06
Red Bryant	SEA	2.1	1.2	0.7	0.03	0.05	0.03	0.09	0.14
Andre Branch	JAC	2.1	1	0.6	0.26	0.05	0.02	0.01	0.03
Marcus Spears	DAL	2	2	0	0	0	0	0	0
Barry Cofield	WAS	2	1.5	1	0.08	0.06	0.03	0	0.26
Tony McDaniel	MIA	2	1.6	0.9	0.08	0.03	0.01	0	0.15
Stephen Bowen	WAS	2	1.3	1.8	0.18	0.04	0.01	0	0.03
Brandon Mebane	SEA	2	1.8	1	0.03	0.02	0.01	0	0.08
Henry Melton	CHI	2	0.9	0.4	0.36	0.01	0.02	0	0.01
Cameron Heyward	PIT	2	1.1	0.2	0.05	0.02	0.19	0	0.05
Drake Nevis	IND	2	1.8	2.1	0.03	0.02	0.01	0	0.18
Justin Bannan	DEN	2	1.8	0.6	0.03	0.02	0.01	0	0.16
Jerel Worthy	GB	2	1	0.5	0.27	0.02	0.02	0	0.04
Mike Patterson	PHI	1.9	1.6	0.7	0	0.04	0.06	0	0
Adam Carriker	WAS	1.9	1.4	1.2	0.14	0.02	0.01	0	0.01
Paul Soliai	MIA	1.9	1.7	0.9	0.02	0.06	0.02	0	0.09
Kendall Langford	STL	1.9	1.2	0.8	0.09	0.02	0.22	0	0.1
Corey Liuget	SD	1.9	0.9	0.5	0.04	0.15	0.26	0	0.11
Dontari Poe	KC	1.9	1.4	0.8	0.1	0.02	0.04	0.01	0.14
Robert Geathers	CIN	1.8	1	1.4	0.2	0.03	0.03	0	0.06
Jonathan Babineaux	ATL	1.8	1.1	1.2	0.12	0.04	0.06	0.01	0.14
Terrance Knighton	JAC	1.8	1.2	1	0.13	0.02	0.02	0.03	0.06
Derrick Morgan	TEN	1.8	1.4	0.7	0.1	0.02	0.01	0	0.1
Brandon Deaderick	NE	1.8	0.8	0.5	0.29	0.01	0.01	0	0
Casey Hampton	PIT	1.7	1.5	1.5	0.02	0.02	0.04	0	0.01
Brodrick Bunkley	NO	1.7	1.3	0.7	0.08	0.02	0.08	0	0.02
Letroy Guion	MIN	1.7	0.9	0.5	0.04	0.06	0.03	0	0
Earl Mitchell	HOU	1.7	0.9	0.8	0.16	0.11	0.02	0	0.08
Austen Lane	JAC	1.7	1.1	0.9	0.17	0.02	0.01	0	0
Kyle Love	NE	1.7	0.9	0.8	0.25	0.04	0.01	0	0.06
Cameron Jordan	NO	1.7	1	0.7	0.11	0.18	0.02	0	0.27
Stephen Paea	CHI	1.7	0.7	0.7	0.32	0.02	0.01	0	0
Aubrayo Franklin	SD	1.7	1.3	0.4	0.03	0.05	0.08	0	0.01
Corey Williams	DET	1.6	1.3	0.6	0.08	0.01	0.02	0.01	0.08
Vaughn Martin	SD	1.6	1.4	1.3	0.05	0.02	0.01	0	0
Tim Jamison	HOU	1.6	0.7	0.4	0.17	0.06	0.1	0	0.12
Everson Griffen	MIN	1.6	0.6	0.3	0.27	0.07	0.03	0	0.1
Kendall Reyes	SD	1.6	1.1	0.4	0.1	0.03	0.02	0.01	0.03
Dwan Edwards	CAR	1.5	1.4	1.2	0	0.01	0.03	0.01	0.06
William Hayes	STL	1.5	1.1	0.5	0.09	0.02	0.04	0	0
Fili Moala	IND	1.5	1	0.8	0.13	0.03	0.01	0	0.02
Roy Miller	TB	1.5	1.4	1.2	0.02	0.01	0.01	0	0
Vance Walker	ATL	1.5	0.8	0.5	0.1	0.06	0.08	0	0.01
C.J. Wilson	GB	1.5	1.2	0.5	0.07	0.01	0.01	0	0
Ron Edwards	CAR	1.4	0.9	0.9	0.1	0.03	0.02	0	0.03
Kedric Golston	WAS	1.4	1.1	1.3	0.06	0.01	0.06	0	0.02
Sedrick Ellis	NO	1.4	0.7	1	0.2	0.01	0.04	0	0.18
Al Woods	PIT	1.4	1.2	0.9	0.02	0.02	0.02	0	0.01
Nick Fairley	DET	1.4	0.9	0.6	0.15	0.01	0.01	0	0
Olivier Vernon	MIA	1.4	1	0.4	0.08	0.04	0.02	0	0.02
Isaac Sopoaga	SF	1.3	1.1	0.7	0.02	0.04	0.01	0	0.01
Shaun Cody	HOU	1.3	0.9	0.9	0.08	0.06	0.02	0	0.06
C.J. Mosley	JAC	1.3	0.7	0.7	0.12	0.02	0.08	0	0
Sammie Hill	DET	1.3	0.8	0.7	0.09	0.05	0.05	0	0.01
Lawrence Sidbury	ATL	1.3	0.5	0.2	0.23	0.01	0.01	0	0.01
Dan Williams	ARI	1.3	1.2	0.6	0.04	0.01	0.01	0	0.09
Dave Tollefson	OAK	1.2	0.4	0.5	0.18	0.07	0.03	0	0.08
SenDerrick Marks	TEN	1.2	0.9	0.8	0.01	0.01	0.09	0.01	0.07
Kyle Moore	BUF	1.2	0.8	0.7	0.01	0.12	0.01	0	0
Ricardo Mathews	IND	1.2	0.8	0.7	0.09	0.02	0.01	0	0.14
Keyunta Dawson	TEN	1.2	1	0.5	0.01	0.07	0.01	0	0.04
Antonio Johnson	IND	1.1	0.7	0.8	0.02	0.03	0.1	0	0.09
Darell Scott	STL	1.1	0.9	0.6	0.02	0.02	0.01	0	0
Terrence Cody	BAL	1.1	1	1	0.02	0.01	0.01	0	0.04
David Carter	ARI	1.1	0.5	0.4	0.11	0.02	0.11	0	0.07
