PLAYER	TEAM	FP	PT	PUNTYD	PTAVG	PT10	PT20
Chris Kluwe	MIN	16	7.59	331	43.6	0.4	1.12
Shane Lechler	OAK	15.1	6.16	293	47.6	0.4	1.05
Zoltan Mesko	NE	14	4.93	218	44.2	0.4	0.9
T.J. Conley	NYJ	13.3	7.38	309	41.9	0.4	1.02
Adam Podlesh	CHI	13.1	6.94	298	42.9	0.5	1.16
Tim Masthay	GB	12.3	4.43	193	43.6	0.3	0.66
Pat McAfee	IND	12	5.92	260	43.9	0.5	1.17
Sam Koch	BAL	11.9	6.17	274	44.4	0.3	0.77
Daniel Sepulveda	PIT	11.5	6.46	288	44.6	0.3	0.74
Matt Bosher	ATL	11.5	6.27	265	42.3	0.4	1.05
Steve Weatherford	NYG	11.4	5.82	256	44	0.3	0.83
Thomas Morstead	NO	11.4	5.6	255	45.5	0.5	1.24
Dustin Colquitt	KC	10.4	6.24	276	44.2	0.4	1.06
Brandon Fields	MIA	10.1	7.97	369	46.3	0.4	1.09
Mike Scifres	SD	9.6	6.93	317	45.7	0.4	1.07
Kevin Huber	CIN	9.3	5.76	245	42.5	0.4	0.98
Brian Moorman	BUF	9.2	5.2	234	45	0.4	1.12
Mat McBriar	PHI	8.7	2.69	118	43.9	0.2	0.41
Sav Rocca	WAS	8	6.74	285	42.3	0.4	0.92
Bryan Anger	JAC	7.8	7.71	317	41.1	0.3	0.85
Brad Maynard	CLE	7.5	7.11	283	39.8	0.3	0.78
Britton Colquitt	DEN	7	6.48	286	44.1	0.5	1.25
Jason Baker	CAR	6.7	5.36	225	42	0.4	1.04
Brett Kern	TEN	6.7	6.17	261	42.3	0.4	0.98
Dave Zastudil	ARI	6.7	6.6	288	43.6	0.4	0.94
Johnny Hekker	STL	6.7	6.98	271	38.8	0.3	0.73
Sam Paulescu	SF	6.6	3.87	157	40.6	0.1	0.34
Ben Graham	DET	6.5	5.31	226	42.6	0.3	0.82
Chris Jones	DAL	6.5	5.79	253	43.7	0.4	0.96
Michael Koenen	TB	6.3	5.85	251	42.9	0.4	1.11
Jon Ryan	SEA	6.2	6.14	268	43.6	0.3	0.77
Donnie Jones	HOU	5	3.01	130	43.2	0.1	0.35
Andy Lee	SF	4.7	3.86	182	47.2	0.2	0.45
Chas Henry	PHI	3.4	2.6	110	42.3	0.2	0.38
Brett Hartmann	HOU	2.4	3.09	134	43.4	0.1	0.32
Matt Turk	JAC	0	0	0	0	0	0
Josh Bidwell	WAS	0	0	0	0	0	0
Reggie Hodges	CLE	0	0	0	0	0	0
Jeremy Kapinos	PIT	0	0	0	0	0	0
Richmond McGee	CLE	0	0	0	0	0	0
Matt Dodge	NYG	0	0	0	0	0	0
Robert Malone	SD	0	0	0	0	0	0
Ryan Donahue	DET	0	0	0	0	0	0
