PLAYER	TEAM	FP	RUSH	RUSHYD	YPC	RUSHTD	REC	RECYD	RECTD	FUML
Arian Foster	HOU	23.5	21.1	128	6.05	1.2	4	31	0.16	0.23
LeSean McCoy	PHI	18.4	16	87	5.43	1	4	28	0.22	0.2
Ray Rice	BAL	15.9	17.9	78	4.34	0.61	4.7	39	0.17	0.2
Darren McFadden	OAK	15.5	16	84	5.28	0.64	3.2	27	0.15	0.19
Fred Jackson	BUF	15.2	15.3	78	5.12	0.56	3.6	32	0.18	0.16
Ryan Mathews	SD	15.2	18.1	80	4.42	0.72	3.5	28	0.1	0.23
Matt Forte	CHI	14.8	14	71	5.05	0.56	3.8	37	0.17	0.15
Adrian Peterson	MIN	14.1	15.5	80	5.13	0.75	1.7	15	0.08	0.16
Trent Richardson	CLE	14.1	16.4	70	4.29	0.58	3.2	28	0.18	0.19
Chris Johnson	TEN	14	17.2	83	4.82	0.64	2.4	16	0.08	0.17
Darren Sproles	NO	12.9	4.7	28	5.92	0.25	4.9	45	0.42	0.16
Marshawn Lynch	SEA	12.8	15.8	76	4.78	0.62	1.8	13	0.08	0.14
Jamaal Charles	KC	11.8	12.4	66	5.33	0.4	2.2	21	0.17	0.18
Ahmad Bradshaw	NYG	11.5	17.8	57	3.2	0.41	3.4	28	0.16	0.2
Steven Jackson	STL	11.2	16.1	53	3.28	0.4	3.9	28	0.19	0.2
DeMarco Murray	DAL	10.8	17.9	65	3.61	0.32	3.1	22	0.12	0.22
Reggie Bush	MIA	10.6	14.9	55	3.72	0.37	3.6	22	0.15	0.16
Shonn Greene	NYJ	10.4	15.3	66	4.32	0.39	2.2	14	0.07	0.16
Mark Ingram	NO	10.4	13.6	61	4.51	0.63	1.2	6	0.04	0.15
Doug Martin	TB	10.4	12.7	52	4.11	0.44	2.4	21	0.11	0.12
Michael Turner	ATL	10.2	14.5	62	4.28	0.6	0.6	6	0.02	0.14
Donald Brown	IND	10.1	13	58	4.48	0.39	2.2	17	0.07	0.14
BenJarvus Green-Ellis	CIN	9.7	13.9	60	4.34	0.51	0.7	6	0.03	0.14
