PLAYER	TEAM	FP	SOLO	AST	SACK	FUMR	FORCE	INT	PD
Bradie James	HOU	3.3	2.5	1.8	0.04	0.08	0.18	0.02	0.14
Philip Wheeler	OAK	3.3	2.8	1.5	0.1	0.03	0.02	0.01	0.06
Jameel McClain	BAL	3.3	2.8	2.8	0.04	0.08	0.01	0.01	0.15
Jacquian Williams	NYG	3.1	2.4	0.8	0.07	0.17	0.01	0.01	0.29
Scott Shanle	NO	3	2.3	1.4	0.06	0.03	0.08	0.06	0.21
Bryan Thomas	NYJ	2.9	2	1	0.17	0.02	0.06	0.04	0.16
Parys Haralson	SF	2.9	1.5	0.5	0.28	0.04	0.19	0.02	0.05
Demario Davis	NYJ	2.9	2.7	1.2	0.04	0.01	0.01	0.01	0.1
OBrien Schofield	ARI	2.8	1	0.2	0.44	0.01	0.16	0.01	0.05
Courtney Upshaw	BAL	2.8	2.2	1.2	0.07	0.03	0.12	0.01	0.04
Mario Haggan	STL	2.7	1.8	0.5	0.13	0.07	0.05	0.03	0.06
Jonathan Vilma	NO	2.7	2.3	1	0.04	0.06	0.06	0.01	0.08
Clint Session	JAC	2.7	2.2	1.6	0	0.01	0.2	0	0.03
Perry Riley	WAS	2.7	2.1	2.2	0.04	0.14	0.01	0.02	0.18
James-Michael Johnson	CLE	2.7	2	1.1	0.11	0.05	0.07	0.01	0.08
Manny Lawson	CIN	2.6	1.9	1.7	0.15	0.02	0.05	0.01	0.22
Jonathan Casillas	NO	2.3	1.8	0.9	0.14	0.02	0.02	0	0.11
D.J. Smith	GB	2.3	1.8	0.8	0.05	0.02	0.02	0.04	0.06
Mario Harvey	IND	2.3	1.8	1.5	0.09	0.04	0.04	0.01	0.02
Russell Allen	JAC	2.2	1.5	1	0.02	0.03	0.16	0.04	0.07
Jason Worilds	PIT	2.1	1.5	0.8	0.14	0.05	0.06	0	0.05
Erik Walden	GB	2	1.7	1	0	0.04	0.03	0.01	0.12
Jasper Brinkley	MIN	2	1.4	0.7	0.12	0.04	0.05	0.01	0.05
Brad Jones	GB	2	0.8	0.6	0.24	0.01	0.01	0.01	0.06
Kelvin Sheppard	BUF	2	1.8	1.3	0.02	0.03	0	0.01	0.09
Dannell Ellerbe	BAL	1.9	1.6	0.9	0.03	0.01	0.04	0.01	0.07
Kyle Wilber	DAL	1.9	1.6	0.6	0.05	0.02	0.02	0.01	0.06
Miles Burris	OAK	1.9	1.3	0.5	0.08	0.05	0.09	0.01	0.06
Larry Foote	PIT	1.8	1.7	1.1	0.04	0.01	0.01	0.01	0.04
Sergio Kindle	BAL	1.8	1.3	0.7	0.13	0.01	0.02	0	0.05
Adam Hayward	TB	1.7	1.4	0.3	0.02	0.04	0.02	0.01	0.02
Stewart Bradley	ARI	1.6	1.4	0.8	0.04	0.01	0	0.02	0.18
Marvin Mitchell	MIN	1.6	1	0.5	0.07	0.02	0.08	0.05	0.12
Willie Young	DET	1.6	0.5	0.4	0.3	0.01	0.05	0	0.03
Dekoda Watson	TB	1.6	1.1	0.2	0.06	0.06	0.04	0.01	0.08
Keenan Robinson	WAS	1.6	1.3	0.9	0.04	0.02	0.02	0.01	0.07
Jerrell Freeman	IND	1.6	1.3	0.9	0.04	0.03	0.03	0.01	0.03
Clark Haggans	SF	1.5	1.4	0.9	0	0.03	0	0	0.1
Kaluka Maiava	CLE	1.5	1.2	0.2	0.03	0.01	0.07	0.01	0.04
Brendon Ayanbadejo	BAL	1.4	1	0.4	0.04	0.06	0.02	0.01	0.05
Kirk Morrison	BUF	1.4	1	0.6	0.07	0.01	0.01	0.01	0.1
Nick Roach	CHI	1.4	1.2	0.4	0.01	0.02	0.01	0	0.16
Quentin Groves	ARI	1.4	1	0.4	0.03	0.03	0.09	0.03	0.1
Jermaine Cunningham	NE	1.4	0.6	0.5	0.08	0.02	0.19	0.01	0.04
Arthur Moats	BUF	1.4	0.4	0.8	0.21	0.04	0.06	0.01	0.07
Tahir Whitehead	DET	1.4	1.1	0.4	0.05	0.02	0.06	0	0.03
Tank Carder	CLE	1.4	1	0.6	0.04	0.03	0.06	0.01	0.02
Victor Butler	DAL	1.3	0.7	0.5	0.14	0.02	0.02	0.01	0.04
Gerald McRath	TEN	1.3	1.2	0.5	0.01	0.01	0.02	0	0.08
Ronnell Lewis	DET	1.3	1.1	0.5	0.03	0.02	0.04	0	0.03
Najee Goode	TB	1.3	1	0.3	0.02	0.01	0.04	0.01	0.02
Will Herring	NO	1.2	0.7	0.1	0.01	0.02	0.07	0.06	0.09
