PLAYER	TEAM	FP	INT	PD	SOLO	AST	SACK	FUMR	FORCE
Charles Woodson	GB	8.4	0.25	0.87	4.7	2	0.31	0.08	0.33
Antoine Winfield	MIN	7.8	0.13	0.28	5.8	3.7	0.12	0.05	0.42
Morgan Burnett	GB	7.6	0.16	0.63	5	2.3	0.1	0.28	0.29
Quintin Mikell	STL	7	0.12	0.5	5	1.5	0.06	0.17	0.38
Tyvon Branch	OAK	6.5	0.06	0.23	5.3	2.1	0.12	0.1	0.06
Roman Harper	NO	6.4	0.02	0.28	4.5	1.7	0.27	0.11	0.29
Charles Tillman	CHI	6.3	0.17	0.63	4.3	1.4	0.04	0.14	0.23
LaRon Landry	NYJ	6.3	0.06	0.41	4.5	2.1	0.23	0.15	0.21
Richard Marshall	MIA	6.2	0.2	0.6	4.6	1.8	0.11	0.04	0.06
Tramon Williams	GB	6.2	0.23	1.1	3.8	1.8	0.03	0.27	0.03
Eric Berry	KC	6.2	0.28	0.64	3.7	1.9	0.07	0.02	0.1
Yeremiah Bell	NYJ	6.1	0.09	0.32	4.3	1.8	0.21	0.11	0.13
DeAngelo Hall	WAS	6.1	0.2	0.75	4.5	3	0.08	0.03	0.11
Eric Weddle	SD	5.9	0.32	0.66	4.1	1.6	0	0.01	0.01
Jason McCourty	TEN	5.9	0.16	0.73	4.7	2.1	0.07	0.06	0.06
Marcus Trufant	SEA	5.7	0.15	0.56	4.2	2	0	0.13	0.05
Kerry Rhodes	ARI	5.7	0.05	0.46	3.6	1.2	0.38	0.2	0.01
Charles Godfrey	CAR	5.7	0.13	0.4	4.4	2.1	0.08	0.01	0.2
Thomas DeCoud	ATL	5.7	0.16	0.3	4.7	2.7	0	0.02	0.05
Ronde Barber	TB	5.6	0.2	0.58	4.1	1.3	0.1	0.06	0.06
Antrel Rolle	NYG	5.6	0.06	0.18	4.9	2.2	0	0.06	0.08
Dashon Goldson	SF	5.6	0.34	0.57	3.5	1	0.01	0.05	0.07
Troy Polamalu	PIT	5.3	0.22	0.81	3.3	2	0.1	0.16	0.02
Gerald Sensabaugh	DAL	5.3	0.16	0.27	3.7	1.5	0.02	0.1	0.16
Patrick Chung	NE	5.3	0.09	0.52	3.8	2.6	0.14	0.04	0.04
Bradley Fletcher	STL	5.3	0.15	0.49	4.4	1.3	0	0.06	0.01
Earl Thomas	SEA	5.3	0.13	0.26	4	1.9	0	0.15	0.09
Brent Grimes	ATL	5.2	0.14	1.14	4.1	2.2	0	0.04	0.13
Tracy Porter	DEN	5.2	0.06	0.42	4.2	1.6	0	0.16	0.1
William Moore	ATL	5.2	0.17	0.59	3.9	2.1	0	0.04	0.18
Greg Toler	ARI	5.2	0.06	0.52	3.9	1.3	0.1	0.08	0.17
Cortland Finnegan	STL	5.1	0.08	0.6	4.1	1.2	0.07	0.08	0.03
Devin McCourty	NE	5.1	0.14	0.85	4	2.6	0.03	0.02	0.13
Dawan Landry	JAC	5	0.06	0.17	4.1	2.5	0.02	0.08	0.09
Michael Griffin	TEN	5	0.17	0.47	3.9	1.7	0	0.03	0.11
Malcolm Jenkins	NO	5	0.01	0.38	3.9	1.6	0.08	0.19	0.09
Patrick Peterson	ARI	5	0.08	0.57	3.1	1.1	0.13	0.06	0.02
Ryan Clark	PIT	4.9	0.12	0.38	3.8	2.3	0.08	0.05	0.05
Matt Giordano	OAK	4.9	0.24	0.22	3.2	1.2	0.05	0.02	0.15
T.J. Ward	CLE	4.8	0.05	0.43	3.9	2.2	0.06	0.02	0.16
Brandon Browner	SEA	4.8	0.21	0.96	3.2	1.5	0	0.02	0.01
Chris Hope	ATL	4.7	0.14	0.21	3.2	1.7	0.04	0.21	0.03
Aqib Talib	TB	4.7	0.26	0.84	2.6	0.8	0	0.02	0.11
Kenny Phillips	NYG	4.7	0.14	0.39	3.6	1.6	0	0.04	0.13
Brandon Flowers	KC	4.7	0.21	0.96	2.9	1.5	0	0.01	0.05
Asante Samuel	ATL	4.6	0.27	0.76	2.4	1.2	0	0.08	0.12
Carlos Rogers	SF	4.6	0.3	0.92	2.6	0.8	0	0.02	0.03
Michael Huff	OAK	4.6	0.12	0.34	3.5	1.3	0.08	0.02	0.12
Donte Whitner	SF	4.6	0.1	0.43	3.2	1	0	0.2	0.13
Antoine Bethea	IND	4.6	0.04	0.5	4	3.4	0	0.04	0.15
Eric Wright	TB	4.6	0.14	0.72	3.8	1.3	0	0.02	0.04
Kam Chancellor	SEA	4.6	0.13	0.38	3.5	1.7	0.04	0.08	0.08
Cedric Griffin	WAS	4.5	0.09	0.59	3.6	2.4	0	0.02	0.22
Kyle Arrington	NE	4.5	0.19	0.67	3.3	2.3	0	0.06	0.03
Sean Smith	MIA	4.5	0.11	0.61	3.8	1.4	0	0.05	0.03
Joe Haden	CLE	4.5	0.16	1	3.2	1.8	0.05	0.05	0.1
Jordan Babineaux	TEN	4.4	0.08	0.42	3.3	1.6	0.04	0.05	0.09
