PLAYER	TEAM	FP	SOLO	AST	SACK	FUMR	FORCE	INT	PD
Brandon Graham	PHI	2.3	1.5	0.2	0.16	0.02	0.11	0	0
Linval Joseph	NYG	2.3	1.6	1	0.19	0.02	0.02	0	0.19
Brandon Mebane	SEA	2.2	2	1.4	0.05	0.02	0.02	0	0.06
Tyson Alualu	JAC	2.2	1.3	1.2	0.16	0.06	0.1	0	0.07
Kenyon Coleman	DAL	2.1	1.9	1.1	0.04	0.03	0.01	0	0.07
Jason Hunter	DEN	2.1	1.5	0.7	0.06	0.09	0.07	0.01	0.08
Turk McBride	NO	2.1	0.6	0.6	0.26	0.06	0.28	0	0.01
Red Bryant	SEA	2.1	1.2	0.9	0.04	0.06	0.04	0.06	0.11
Derrick Morgan	TEN	2.1	1.4	0.7	0.21	0.02	0.02	0	0.12
Ryan Pickett	GB	2	1.8	0.7	0.04	0.03	0.01	0	0.13
Stephen Bowen	WAS	2	1	1.8	0.26	0.04	0.01	0	0.07
Adam Carriker	WAS	2	1.1	1.3	0.25	0.02	0.02	0	0.01
Corey Liuget	SD	2	1	0.5	0.09	0.12	0.2	0	0.13
Dontari Poe	KC	2	1.5	1	0.06	0.04	0.03	0.01	0.12
Jonathan Babineaux	ATL	1.9	1.2	1.3	0.13	0.03	0.06	0.02	0.14
Kevin Vickerson	DEN	1.9	1.5	0.8	0.05	0.01	0.03	0.03	0.1
Barry Cofield	WAS	1.9	1.2	1.1	0.15	0.04	0.03	0	0.38
Paul Soliai	MIA	1.9	1.6	0.9	0.05	0.05	0.02	0	0.12
Roy Miller	TB	1.9	1.7	1.5	0.02	0.03	0.02	0	0
Vaughn Martin	SD	1.9	1.5	1.4	0.09	0.01	0.01	0	0
Shea McClellin	CHI	1.9	1.2	0.5	0.19	0.03	0.02	0.01	0.04
Kendall Reyes	SD	1.9	1.1	0.4	0.19	0.03	0.02	0	0.04
Jerel Worthy	GB	1.9	0.9	0.4	0.28	0.03	0.02	0.01	0.05
Corey Williams	DET	1.8	1.4	0.7	0.11	0.01	0.01	0.01	0.07
Brodrick Bunkley	NO	1.8	1.5	0.8	0.04	0.02	0.07	0	0.02
Ziggy Hood	PIT	1.8	1.4	0.8	0.09	0.01	0.01	0	0.07
Cameron Heyward	PIT	1.8	1	0.2	0.05	0.02	0.12	0	0.07
Andre Branch	JAC	1.8	1	0.5	0.15	0.05	0.02	0	0.04
Ron Edwards	CAR	1.7	0.9	0.9	0.21	0.02	0.03	0	0.04
Jamaal Anderson	CIN	1.7	0.8	0.8	0.15	0.08	0.03	0	0.06
Amobi Okoye	CHI	1.7	1.1	0.8	0.2	0.02	0.01	0	0.05
Fili Moala	IND	1.7	0.9	0.7	0.18	0.04	0.02	0	0.01
Terrance Knighton	JAC	1.7	1.2	0.9	0.1	0.03	0.02	0.02	0.08
Henry Melton	CHI	1.7	0.8	0.4	0.26	0.02	0.01	0	0.01
Sean Lissemore	DAL	1.7	1.3	0.8	0.08	0.02	0.01	0	0
Nick Fairley	DET	1.7	1	0.6	0.21	0.02	0.02	0	0
Cameron Jordan	NO	1.7	1.1	0.8	0.05	0.18	0.01	0	0.28
Drake Nevis	IND	1.7	1.6	2	0.02	0.02	0.01	0	0.15
Olivier Vernon	MIA	1.7	0.9	0.4	0.2	0.04	0.02	0	0.03
Rocky Bernard	NYG	1.7	0.9	0.9	0.17	0.04	0.07	0	0.15
Letroy Guion	MIN	1.6	0.9	0.5	0.06	0.05	0.03	0	0
Sammie Hill	DET	1.6	1	0.7	0.13	0.06	0.05	0	0
Earl Mitchell	HOU	1.6	0.9	1	0.1	0.12	0.01	0	0.08
Justin Bannan	DEN	1.6	1.5	0.6	0.02	0.01	0.01	0	0.13
Aubrayo Franklin	SD	1.6	1.2	0.4	0.05	0.03	0.06	0	0.02
Robert Geathers	CIN	1.5	1	1.6	0.15	0.02	0.04	0	0.05
Vance Walker	ATL	1.5	0.9	0.5	0.1	0.08	0.07	0	0.01
Austen Lane	JAC	1.5	1.1	0.8	0.1	0.03	0.01	0	0
Kedric Golston	WAS	1.4	1	1.4	0.08	0.01	0.07	0	0.02
Tim Jamison	HOU	1.4	0.8	0.4	0.1	0.06	0.09	0	0.14
Dan Williams	ARI	1.4	1.3	0.8	0.02	0.01	0.01	0	0.08
Everson Griffen	MIN	1.4	0.5	0.3	0.26	0.04	0.01	0	0.09
C.J. Wilson	GB	1.4	1.1	0.5	0.07	0.02	0.02	0	0.01
Stephen Paea	CHI	1.4	0.6	0.8	0.23	0.02	0.01	0	0
Casey Hampton	PIT	1.3	1.2	1.3	0.01	0.02	0.03	0	0.01
Chris Canty	NYG	1.3	1.2	1	0	0.01	0.02	0	0.13
Lawrence Sidbury	ATL	1.3	0.5	0.2	0.24	0.01	0.01	0	0
Terrence Cody	BAL	1.3	1.1	1.2	0.05	0.02	0.02	0	0.04
Keyunta Dawson	TEN	1.3	1	0.5	0.03	0.08	0.01	0	0.05
Marcus Spears	DAL	1.2	1	0.5	0.03	0.02	0.01	0	0.08
Shaun Cody	HOU	1.2	0.9	0.9	0.03	0.06	0.01	0	0.06
C.J. Mosley	JAC	1.2	0.7	0.5	0.05	0.03	0.09	0	0
Sedrick Ellis	NO	1.2	0.8	1.1	0.07	0.02	0.04	0	0.18
Wallace Gilberry	TB	1.2	0.5	0.2	0.06	0.04	0.2	0	0.08
SenDerrick Marks	TEN	1.2	0.8	0.8	0.01	0.02	0.11	0	0.08
Kyle Moore	BUF	1.2	0.9	0.8	0.01	0.09	0.01	0	0
Frank Alexander	CAR	1.2	0.6	0.2	0.17	0.03	0.03	0.01	0.03
Dave Tollefson	OAK	1.1	0.4	0.4	0.13	0.08	0.05	0	0.1
Antonio Johnson	IND	1.1	0.6	0.7	0.04	0.03	0.12	0	0.11
Vinny Curry	PHI	1.1	1	0.3	0	0.01	0.01	0	0.02
Vonnie Holliday	ARI	1	0.9	0.3	0.04	0.01	0.01	0	0.05
Fred Evans	MIN	1	0.8	0.8	0.03	0.02	0.02	0	0
Matt Toeaina	CHI	1	0.8	0.5	0.04	0.02	0	0	0.04
Al Woods	PIT	1	0.9	0.7	0.01	0.02	0.01	0	0.01
Arthur Jones	BAL	1	0.7	0.5	0.05	0.02	0.02	0	0
Ricardo Mathews	IND	1	0.6	0.7	0.11	0.02	0.01	0	0.17
Emmanuel Stephens	CLE	1	0.9	1.1	0.02	0.02	0.02	0	0
Allen Bailey	KC	1	0.5	0.2	0.07	0.1	0.02	0	0.11
