PLAYER	TEAM	FP	RUSH	RUSHYD	YPC	RUSHTD	REC	RECYD	RECTD	FUML
Adrian Peterson	MIN	16.3	16.8	96	5.73	0.82	2.1	15	0.09	0.18
Arian Foster	HOU	15.9	20.2	77	3.79	0.71	3.9	34	0.18	0.21
Ahmad Bradshaw	NYG	15.5	18.9	78	4.15	0.75	3.5	28	0.13	0.21
Maurice Jones-Drew	JAC	15.4	21.6	96	4.44	0.45	3.1	26	0.16	0.22
BenJarvus Green-Ellis	CIN	15.1	16.6	88	5.32	0.97	0.6	6	0.03	0.15
C.J. Spiller	BUF	15	14.9	79	5.32	0.6	3.8	27	0.16	0.32
LeSean McCoy	PHI	14.9	15.7	69	4.38	0.77	4.5	28	0.16	0.18
Ray Rice	BAL	14.1	15.5	71	4.57	0.5	4.3	35	0.15	0.2
Steven Jackson	STL	13.7	18.3	72	3.96	0.46	3.8	31	0.17	0.2
Reggie Bush	MIA	13.4	18.5	80	4.31	0.47	3.2	22	0.13	0.21
DeMarco Murray	DAL	13.4	19.7	83	4.22	0.43	3	22	0.11	0.2
Darren McFadden	OAK	12.6	17.5	65	3.71	0.47	3.4	28	0.14	0.19
Stevan Ridley	NE	12.5	18.2	81	4.44	0.66	0.9	7	0.03	0.21
Jamaal Charles	KC	12.3	12.5	72	5.77	0.47	2.1	18	0.15	0.15
Cedric Benson	GB	11.6	20	81	4.05	0	4	35	0	0
Trent Richardson	CLE	11.5	15.5	61	3.95	0.41	2.9	25	0.12	0.15
Chris Johnson	TEN	11.3	15.8	62	3.92	0.37	3.2	24	0.13	0.17
Doug Martin	TB	11.2	15.3	59	3.84	0.39	2.9	25	0.13	0.15
Marshawn Lynch	SEA	10.9	15.7	59	3.79	0.56	1.8	13	0.09	0.15
Darren Sproles	NO	10.6	3.9	18	4.78	0.13	5.6	44	0.31	0.15
Donald Brown	IND	9.9	14.4	54	3.74	0.46	2.3	15	0.09	0.15
Jonathan Stewart	CAR	9.6	8.7	45	5.13	0.28	3.5	28	0.14	0.11
Michael Turner	ATL	9.3	13.5	56	4.1	0.54	0.7	6	0.02	0.13
Frank Gore	SF	9.1	14.7	54	3.64	0.39	1.9	13	0.07	0.15
Willis McGahee	DEN	8.8	17.7	60	3.4	0.28	1.4	9	0.13	0.26
DeAngelo Williams	CAR	8.8	9	48	5.39	0.42	1.7	13	0.07	0.1
Shonn Greene	NYJ	8.8	15.8	53	3.33	0.35	2	13	0.06	0.16
Alfred Morris	WAS	8.5	13.1	52	3.98	0.43	0.8	7	0.04	0.12
Kevin Smith	DET	8.4	11.9	33	2.73	0.24	2.6	24	0.25	0.13
Peyton Hillis	KC	8.4	11.8	51	4.3	0.36	1.6	10	0.07	0.14
Matt Forte	CHI	8	7	31	4.43	0	4	49	0	0
Knowshon Moreno	DEN	7.1	7.6	26	3.46	0.14	2.4	24	0.23	0.08
Pierre Thomas	NO	7	6.1	27	4.37	0.21	3.3	24	0.12	0.1
Jonathan Dwyer	PIT	6.9	11.6	47	4.07	0.31	0.6	4	0.03	0.11
Kendall Hunter	SF	6.3	9.6	38	3.94	0.24	1.1	10	0.04	0.09
Ronnie Brown	SD	5.8	9	31	3.46	0.21	2	12	0.08	0.1
Isaac Redman	PIT	5.8	8.9	39	4.35	0.25	0.8	4	0.03	0.09
Ryan Mathews	SD	5.7	6.7	33	4.99	0.25	1.3	10	0.02	0.09
Ryan Williams	ARI	5.6	6.7	28	4.17	0.19	1.6	13	0.08	0.07
Jacquizz Rodgers	ATL	5.5	5.6	22	3.91	0.16	1.8	13	0.08	0.09
Michael Bush	CHI	5.4	14	54	3.86	0	0	0	0	0
Beanie Wells	ARI	5.3	9.3	33	3.59	0.26	0.7	4	0.02	0.09
Ben Tate	HOU	5.3	9.2	34	3.69	0.2	0.9	7	0.05	0.11
Mark Ingram	NO	5.2	10.3	32	3.1	0.25	1.1	6	0.03	0.1
Roy Helu	WAS	5	4.8	20	4.08	0.11	2.3	17	0.12	0.07
Bernard Scott	CIN	4.9	7.8	32	4.07	0.23	0.7	3	0.03	0.08
Toby Gerhart	MIN	4.9	6	26	4.4	0.12	1.6	12	0.09	0.07
David Wilson	NYG	4.3	5.8	25	4.3	0.2	0.6	5	0.02	0.15
Isaiah Pead	STL	4.2	3.5	16	4.62	0.13	0.8	7	0.04	0.1
Rashard Mendenhall	PIT	4.1	4.6	20	4.41	0.2	0.9	7	0.04	0.05
LaRod Stephens-Howling	ARI	4	2	6	2.95	0.03	1.4	14	0.07	0.07
Danny Woodhead	NE	3.9	4.2	19	4.53	0.12	1.1	9	0.05	0.06
Curtis Brinkley	SD	3.8	7.8	26	3.31	0.18	0.3	2	0.01	0.08
Jason Snelling	ATL	3.5	3.3	12	3.53	0.06	2.2	16	0.09	0.05
Evan Royster	WAS	3.5	3.8	20	5.13	0.11	0.9	8	0.04	0.04
Robert Turbin	SEA	3.5	4.4	17	3.85	0.13	0.9	8	0.05	0.05
Brandon Jackson	CLE	3.4	3.1	12	3.79	0.07	1.7	14	0.07	0.04
Bernard Pierce	BAL	3.3	4.4	18	3.98	0.14	0.6	6	0.04	0.04
Marcel Reece	OAK	3.2	3.3	9	2.83	0.04	1.8	17	0.07	0.1
