PLAYER	TEAM	FP	REC	RECYD	YPR	RECTD	FUML
Calvin Johnson	DET	17.7	6.7	116	17.3	1.01	0.07
Eric Decker	DEN	13.1	5.2	79	15.1	0.66	0.19
Demaryius Thomas	DEN	12.4	4.7	88	18.5	0.61	0.06
Percy Harvin	MIN	11.7	5.7	57	9.9	0.28	0.1
Hakeem Nicks	NYG	11.7	4.9	78	16	0.67	0.04
Julio Jones	ATL	11.5	4.9	77	15.5	0.6	0.05
Larry Fitzgerald	ARI	11.4	6	91	15.3	0.4	0.06
Brandon Marshall	CHI	11.2	5.8	86	14.8	0.45	0.06
Miles Austin	DAL	11	4.3	69	16.3	0.67	0.05
Jordy Nelson	GB	10.9	4.3	70	16.5	0.65	0.04
Victor Cruz	NYG	10.9	4.3	77	17.8	0.55	0.04
Greg Jennings	GB	10.7	4.9	67	13.6	0.68	0.04
Dez Bryant	DAL	10.6	4.3	72	16.6	0.58	0.16
Steve Smith	CAR	10.1	5.6	85	15	0.31	0.14
Roddy White	ATL	9.9	5.9	68	11.6	0.53	0.06
Torrey Smith	BAL	9.9	3.7	68	18.5	0.5	0.04
Marques Colston	NO	9.7	5.7	75	13.1	0.38	0.06
Reggie Wayne	IND	9.5	5.4	69	12.7	0.46	0.05
Mike Wallace	PIT	9.4	3.8	60	15.9	0.43	0.04
Brandon Lloyd	NE	9.3	4	65	16.2	0.5	0.04
Andre Johnson	HOU	9.2	4.6	66	14.3	0.44	0.03
A.J. Green	CIN	9	4.6	69	15.1	0.28	0.05
Wes Welker	NE	8.9	5.5	66	11.9	0.35	0.05
Steve Johnson	BUF	8.7	4.3	60	13.9	0.46	0.03
Vincent Jackson	TB	8.5	3.9	68	17.2	0.29	0.04
Dwayne Bowe	KC	8.3	4.4	61	13.8	0.36	0.04
Kenny Britt	TEN	8.3	3.9	65	16.7	0.33	0.09
Doug Baldwin	SEA	8.3	3.7	63	17.2	0.34	0.02
Anquan Boldin	BAL	8.2	4	58	14.8	0.4	0.03
Malcom Floyd	SD	8.1	3.2	56	17.6	0.43	0.02
Lance Moore	NO	8.1	3.8	47	12.5	0.55	0.04
Sidney Rice	SEA	8	3.9	61	15.5	0.35	0.05
Titus Young	DET	7.6	3.8	50	13.2	0.39	0.04
Jeremy Maclin	PHI	7.5	4.8	61	12.9	0.24	0.05
Michael Crabtree	SF	7.3	3.8	51	13.7	0.37	0.04
Antonio Brown	PIT	7.2	3.7	54	14.6	0.16	0.07
Domenik Hixon	NYG	7	2.6	43	17	0.4	0.06
DeSean Jackson	PHI	6.7	3.6	58	16	0.14	0.07
Danny Amendola	STL	6.6	4.5	48	10.6	0.19	0.11
Pierre Garcon	WAS	6.3	3.7	48	12.8	0.27	0.05
Austin Collie	IND	6.3	4.2	44	10.6	0.32	0.03
Mike Williams	TB	6.3	3.9	49	12.6	0.26	0.08
Denarius Moore	OAK	6.1	2.6	44	17	0.12	0.04
Mario Manningham	SF	6	2.5	39	15.5	0.36	0.02
Santana Moss	WAS	5.9	3.4	46	13.6	0.22	0.04
Laurent Robinson	JAC	5.7	3.1	47	14.9	0.18	0.03
Justin Blackmon	JAC	5.7	3.3	46	13.8	0.19	0.03
James Jones	GB	5.6	2.5	36	14.4	0.35	0.06
Nate Washington	TEN	5.4	2.6	38	14.6	0.26	0.02
Randy Moss	SF	5.2	2	34	16.9	0.31	0.02
Kendall Wright	TEN	5.2	2.5	37	15.1	0.23	0.03
Eddie Royal	SD	5.1	3.4	29	8.5	0.19	0.09
David Nelson	BUF	5.1	3.1	36	11.8	0.25	0.02
Devin Hester	CHI	5	2.1	28	13.5	0.15	0.2
Davone Bess	MIA	5	3.3	37	11	0.19	0.26
Kevin Ogletree	DAL	5	2.8	37	13.1	0.24	0.04
Brandon LaFell	CAR	5	2.8	40	14.4	0.17	0.02
Nate Burleson	DET	4.9	3.1	33	10.9	0.12	0.05
Santonio Holmes	NYJ	4.9	3.1	39	12.6	0.18	0.07
Darrius Heyward-Bey	OAK	4.9	3.2	40	12.5	0.16	0.04
Greg Little	CLE	4.8	3.4	39	11.6	0.14	0.03
Randall Cobb	GB	4.8	2	24	12	0.08	0.19
Earl Bennett	CHI	4.6	2.4	37	15.5	0.16	0.04
Michael Jenkins	MIN	4.5	3.2	36	11.2	0.19	0.07
Robert Meachem	SD	4.5	2	30	15.1	0.25	0.02
Andre Roberts	ARI	4.4	2.8	33	11.7	0.14	0.06
Jacoby Ford	OAK	4.4	1.7	23	13.8	0.06	0.35
Kevin Walter	HOU	4.2	2.3	28	12	0.25	0.02
Braylon Edwards	SEA	4.1	1.8	28	15.6	0.22	0.03
Steve Smith	STL	3.8	2.5	32	12.8	0.12	0.07
Brandon Tate	CIN	3.8	1.4	17	12.3	0.07	0.13
Louis Murphy	CAR	3.8	2.1	30	14.6	0.12	0.02
Donald Driver	GB	3.5	1.8	21	11.9	0.24	0.01
Brian Hartline	MIA	3.5	2	29	14.6	0.09	0.02
Emmanuel Sanders	PIT	3.5	1.8	22	12.7	0.1	0.1
Joshua Cribbs	CLE	3.4	1.2	15	12.8	0.04	0.21
Brian Quick	STL	3.4	2	28	13.5	0.11	0.02
Early Doucet	ARI	3.3	2.2	26	11.8	0.14	0.02
Devery Henderson	NO	3.2	1.9	26	13.8	0.1	0.02
Dexter McCluster	KC	3.2	1.5	14	9	0.07	0.09
Preston Parker	TB	3.2	2.2	28	13.1	0.11	0.37
Stephen Hill	NYJ	3.2	1.5	25	16.1	0.13	0.02
Jacoby Jones	BAL	3.1	1.2	17	14.3	0.09	0.14
Andre Caldwell	DEN	3.1	2	20	10.1	0.19	0.02
Mohamed Massaquoi	CLE	3.1	2	26	13.1	0.09	0.02
Mike Thomas	JAC	3.1	2.1	22	10.9	0.09	0.08
Lestar Jean	HOU	3.1	1.4	20	13.9	0.18	0.02
Jason Avant	PHI	3	2.2	26	11.9	0.08	0.03
Legedu Naanee	MIA	3	2	24	11.9	0.11	0.02
Austin Pettis	STL	3	2.5	27	10.6	0.08	0.08
Steve Breaston	KC	2.9	1.9	22	11.9	0.08	0.02
Jeremy Kerley	NYJ	2.9	2.2	23	10.3	0.08	0.26
Josh Gordon	CLE	2.9	2.1	24	11.4	0.09	0.01
Brandon Gibson	STL	2.8	1.9	24	12.6	0.06	0.02
Josh Morgan	WAS	2.7	1.4	22	15.7	0.1	0.03
Jerricho Cotchery	PIT	2.5	1.3	17	13.5	0.13	0.01
Julian Edelman	NE	2.5	1.2	13	11.3	0.04	0.22
Alshon Jeffery	CHI	2.5	1.3	18	13.6	0.12	0.02
Ted Ginn Jr.	SF	2.4	0.1	2	12.3	0	0.09
Damian Williams	TEN	2.4	0.9	11	12.3	0.07	0.07
Donald Jones	BUF	2.4	1.9	18	9.5	0.1	0.02
Donnie Avery	IND	2.2	1.5	17	11.7	0.08	0.01
Harry Douglas	ATL	2.2	1.3	14	10.6	0.02	0.08
Chaz Schilens	NYJ	2.2	1.4	17	12	0.08	0.02
Andrew Hawkins	CIN	2.2	1.6	18	11.8	0.04	0.02
Keshawn Martin	HOU	2.2	0.9	13	13.7	0.13	0.03
Arrelious Benn	TB	2.1	1.2	16	13.6	0.09	0.01
Jon Baldwin	KC	2.1	1.6	19	11.6	0.04	0.01
Kealoha Pilares	CAR	2.1	0.2	3	12.4	0	0.17
Mohamed Sanu	CIN	2.1	1.4	18	13.2	0.06	0.02
Richard Goodman	SD	2	0.7	8	11.2	0.03	0.04
Leonard Hankerson	WAS	2	1.2	16	13.3	0.07	0.01
Devin Aromashodu	MIN	1.9	1.3	18	13.2	0.04	0.03
Sammie Stroughter	TB	1.9	1.2	13	10.8	0.05	0.12
T.Y. Hilton	IND	1.9	1.1	14	12.8	0.06	0.03
Chris Givens	STL	1.7	1.1	14	12.9	0.05	0.01
Armon Binns	CIN	1.6	1.1	14	12.6	0.05	0.01
LaVon Brazill	IND	1.5	0.6	8	12.7	0.04	0.05
Lavelle Hawkins	TEN	1.3	1	11	10.3	0.04	0.01
Patrick Turner	NYJ	1.3	0.8	10	12.6	0.05	0.01
T.J. Graham	BUF	1.3	0.8	10	13.9	0.04	0
Ben Obomanu	SEA	1.2	0.8	10	13	0.04	0.01
Eric Weems	CHI	1.2	0	0	0	0	0.04
Greg Salas	NE	1.2	1	11	10.9	0.04	0.1
Dwayne Harris	DAL	1.2	0.4	5	11.4	0.03	0.06
Juron Criner	OAK	1.2	0.8	10	12.7	0.04	0.01
Brad Smith	BUF	1.1	0.6	7	11.3	0.03	0.01
Golden Tate	SEA	1.1	0.6	7	12.7	0.05	0.03
Dane Sanzenbacher	CHI	1	0.7	9	13.1	0.01	0.01
Ryan Broyles	DET	1	0.3	4	14.2	0.02	0.02
Travis Benjamin	CLE	1	0.6	8	12.2	0.02	0.01
Trindon Holliday	HOU	1	0	0	0	0	0.06
Cecil Shorts	JAC	0.9	0.3	4	14.2	0.02	0.04
Jarius Wright	MIN	0.9	0.4	5	11.1	0.02	0.02
Brandon Banks	WAS	0.8	0	0	0	0	0.34
Anthony Armstrong	MIA	0.7	0.2	3	16.4	0.01	0.01
Brian Robiskie	JAC	0.7	0.4	5	12	0.02	0
Armanti Edwards	CAR	0.7	0.2	2	12.4	0	0.04
Deonte Thompson	BAL	0.7	0.2	3	15.4	0.03	0
Joe Adams	CAR	0.6	0.4	5	12.8	0.01	0.01
Damaris Johnson	PHI	0.6	0	0	0	0	0.04
Kevin Cone	ATL	0.6	0.5	5	10.5	0.02	0
Cole Beasley	DAL	0.6	0.5	5	10.6	0.02	0
Jerrel Jernigan	NYG	0.5	0.2	2	12.2	0.02	0.02
Rueben Randle	NYG	0.5	0.2	3	14.2	0.03	0
Micheal Spurlock	SD	0.4	0	0	0	0	0.04
Matt Willis	DEN	0.4	0.1	1	13.9	0.01	0.07
Riley Cooper	PHI	0.4	0.2	4	16.4	0.01	0
Dezmon Briscoe	WAS	0.4	0.3	3	10.7	0.02	0
Marlon Moore	MIA	0.4	0.2	3	17.2	0.01	0
Michael Floyd	ARI	0.4	0.3	4	14.1	0	0
A.J. Jenkins	SF	0.4	0.2	3	13.3	0.01	0
DeVier Posey	HOU	0.4	0.2	3	13.3	0.01	0.01
Patrick Edwards	DET	0.4	0.3	3	11.5	0.01	0
Brandon Stokley	DEN	0.3	0.2	3	12.1	0.02	0
Matthew Slater	NE	0.3	0.2	2	11.3	0.01	0
Ramses Barden	NYG	0.3	0.2	2	11.5	0.02	0
Tandon Doss	BAL	0.3	0.2	2	11.4	0.01	0
Nick Toon	NO	0.3	0.2	2	13.2	0.02	0
Darius Reynaud	TEN	0.3	0	0	0	0	0.06
Stephen Burton	MIN	0.3	0.2	3	11.6	0.01	0
Terrance Copper	KC	0.2	0.2	2	9.6	0	0
LaQuan Williams	BAL	0.2	0.2	2	10.7	0.01	0.09
Rod Streater	OAK	0.2	0.1	1	10.6	0.01	0
Rishard Matthews	MIA	0.1	0	0	0	0	0.01
Donte Stallworth	NE	0	0	0	0	0	0
Jabar Gaffney	NE	0	0	0	0	0	0
Deion Branch	NE	0	0	0	0	0	0
Lee Evans	JAC	0	0	0	0	0	0
Roscoe Parrish	OAK	0	0	0	0	0	0
Courtney Roby	NO	0	0	0	0	0	0
Ruvell Martin	BUF	0	0	0	0	0	0
Derek Hagan	OAK	0	0	0	0	0	0
Jerome Simpson	MIN	0	0	0	0	0	0
Jaymar Johnson	ARI	0	0	0	0	0	0
Adrian Arrington	NO	0	0	0	0	0	0
Deon Butler	SEA	0	0	0	0	0	0
Johnny Knox	CHI	0	0	0	0	0	0
Jarett Dillard	DET	0	0	0	0	0	0
Quan Cosby	IND	0	0	0	0	0	0
Jordan Norwood	CLE	0	0	0	0	0	0.01
Jordan Shipley	TB	0	0	0	0	0	0
Taylor Price	JAC	0	0	0	0	0	0
David Reed	BAL	0	0	0	0	0	0
Carlton Mitchell	CLE	0	0	0	0	0	0
Kyle Williams	SF	0	0	0	0	0	0.02
Terrence Austin	WAS	0	0	0	0	0	0
Marc Mariani	TEN	0	0	0	0	0	0
Jeremy Horne	KC	0	0	0	0	0	0
Naaman Roosevelt	BUF	0	0	0	0	0	0
Seyi Ajirotutu	CAR	0	0	0	0	0	0
Bryan Walters	MIN	0	0	0	0	0	0
Chastin West	JAC	0	0	0	0	0	0
Danario Alexander	STL	0	0	0	0	0	0
Vincent Brown	SD	0	0	0	0	0	0
Kris Durham	DET	0	0	0	0	0	0
Clyde Gates	NYJ	0	0	0	0	0	0
Ryan Whalen	CIN	0	0	0	0	0	0
DeMarco Sampson	ARI	0	0	0	0	0	0
Maurice Stovall	DET	0	0	0	0	0	0
