PLAYER	TEAM	FP	INT	PD	SOLO	AST	SACK	FUMR	FORCE
Antoine Winfield	MIN	7.7	0.04	0.21	6.4	4	0.12	0.05	0.26
Quintin Mikell	STL	7.1	0.14	0.5	4.5	1.7	0.05	0.26	0.54
Charles Woodson	GB	7	0.24	1.04	3.9	1.7	0.28	0.06	0.17
Richard Marshall	MIA	6.6	0.34	0.58	4.5	1.6	0.09	0.04	0.04
Charles Godfrey	CAR	6.6	0.24	0.43	4.8	2.3	0.06	0.02	0.19
DeAngelo Hall	WAS	6.5	0.3	0.86	4.4	3	0.06	0.03	0.09
Charles Tillman	CHI	6.4	0.2	0.76	3.9	1.5	0.05	0.13	0.28
Roman Harper	NO	6.3	0.02	0.3	4.4	1.8	0.36	0.07	0.25
Eric Weddle	SD	6.1	0.32	0.79	4.3	1.7	0	0.01	0.02
Thomas DeCoud	ATL	6.1	0.21	0.34	4.9	2.6	0	0.02	0.05
Tyvon Branch	OAK	6.1	0.07	0.23	5.1	2	0.1	0.12	0.05
Ronde Barber	TB	6	0.13	0.63	4.5	1.4	0.12	0.09	0.08
LaRon Landry	NYJ	6	0.06	0.4	4.6	2	0.11	0.14	0.18
Yeremiah Bell	NYJ	5.9	0.11	0.33	4.3	2	0.11	0.1	0.12
Jason McCourty	TEN	5.9	0.1	0.59	4.9	2	0.06	0.06	0.07
Morgan Burnett	GB	5.9	0.16	0.78	4.2	1.9	0.08	0.15	0.16
Kerry Rhodes	ARI	5.7	0.05	0.51	3.7	1.2	0.37	0.2	0.01
Bernard Pollard	BAL	5.6	0.05	0.75	4	1.9	0.14	0.02	0.24
Antoine Bethea	IND	5.6	0.02	0.41	4.8	4.2	0	0.08	0.21
Jairus Byrd	BUF	5.6	0.17	0.31	3.3	2.1	0.12	0.08	0.26
Antrel Rolle	NYG	5.5	0.06	0.23	4.8	2.1	0.01	0.07	0.08
Gerald Sensabaugh	DAL	5.5	0.15	0.18	4	1.7	0.02	0.08	0.12
Brent Grimes	ATL	5.5	0.19	1.29	4.2	2.3	0	0.04	0.11
Patrick Chung	NE	5.4	0.09	0.5	3.8	2.5	0.16	0.04	0.02
Greg Toler	ARI	5.4	0.04	0.52	4.2	1.4	0.08	0.09	0.21
Eric Berry	KC	5.4	0.21	0.7	3.4	1.6	0.14	0.02	0.08
Nate Clements	CIN	5.3	0.06	0.49	3.8	2.1	0.11	0.09	0.19
Troy Polamalu	PIT	5.3	0.18	0.85	3.8	2.1	0.04	0.1	0.02
