PLAYER	TEAM	FP	PA	SACK	INT	FUMR	BLK	TO	INTTD	KRETTD	PRETTD
Miami Dolphins	MIA	21.1	14.3	3.8	0.69	1.24	0.25	1.93	0.15	0.02	0.03
Houston Texans	HOU	16.5	19.2	4.7	1.06	0.82	0.2	1.88	0.06	0.03	0.02
Cleveland Browns	CLE	15.4	20.4	4.1	1.05	1.19	0.2	2.24	0.14	0.04	0.04
Buffalo Bills	BUF	15.3	22.4	4	1.32	0.92	0.22	2.24	0.24	0.04	0.09
New England Patriots	NE	15.1	19.3	3.9	0.81	0.86	0.22	1.68	0.11	0.05	0.08
Jacksonville Jaguars	JAC	15.1	19.2	3	1.17	1.03	0.25	2.14	0.09	0.02	0.01
Detroit Lions	DET	14.7	22.3	3.4	1.36	1.01	0.2	2.36	0.12	0.04	0.02
Washington Redskins	WAS	13.7	20.4	3.6	1.05	0.9	0.23	1.95	0.11	0.03	0.01
San Diego Chargers	SD	13.2	23.2	3.5	1.38	0.82	0.2	2.2	0.11	0.11	0.07
Minnesota Vikings	MIN	13	20.7	3.7	0.43	1.19	0.22	1.62	0.13	0.08	0.01
Dallas Cowboys	DAL	12.4	22.3	3.4	0.89	0.87	0.2	1.76	0.09	0.04	0.01
New York Jets	NYJ	12.3	20.8	3.1	0.96	0.61	0.25	1.57	0.11	0.07	0.04
Oakland Raiders	OAK	11.6	21	2.5	0.81	0.92	0.24	1.73	0.27	0.18	0.02
St. Louis Rams	STL	11.6	23	3.2	0.96	0.75	0.21	1.71	0.04	0.02	0.01
Kansas City Chiefs	KC	11.3	22.6	1.5	1.41	1.18	0.22	2.58	0.08	0.02	0.04
Green Bay Packers	GB	11.2	25.7	3.2	1.03	1.09	0.21	2.12	0.17	0.06	0.07
New Orleans Saints	NO	11.2	21.8	1.6	1.01	1.34	0.16	2.34	0.17	0.06	0.04
Tennessee Titans	TEN	10.6	20.3	1.8	0.88	1.29	0.22	2.17	0.14	0.02	0.02
Philadelphia Eagles	PHI	10.4	21.2	2.1	1.11	0.77	0.22	1.88	0.12	0.03	0.02
Seattle Seahawks	SEA	10	25	1.6	1.31	1.09	0.2	2.4	0.19	0.06	0.03
Cincinnati Bengals	CIN	8.6	26.7	2.5	0.85	1.04	0.19	1.89	0.11	0.05	0.04
Pittsburgh Steelers	PIT	8.6	23.3	2.2	0.72	0.92	0.19	1.64	0.11	0.04	0.03
Atlanta Falcons	ATL	8.5	23.8	1.6	1.14	0.88	0.21	2.02	0.09	0.02	0
Baltimore Ravens	BAL	7.1	25.6	1.6	0.8	1.22	0.23	2.02	0.05	0.03	0.04
Denver Broncos	DEN	5.8	28.7	2.5	0.58	1.03	0.22	1.6	0.11	0.01	0.11
Arizona Cardinals	ARI	5.7	29.3	1.9	0.79	0.98	0.18	1.77	0.29	0.05	0.15
Chicago Bears	CHI	5.6	30.2	1.9	0.76	0.77	0.21	1.53	0.18	0.09	0.14
San Francisco 49ers	SF	5.2	29.6	1.7	0.81	1.01	0.18	1.82	0.12	0.05	0.08
New York Giants	NYG	4.6	27.2	2.2	0.88	0.7	0.2	1.58	0.17	0.03	0.01
Carolina Panthers	CAR	4.3	30.2	1.4	1	0.83	0.2	1.83	0.15	0.13	0
Tampa Bay Buccaneers	TB	4.2	38.3	1.5	1	0.71	0.15	1.72	0.16	0.05	0.01
Indianapolis Colts	IND	1.9	29.7	1.2	0.4	0.86	0.19	1.26	0.11	0.01	0.01
