PLAYER	TEAM	FP	SOLO	AST	SACK	FUMR	FORCE	INT	PD
Karlos Dansby	MIA	8.7	6.6	1.8	0.21	0.04	0.55	0.03	0.31
DQwell Jackson	CLE	8.6	7	3.6	0.17	0.16	0.09	0.08	0.17
DeMarcus Ware	DAL	8.5	3.6	0.9	1.36	0.11	0.23	0.01	0.07
Kevin Burnett	MIA	8.1	6.3	2.1	0.32	0.08	0.1	0.06	0.27
James Laurinaitis	STL	8.1	6.2	3.2	0.33	0.14	0.02	0.1	0.41
Patrick Willis	SF	7.8	5.9	2	0.19	0.17	0.29	0.04	0.54
Ray Lewis	BAL	7.4	5.9	2.6	0.23	0.04	0.18	0.04	0.37
James Harrison	PIT	7.3	4	1.5	0.88	0.03	0.25	0.01	0.14
Chad Greenway	MIN	7.3	6.4	3.8	0.16	0.08	0.03	0	0.12
London Fletcher	WAS	7.1	5.3	4.5	0.17	0.04	0.18	0.14	0.52
Derrick Johnson	KC	7.1	5.4	2.1	0.1	0.11	0.24	0.08	0.63
Von Miller	DEN	7	4	1.3	0.66	0.02	0.43	0.01	0.26
Stephen Tulloch	DET	6.6	5.4	2.6	0.15	0.13	0.05	0.05	0.25
David Harris	NYJ	6.6	3.7	1.8	0.48	0.04	0.01	0.21	0.5
Clay Matthews	GB	6.5	3.6	1.1	0.52	0.02	0.31	0.09	0.31
Cameron Wake	MIA	6.4	2.9	0.7	0.95	0.04	0.19	0.01	0.24
Donald Butler	SD	6.3	4.6	1.4	0.1	0.11	0.42	0.04	0.08
Ryan Kerrigan	WAS	6.3	2.4	1.9	0.94	0.02	0.3	0.05	0.26
Sean Lee	DAL	6.2	4.4	2.5	0.04	0.06	0.14	0.17	0.31
Brian Cushing	HOU	6.1	4.4	3.2	0.28	0.02	0.2	0.06	0.23
Sean Weatherspoon	ATL	6.1	5.2	2.9	0.18	0.1	0.01	0.01	0.34
Tamba Hali	KC	6	2.5	1.3	0.67	0.1	0.57	0.01	0.05
Jerod Mayo	NE	6	4.2	3.5	0.24	0.07	0.27	0.07	0.25
Brian Orakpo	WAS	6	2	2.2	1.09	0.04	0.16	0.01	0.25
Daryl Washington	ARI	5.9	4.6	0.8	0.12	0.02	0.04	0.16	0.28
LaMarr Woodley	PIT	5.8	2.3	1.4	0.77	0.14	0.07	0.11	0.3
Pat Angerer	IND	5.8	4.3	4.6	0.06	0.13	0.24	0.07	0.22
Navorro Bowman	SF	5.7	5	1.8	0.05	0.14	0.02	0.01	0.29
Calvin Pace	NYJ	5.6	2.8	1.3	0.58	0.06	0.26	0.06	0.2
Anthony Spencer	DAL	5.6	3.4	1.5	0.35	0.03	0.44	0	0.04
Rolando McClain	OAK	5.6	5.1	2.1	0.12	0.01	0.01	0.01	0.74
Nick Barnett	BUF	5.4	3.6	3.3	0.16	0.01	0.08	0.18	0.36
Lawrence Timmons	PIT	5.4	4.4	2	0.14	0.03	0.04	0.06	0.41
Erin Henderson	MIN	5.4	4	3	0.23	0.07	0.23	0.01	0.11
Colin McCarthy	TEN	5.4	4.1	1.7	0.02	0.16	0.2	0.08	0.21
Donta Hightower	NE	5.4	3.6	2.4	0.36	0.07	0.2	0.02	0.14
Kamerion Wimbley	TEN	5.3	3.6	1.2	0.46	0.02	0.04	0.03	0.11
Michael Boley	NYG	5.2	4.2	1.6	0.18	0.09	0.06	0.02	0.21
A.J. Hawk	GB	5.2	4.8	3.2	0.04	0.04	0.01	0.02	0.22
DeAndre Levy	DET	5.2	4.4	2.4	0.05	0.04	0.05	0.06	0.08
Jamar Chaney	PHI	5.2	4.1	1.6	0.04	0.02	0.07	0.16	0.49
Leroy Hill	SEA	5.1	4.1	1.9	0.19	0.02	0.14	0	0.05
Quincy Black	TB	5.1	4.2	1	0.04	0.05	0.12	0.07	0.12
Nick Perry	GB	5	4.2	1.7	0.12	0.05	0.09	0.01	0.17
Scott Fujita	CLE	4.9	3.5	2.1	0.09	0.01	0.1	0.14	0.22
Mason Foster	TB	4.9	3.9	2.4	0.11	0.1	0.08	0.05	0.09
Elvis Dumervil	DEN	4.8	2.5	1.2	0.57	0.09	0.14	0.01	0.08
Takeo Spikes	SD	4.7	4.2	3.2	0.04	0.04	0.01	0.06	0.2
Brandon Spikes	NE	4.7	3.2	2.2	0.15	0.12	0.18	0.07	0.22
Melvin Ingram	SD	4.7	3.8	1.5	0.09	0.08	0.15	0.02	0.17
Rey Maualuga	CIN	4.6	3.4	2.6	0.05	0.05	0.26	0.06	0.1
Brooks Reed	HOU	4.6	2.1	1.3	0.65	0.13	0.08	0.01	0.11
Paris Lenon	ARI	4.5	3.7	2.1	0.09	0.05	0.05	0.05	0.15
