PLAYER	TEAM	FP	SOLO	AST	SACK	FUMR	FORCE	INT	PD
Kyle Williams	BUF	2.5	1.8	1.3	0.19	0.06	0.01	0	0.09
Bruce Irvin	SEA	2.5	1.4	0.9	0.27	0.07	0.07	0	0.08
Chandler Jones	NE	2.5	1	0.7	0.44	0.03	0.03	0.01	0.05
Kenyon Coleman	DAL	2.4	1.9	1.1	0.12	0.06	0.01	0	0.08
Barry Cofield	WAS	2.4	1.4	1	0.18	0.08	0.05	0	0.37
Brandon Mebane	SEA	2.4	2.2	1.5	0.03	0.02	0.02	0	0.05
Gerald McCoy	TB	2.4	1.7	0.5	0.16	0.03	0.07	0	0.11
Ryan Pickett	GB	2.3	2	0.9	0.03	0.04	0.03	0	0.1
Kevin Vickerson	DEN	2.3	1.8	1	0.07	0.02	0.05	0.03	0.1
Jamaal Anderson	CIN	2.3	0.7	0.7	0.38	0.07	0.02	0	0.08
Glenn Dorsey	KC	2.3	2.1	2.2	0.02	0.04	0.02	0	0.01
Jason Jones	SEA	2.3	1.3	0.9	0.2	0.02	0.17	0	0.24
Tyson Alualu	JAC	2.3	1.5	1.3	0.16	0.05	0.09	0	0.05
Tony McDaniel	MIA	2.2	1.7	0.8	0.11	0.04	0.01	0	0.16
Ziggy Hood	PIT	2.2	1.6	0.9	0.17	0.03	0.02	0	0.06
Brandon Graham	PHI	2.2	1.3	0.1	0.17	0.03	0.14	0	0
Brandon Deaderick	NE	2.2	0.8	0.5	0.41	0.02	0.01	0	0.01
Cameron Heyward	PIT	2.2	0.9	0.2	0.1	0.02	0.23	0	0.06
Juqua Parker	CLE	2.1	1.1	0.3	0.1	0.19	0.06	0	0.24
Robert Geathers	CIN	2.1	0.9	1.4	0.36	0.02	0.03	0	0.09
Mike Patterson	PHI	2.1	1.8	0.6	0	0.06	0.08	0	0
Paul Soliai	MIA	2.1	1.9	0.8	0.02	0.04	0.02	0	0.13
William Hayes	STL	2.1	1.2	0.5	0.22	0.04	0.04	0	0.01
Red Bryant	SEA	2.1	1.3	1	0.02	0.06	0.04	0.05	0.09
Tyson Jackson	KC	2.1	1.9	1.3	0.06	0.02	0.01	0	0.1
Shea McClellin	CHI	2.1	1.3	0.5	0.18	0.04	0.03	0	0.03
Alan Branch	SEA	2	1.4	1.3	0.15	0.02	0.06	0	0.04
Tim Jamison	HOU	2	1	0.4	0.16	0.09	0.14	0	0.11
Justin Bannan	DEN	2	1.8	0.8	0.03	0.01	0.02	0	0.13
Jerel Worthy	GB	2	1.1	0.5	0.25	0.02	0.03	0	0.04
Henry Melton	CHI	1.9	0.9	0.6	0.28	0.02	0.01	0	0.02
Derrick Morgan	TEN	1.9	1.5	0.8	0.09	0.02	0.01	0	0.09
Linval Joseph	NYG	1.9	1.6	1	0.08	0.02	0.02	0	0.22
Sean Lissemore	DAL	1.9	1.3	0.9	0.19	0.01	0.02	0	0
Kyle Love	NE	1.9	0.8	0.9	0.29	0.05	0.02	0	0.07
Drake Nevis	IND	1.9	1.7	2.3	0.03	0.02	0.02	0	0.18
Andre Branch	JAC	1.9	1.2	0.6	0.13	0.04	0.03	0	0.02
Jonathan Babineaux	ATL	1.8	1.2	1.2	0.08	0.03	0.08	0.02	0.12
Brodrick Bunkley	NO	1.8	1.5	0.6	0.03	0.02	0.07	0	0.01
Turk McBride	NO	1.8	0.7	0.6	0.22	0.03	0.2	0	0
Terrance Knighton	JAC	1.8	1.4	1.1	0.07	0.02	0.01	0.01	0.06
