PLAYER	TEAM	FP	REC	RECYD	YPR	RECTD	FUML
Calvin Johnson	DET	15.8	5.9	102	17.2	0.94	0.05
Demaryius Thomas	DEN	12.7	4.7	89	18.9	0.64	0.05
Julio Jones	ATL	12	4.6	80	17.6	0.61	0.04
Dez Bryant	DAL	11.6	4.6	74	16.3	0.69	0.15
Hakeem Nicks	NYG	11.4	4.6	77	16.8	0.63	0.05
Miles Austin	DAL	11.2	4.6	70	15.3	0.69	0.05
Mike Wallace	PIT	11.2	4.4	73	16.6	0.59	0.04
Eric Decker	DEN	11.2	4.4	73	16.5	0.66	0.08
Greg Jennings	GB	11	4.9	70	14.3	0.68	0.04
Jordy Nelson	GB	11	4.5	72	16.1	0.64	0.06
Larry Fitzgerald	ARI	10.4	5.6	87	15.5	0.31	0.06
Percy Harvin	MIN	10.3	4.3	53	12.5	0.29	0.09
Victor Cruz	NYG	10.2	4.1	73	17.7	0.49	0.04
Marques Colston	NO	9.8	5.5	77	14.1	0.36	0.06
Brandon Marshall	CHI	9.4	5.6	73	13.1	0.37	0.06
Jeremy Maclin	PHI	9.4	5.3	71	13.4	0.39	0.05
Lance Moore	NO	9.3	4.1	55	13.4	0.63	0.04
Kenny Britt	TEN	8.9	4.6	72	15.6	0.31	0.11
Antonio Brown	PIT	8.8	4.3	64	14.9	0.27	0.08
Steve Smith	CAR	8.7	5.7	75	13.1	0.25	0.15
Vincent Jackson	TB	8.7	3.9	64	16.6	0.37	0.04
Reggie Wayne	IND	8.6	5.9	70	11.9	0.29	0.05
Roddy White	ATL	8.5	5.3	64	12.2	0.36	0.05
DeSean Jackson	PHI	8.2	4	67	16.7	0.22	0.06
Malcom Floyd	SD	8.1	2.9	55	18.8	0.43	0.03
Pierre Garcon	WAS	8	4.1	56	13.5	0.42	0.05
Sidney Rice	SEA	7.9	4.6	64	13.9	0.27	0.06
Brandon Lloyd	NE	7.6	3.8	54	14.1	0.39	0.04
Titus Young	DET	7.1	3.5	47	13.3	0.39	0.05
Dwayne Bowe	KC	6.9	3.6	54	15	0.25	0.04
Domenik Hixon	NYG	6.5	2.4	40	17.1	0.37	0.06
Danny Amendola	STL	6.3	4.5	46	10.2	0.2	0.1
Wes Welker	NE	6.2	4.1	44	10.8	0.3	0.04
Denarius Moore	OAK	6.1	2.3	41	17.6	0.13	0.04
Michael Crabtree	SF	6	3.7	48	13	0.21	0.04
Mike Williams	TB	6	3.6	45	12.5	0.28	0.08
James Jones	GB	5.9	2.5	37	14.9	0.38	0.04
Austin Collie	IND	5.8	4.5	45	9.9	0.23	0.02
Santana Moss	WAS	5.7	3.2	43	13.4	0.24	0.04
Laurent Robinson	JAC	5.7	3	47	15.7	0.18	0.03
Randall Cobb	GB	5.7	2.5	29	11.5	0.1	0.25
Santonio Holmes	NYJ	5.5	2.9	41	13.9	0.24	0.04
Stephen Hill	NYJ	5.5	2.6	42	16.2	0.22	0.02
Nate Washington	TEN	5.2	2.9	37	12.6	0.22	0.02
Darrius Heyward-Bey	OAK	5.2	3	41	13.7	0.17	0.03
Brandon Gibson	STL	5.2	3.3	42	12.8	0.17	0.03
Justin Blackmon	JAC	5.2	3	44	14.5	0.15	0.02
Doug Baldwin	SEA	5.1	2.6	40	15.2	0.18	0.03
Kendall Wright	TEN	5.1	3	38	12.7	0.21	0.04
Vincent Brown	SD	4.9	1.9	33	17.8	0.27	0.02
Eddie Royal	SD	4.8	2.7	27	10	0.15	0.07
Devin Hester	CHI	4.7	1.7	22	12.9	0.09	0.19
Dexter McCluster	KC	4.7	3.2	28	8.8	0.15	0.08
Greg Little	CLE	4.7	3.4	38	11	0.15	0.03
Brandon Stokley	DEN	4.6	2.7	36	13	0.18	0.03
Kevin Ogletree	DAL	4.6	2.6	34	12.9	0.21	0.05
Emmanuel Sanders	PIT	4.6	2.3	31	13.7	0.12	0.07
Nate Burleson	DET	4.3	2.9	32	11.1	0.12	0.02
Brandon LaFell	CAR	4.3	2.8	36	12.9	0.13	0.02
Andre Roberts	ARI	4.2	2.6	32	12	0.13	0.05
Michael Jenkins	MIN	4.1	2.4	32	13.2	0.17	0.06
Jason Avant	PHI	4.1	2.8	35	12.5	0.11	0.02
Robert Meachem	SD	4.1	1.7	27	15.7	0.22	0.02
Steve Smith	STL	4	2.6	34	12.9	0.13	0.05
Jerome Simpson	MIN	4	2.2	32	14.4	0.14	0.02
Davone Bess	MIA	3.9	2.9	31	10.8	0.11	0.18
Randy Moss	SF	3.8	2.1	30	14.6	0.13	0.03
Earl Bennett	CHI	3.8	2.2	31	14.4	0.12	0.02
Jeremy Kerley	NYJ	3.8	2	22	10.7	0.09	0.17
Aldrick Robinson	WAS	3.8	1.9	27	13.9	0.19	0.02
Golden Tate	SEA	3.7	2.1	25	11.8	0.18	0.03
Brian Quick	STL	3.7	2.1	30	14.1	0.13	0.02
Mario Manningham	SF	3.6	2	29	14.3	0.11	0.03
Brian Hartline	MIA	3.5	2	30	15.3	0.08	0.02
Josh Gordon	CLE	3.5	2.3	27	11.9	0.14	0.03
Mohamed Massaquoi	CLE	3.4	2.3	27	11.7	0.12	0.03
Jerricho Cotchery	PIT	3.3	1.4	21	14.8	0.2	0.01
Donald Driver	GB	3.2	1.5	20	12.8	0.22	0.02
Louis Murphy	CAR	3.1	2.1	26	12.5	0.08	0.03
Austin Pettis	STL	3.1	2.6	28	10.6	0.08	0.08
Darius Reynaud	TEN	3.1	1.6	17	10.1	0.09	0.12
Devery Henderson	NO	3	1.9	25	13.7	0.08	0.02
Joshua Cribbs	CLE	3	0.8	10	12.5	0.03	0.18
Josh Morgan	WAS	3	1.6	25	15.1	0.09	0.02
Preston Parker	TB	3	2	25	12.6	0.13	0.39
Early Doucet	ARI	2.9	2	24	12.3	0.09	0.02
Steve Breaston	KC	2.8	1.7	22	13.2	0.08	0.02
Mike Thomas	JAC	2.6	1.7	19	11.2	0.07	0.11
Alshon Jeffery	CHI	2.6	1.5	20	13.5	0.09	0.01
Derek Hagan	OAK	2.5	1.9	20	10.5	0.09	0.01
Travis Benjamin	CLE	2.5	1.4	19	13.1	0.08	0.02
Legedu Naanee	MIA	2.3	1.8	20	11.5	0.05	0.02
Julian Edelman	NE	2.3	1.2	12	10.1	0.07	0.21
Donnie Avery	IND	2.2	1.6	17	10.7	0.09	0.01
Harry Douglas	ATL	2.2	1.3	16	12.3	0.04	0.08
Rueben Randle	NYG	2.2	1	15	14.8	0.11	0.01
Braylon Edwards	SEA	2.2	1.2	16	13.7	0.1	0.02
Ted Ginn Jr.	SF	2.1	0.1	1	13.9	0.01	0.07
Cecil Shorts	JAC	2.1	1.1	14	12.2	0.05	0.05
Ryan Broyles	DET	2	1.1	14	12.4	0.06	0.02
Devin Aromashodu	MIN	1.9	1.1	16	14.4	0.05	0.01
Dwayne Harris	DAL	1.9	0.7	8	12	0.06	0.05
Ben Obomanu	SEA	1.8	1.1	15	13.5	0.06	0.01
Chaz Schilens	NYJ	1.8	1.2	14	11.4	0.07	0.01
Jon Baldwin	KC	1.7	1.1	15	13.8	0.03	0.01
Michael Floyd	ARI	1.6	1	13	13.6	0.05	0.01
Arrelious Benn	TB	1.4	0.7	11	14.4	0.06	0.01
Sammie Stroughter	TB	1.3	0.7	8	11.3	0.03	0.09
LaVon Brazill	IND	1.3	0.5	6	12.4	0.02	0.04
Patrick Turner	NYJ	1.2	0.7	9	13	0.06	0.01
Richard Goodman	SD	1.2	0.1	1	11.1	0.01	0.03
Damian Williams	TEN	1.1	0.7	7	10.7	0.05	0.02
Greg Salas	NE	1.1	1	10	9.7	0.04	0.07
Chris Givens	STL	1.1	0.7	9	13.5	0.04	0.01
Joe Adams	CAR	1.1	0.2	2	12.1	0.01	0.06
Damaris Johnson	PHI	1	0.2	2	10.1	0.01	0.04
Cole Beasley	DAL	1	0.7	8	10.6	0.05	0.01
Brandon Banks	WAS	0.9	0.1	0	8.9	0	0.4
