PLAYER	TEAM	FP	SOLO	AST	SACK	FUMR	FORCE	INT	PD
James Anderson	CAR	8.8	6.1	3.6	0.23	0.34	0.13	0.15	0.47
DQwell Jackson	CLE	8.6	6.6	3.4	0.24	0.25	0.09	0.07	0.18
Karlos Dansby	MIA	8.3	6.4	1.9	0.2	0.03	0.48	0.03	0.27
Ray Lewis	BAL	7.8	5.6	2.8	0.4	0.03	0.21	0.08	0.47
Kevin Burnett	MIA	7.6	5.8	2.4	0.4	0.04	0.04	0.06	0.24
Clay Matthews	GB	7.6	2.6	0.9	1.02	0.02	0.37	0.17	0.55
Derrick Johnson	KC	7.2	5.9	2.3	0.1	0.08	0.17	0.07	0.52
Chad Greenway	MIN	7.1	6.5	3.7	0.13	0.06	0.03	0	0.09
James Harrison	PIT	6.9	4.6	1.7	0.51	0.03	0.32	0.01	0.12
London Fletcher	WAS	6.6	5.3	4.5	0.1	0.05	0.16	0.1	0.49
DeMarcus Ware	DAL	6.6	3.5	0.9	0.84	0.08	0.13	0.01	0.1
Cameron Wake	MIA	6.4	3	0.7	0.95	0.03	0.18	0.01	0.2
Donald Butler	SD	6.4	4.6	1.4	0.15	0.1	0.38	0.05	0.1
Sean Weatherspoon	ATL	6.3	5.3	3	0.22	0.08	0.02	0	0.28
Stephen Tulloch	DET	6.2	4.8	2.5	0.21	0.15	0.05	0.04	0.23
Jon Beason	CAR	6.2	4.8	2.5	0.17	0.02	0.24	0.06	0.48
Daryl Washington	ARI	6.2	5.1	0.9	0.2	0.01	0.01	0.07	0.18
D.J. Williams	DEN	6	4.9	2.4	0.18	0.08	0.16	0	0.36
Tamba Hali	KC	5.9	2.6	1.5	0.71	0.06	0.41	0.01	0.06
Lawrence Timmons	PIT	5.9	5.1	2.3	0.08	0.04	0.06	0.06	0.37
Jamar Chaney	PHI	5.8	4.7	2.3	0.04	0.02	0.06	0.16	0.35
Paul Posluszny	JAC	5.7	4.5	2.9	0.17	0.02	0.07	0.09	0.4
Curtis Lofton	NO	5.7	4.5	3.1	0.07	0.1	0.16	0.05	0.33
Brian Cushing	HOU	5.7	4.1	3.1	0.18	0.02	0.22	0.11	0.28
Sean Lee	DAL	5.7	4.4	2.5	0.03	0.04	0.09	0.15	0.28
Luke Kuechly	CAR	5.7	4.2	2	0.23	0.09	0.19	0.02	0.21
Pat Angerer	IND	5.6	4	4.5	0.12	0.07	0.21	0.1	0.2
Michael Boley	NYG	5.5	4.2	1.6	0.16	0.14	0.06	0.04	0.22
Daryl Smith	JAC	5.4	4.1	2.1	0.17	0.03	0.2	0.04	0.42
Leroy Hill	SEA	5.4	3.8	1.8	0.45	0.01	0.1	0.01	0.04
LaMarr Woodley	PIT	5.4	2.8	1.6	0.4	0.18	0.09	0.1	0.22
Rolando McClain	OAK	5.4	4.7	2.1	0.15	0.02	0.02	0.02	0.8
Ryan Kerrigan	WAS	5.4	2.5	2	0.56	0.02	0.26	0.08	0.25
Mason Foster	TB	5.4	4	2.5	0.14	0.12	0.1	0.08	0.12
Brian Urlacher	CHI	5.3	4.3	1.5	0.07	0.12	0.01	0.1	0.41
Nick Barnett	BUF	5.3	4.3	4	0.07	0.01	0.07	0.11	0.22
Erin Henderson	MIN	5.2	4.1	2.9	0.18	0.04	0.21	0	0.08
Colin McCarthy	TEN	5.2	4	1.6	0.03	0.18	0.2	0.04	0.21
Von Miller	DEN	5.1	3.2	1.2	0.47	0.02	0.22	0	0.26
