PLAYER	TEAM	FP	INT	PD	SOLO	AST	SACK	FUMR	FORCE
Sherrick McManis	CHI	0.5	0.01	0.02	0.4	0.2	0	0.01	0.01
Brandon Harris	HOU	0.5	0.02	0.05	0.3	0.1	0	0.01	0.02
Byron Maxwell	SEA	0.5	0.01	0.03	0.3	0.2	0.01	0.05	0.01
Colin Jones	CAR	0.5	0.01	0.04	0.3	0.1	0	0.05	0.01
Omar Bolden	DEN	0.5	0	0.16	0.4	0.2	0	0.01	0.01
Coty Sensabaugh	TEN	0.5	0	0.19	0.4	0.2	0.01	0.01	0.01
Marcus Sherels	MIN	0.5	0	0	0	0	0	0	0
Jacques Reeves	KC	0.5	0.01	0.05	0.3	0.2	0.02	0.01	0.01
Shiloh Keo	HOU	0.4	0.01	0.05	0.3	0.2	0	0.01	0.01
Tyler Sash	NYG	0.4	0	0.05	0.3	0.1	0	0.01	0.02
Alfonzo Dennard	NE	0.4	0.03	0.12	0.2	0.3	0	0.01	0.01
Trevin Wade	CLE	0.4	0	0.22	0.3	0.2	0	0.01	0.01
Ron Brooks	BUF	0.3	0	0	0.3	0.2	0	0	0.01
Jordan Bernstine	WAS	0.3	0	0.29	0.3	0.2	0	0	0.01
Ronde Barber	TB	0	0	0	0	0	0	0	0
Will Allen	NE	0	0	0	0	0	0	0	0
Drayton Florence	DET	0	0	0	0	0	0	0	0
Rod Hood	STL	0	0	0	0	0	0	0	0
Shawntae Spencer	OAK	0	0	0	0	0	0	0	0
Sean Jones	DET	0	0	0	0	0	0	0	0
Erik Coleman	DET	0	0	0	0	0	0	0	0
Benny Sapp	MIN	0	0	0	0	0	0	0	0
Joselio Hanson	OAK	0	0	0	0	0	0	0	0
Brodney Pool	DAL	0	0	0	0	0	0	0	0
Ron Bartell	OAK	0	0	0	0	0	0	0	0
Oshiomogho Atogwe	PHI	0	0	0	0	0	0	0	0
Matt Giordano	OAK	0	0	0	0	0	0	0	0
Gerald Sensabaugh	DAL	0	0	0	0	0	0	0	0
Chris Carr	MIN	0	0	0	0	0	0	0	0
James Butler	STL	0	0	0	0	0	0	0	0
Michael Huff	OAK	0	0	0	0	0	0	0	0
Charlie Peprah	GB	0	0	0	0	0	0	0	0
Jarrad Page	MIN	0	0	0	0	0	0	0	0
Chris Houston	DET	0	0	0	0	0	0	0	0
Eric Wright	TB	0	0	0	0	0	0	0	0
Tanard Jackson	WAS	0	0	0	0	0	0	0	0
John Wendling	DET	0	0	0	0	0	0	0	0
Melvin Bullitt	IND	0	0	0	0	0	0	0	0
Byron Westbrook	WAS	0	0	0	0	0	0	0	0
Aqib Talib	TB	0	0	0	0	0	0	0	0
Mike Jenkins	DAL	0	0	0	0	0	0	0	0
Tyrell Johnson	MIA	0	0	0	0	0	0	0	0
Pat Lee	OAK	0	0	0	0	0	0	0	0
Reggie Smith	CAR	0	0	0	0	0	0	0	0
Antwaun Molden	NYG	0	0	0	0	0	0	0	0
Tyvon Branch	OAK	0	0	0	0	0	0	0	0
Brandon Carr	DAL	0	0	0	0	0	0	0	0
Orlando Scandrick	DAL	0	0	0	0	0	0	0	0
Jonathan Wilhite	CHI	0	0	0	0	0	0	0	0
Josh Barrett	NE	0	0	0	0	0	0	0	0
Louis Delmas	DET	0	0	0	0	0	0	0	0
Alphonso Smith	DET	0	0	0	0	0	0	0	0
Darius Butler	CAR	0	0	0	0	0	0	0	0
Mike Mitchell	OAK	0	0	0	0	0	0	0	0
Kevin Barnes	DET	0	0	0	0	0	0	0	0
Donald Washington	KC	0	0	0	0	0	0	0	0
Morgan Trent	WAS	0	0	0	0	0	0	0	0
E.J. Biggers	TB	0	0	0	0	0	0	0	0
Jacob Lacey	DET	0	0	0	0	0	0	0	0
Danny Gorrer	BAL	0	0	0	0	0	0	0	0
Amari Spievey	DET	0	0	0	0	0	0	0	0
Myron Lewis	TB	0	0	0	0	0	0	0	0
Kevin Thomas	PHI	0	0	0	0	0	0	0	0
Dominique Franks	ATL	0	0	0	0	0	0	0	0
Larry Asante	TB	0	0	0	0	0	0	0	0
Jordan Pugh	CAR	0	0	0	0	0	0	0	0
Cody Grimm	TB	0	0	0	0	0	0	0	0
Cassius Vaughn	IND	0	0	0	0	0	0	0	0
Aaron Berry	DET	0	0	0	0	0	0	0	0
Barry Church	DAL	0	0	0	0	0	0	0	0
Bryan McCann	OAK	0	0	0	0	0	0	0	0
Terrence Johnson	IND	0	0	0	0	0	0	0	0
Ras-I Dowling	NE	0	0	0	0	0	0	0	0
DeMarcus Van Dyke	PIT	0	0	0	0	0	0	0	0
Brandon Hogan	CAR	0	0	0	0	0	0	0	0
Chimdi Chekwa	OAK	0	0	0	0	0	0	0	0
Rashad Carmichael	HOU	0	0	0	0	0	0	0	0
Jermale Hines	IND	0	0	0	0	0	0	0	0
Chykie Brown	BAL	0	0	0	0	0	0	0	0
Chris Rucker	IND	0	0	0	0	0	0	0	0
Anthony Gaitor	TB	0	0	0	0	0	0	0	0
