PLAYER	TEAM	FP	REC	RECYD	YPR	RECTD	FUML
Jimmy Graham	NO	11.4	5.5	73	13.4	0.7	0.05
Rob Gronkowski	NE	11.2	4.4	67	15.3	0.77	0.05
Antonio Gates	SD	10	5.1	67	13.1	0.56	0.05
Jason Witten	DAL	9.4	5.7	68	11.9	0.44	0.05
Jermichael Finley	GB	7.9	3.7	51	13.9	0.47	0.04
Tony Gonzalez	ATL	7.8	4.1	51	12.4	0.47	0.03
Aaron Hernandez	NE	7.4	3.9	42	10.9	0.3	0.04
Dennis Pitta	BAL	6.9	3.9	44	11.4	0.43	0.03
Jacob Tamme	DEN	6.6	3.5	42	12.1	0.4	0.03
Vernon Davis	SF	6.5	4.2	50	11.7	0.28	0.07
Fred Davis	WAS	6.3	3.6	49	13.8	0.24	0.03
Owen Daniels	HOU	6.1	3.6	47	13	0.24	0.03
Dustin Keller	NYJ	5.8	3.8	45	11.9	0.24	0.03
Brandon Pettigrew	DET	5.6	3.9	43	10.9	0.24	0.04
Jermaine Gresham	CIN	5.5	3.8	40	10.4	0.27	0.03
Brent Celek	PHI	5.4	3.5	40	11.3	0.24	0.03
Greg Olsen	CAR	5.2	3.4	38	11.1	0.25	0.04
Scott Chandler	BUF	5.1	2.6	28	10.8	0.38	0.03
Martellus Bennett	NYG	5	3.5	35	10	0.26	0.03
Heath Miller	PIT	4.9	3.3	38	11.7	0.19	0.04
Dallas Clark	TB	4.8	3.1	35	11.3	0.22	0.03
Ed Dickson	BAL	4.8	2.8	32	11.3	0.27	0.03
Coby Fleener	IND	4.4	3.2	33	10.2	0.2	0.02
Jared Cook	TEN	4.3	2.9	34	12	0.16	0.06
Joel Dreessen	DEN	4.2	1.8	27	15.4	0.26	0.02
Marcedes Lewis	JAC	3.9	3	31	10.6	0.14	0.03
Tony Moeaki	KC	3.8	2.5	30	12.2	0.14	0.03
Benjamin Watson	CLE	3.7	3	30	10.2	0.12	0.04
Dwayne Allen	IND	3.7	2.6	27	10.5	0.18	0.02
Jed Collins	NO	3.5	1.9	21	10.8	0.24	0.02
Anthony Fasano	MIA	3.4	2.1	28	13	0.11	0.02
Todd Heap	ARI	3.2	1.9	25	12.9	0.13	0.01
Tony Scheffler	DET	3.2	1.6	20	12.7	0.21	0.02
Travis Beckum	NYG	3.1	1.6	17	11.1	0.22	0.01
Kyle Rudolph	MIN	2.9	2.9	23	8	0.11	0.03
Michael Palmer	ATL	2.8	1.5	17	11.1	0.19	0.02
Lance Kendricks	STL	2.8	1.8	24	12.9	0.08	0.03
