PLAYER	TEAM	FP	SOLO	AST	SACK	FUMR	FORCE	INT	PD
Jared Allen	MIN	6.8	3.2	1.8	0.79	0.18	0.28	0.04	0.32
Jason Babin	PHI	6.5	2.4	0.5	1.09	0.02	0.34	0	0.09
Robert Mathis	IND	6.1	2	1.2	0.83	0.28	0.31	0	0.07
Trent Cole	PHI	6.1	3.4	0.8	0.74	0.04	0.15	0	0.14
Jason Pierre-Paul	NYG	6	3.7	1.4	0.51	0.04	0.15	0	0.39
J.J. Watt	HOU	6	3.1	0.7	0.71	0.15	0.02	0.03	0.2
Justin Smith	SF	5.7	2.9	0.9	0.72	0.05	0.23	0	0.09
Jeremy Mincey	JAC	5.4	2	1.1	0.84	0.06	0.26	0.04	0.09
Chris Long	STL	5.3	1.7	0.5	1.08	0.02	0.15	0	0.14
Connor Barwin	HOU	5.3	1.9	0.9	0.97	0.03	0.16	0	0.26
John Abraham	ATL	5.1	2.4	0.9	0.68	0.05	0.26	0.01	0.09
Cliff Avril	DET	5.1	1.4	0.6	0.88	0.1	0.3	0.02	0.17
Rob Ninkovich	NE	5	2.1	2.2	0.41	0.23	0.26	0.12	0.22
Chris Clemons	SEA	4.6	1.9	1.4	0.65	0.03	0.34	0	0.27
Tommy Kelly	OAK	4.4	2.1	1.4	0.43	0.07	0.34	0.04	0.24
Matt Shaughnessy	OAK	4.4	2.8	0.8	0.41	0.02	0.12	0	0.04
Julius Peppers	CHI	4.3	2	0.5	0.39	0.08	0.25	0.01	0.19
Dwight Freeney	IND	4.2	1	0.5	0.79	0.02	0.37	0	0.04
Charles Johnson	CAR	4.1	2.6	1	0.47	0.02	0.02	0	0.15
Kyle Vanden Bosch	DET	4	1.5	0.8	0.67	0.03	0.2	0	0.02
Jurrell Casey	TEN	4	2.5	1.1	0.35	0.08	0.11	0	0.05
Karl Klug	TEN	4	1.2	0.2	0.79	0.02	0.2	0	0.21
Osi Umenyiora	NYG	3.9	1.7	1.1	0.5	0.01	0.36	0	0.09
Haloti Ngata	BAL	3.9	2.4	1.9	0.26	0.14	0.21	0	0.32
Ndamukong Suh	DET	3.9	1.7	0.9	0.58	0.02	0.02	0.02	0.08
Brett Keisel	PIT	3.8	2.2	1.8	0.2	0.16	0.26	0.01	0.45
