PLAYER	TEAM	FP	SOLO	AST	SACK	FUMR	FORCE	INT	PD
Jared Allen	MIN	9.4	3.3	1.7	1.52	0.24	0.33	0.04	0.3
Rob Ninkovich	NE	6.3	2.2	2.1	0.93	0.2	0.25	0.06	0.22
Jabaal Sheard	CLE	6.2	2	1.1	0.97	0.09	0.5	0	0.13
Jeremy Mincey	JAC	6	2	1.2	0.94	0.07	0.33	0.06	0.08
Jason Pierre-Paul	NYG	5.9	3.6	1.4	0.54	0.04	0.12	0	0.36
J.J. Watt	HOU	5.8	2.9	0.7	0.72	0.16	0.01	0.06	0.22
John Abraham	ATL	5.4	2.4	1	0.64	0.08	0.39	0.02	0.2
Jason Babin	PHI	5.2	2.3	0.5	0.73	0.02	0.27	0	0.12
Chris Long	STL	5.2	1.9	0.4	1.01	0.03	0.11	0	0.17
Connor Barwin	HOU	5.2	1.8	0.8	1.06	0.01	0.1	0	0.36
Trent Cole	PHI	5	3.3	0.8	0.49	0.02	0.09	0	0.17
Justin Smith	SF	4.9	3.2	1.1	0.34	0.05	0.25	0	0.06
Mario Williams	BUF	4.8	1.4	0.5	0.96	0.01	0.25	0	0.12
Ahtyba Rubin	CLE	4.7	2.9	2.1	0.55	0.02	0.02	0.03	0.04
Julius Peppers	CHI	4.6	2.1	0.5	0.49	0.07	0.24	0.01	0.21
Calais Campbell	ARI	4.5	2.7	1.3	0.36	0.06	0.14	0.03	0.38
Tommy Kelly	OAK	4.4	2	1.5	0.44	0.06	0.36	0.03	0.23
Chris Clemons	SEA	4.3	2.1	1.3	0.51	0.03	0.28	0	0.22
Cliff Avril	DET	4.3	1.3	0.5	0.65	0.12	0.28	0.03	0.23
Robert Mathis	IND	4.2	2	1.3	0.39	0.21	0.23	0	0.03
Jared Odrick	MIA	4.2	1.6	0.2	0.53	0.06	0.37	0.04	0.14
Charles Johnson	CAR	4.1	2.6	1.1	0.48	0.02	0.01	0	0.2
Matt Shaughnessy	OAK	4.1	2.6	0.9	0.38	0.01	0.17	0	0.03
Osi Umenyiora	NYG	4	1.6	1	0.56	0.01	0.33	0	0.1
Justin Tuck	NYG	4	2.2	1.2	0.43	0.07	0.12	0	0.22
Adrian Clayborn	TB	4	2	1.3	0.51	0.02	0.22	0	0.04
Vince Wilfork	NE	3.9	1.7	1.5	0.5	0.11	0.1	0.05	0.15
Phil Taylor	CLE	3.9	2	1.7	0.54	0.02	0.1	0	0.06
Brett Keisel	PIT	3.8	2.3	1.6	0.16	0.15	0.27	0.02	0.35
Haloti Ngata	BAL	3.8	2.2	1.9	0.24	0.16	0.2	0	0.24
Brian Robison	MIN	3.8	1.6	1.4	0.46	0.13	0.23	0	0.07
Michael Bennett	TB	3.8	2.5	0.4	0.26	0.14	0.07	0	0.01
Randy Starks	MIA	3.7	2.2	0.6	0.32	0.08	0.02	0.06	0.23
Greg Hardy	CAR	3.7	2.3	1	0.19	0.02	0.21	0	0.44
Mathias Kiwanuka	NYG	3.6	2.7	1.3	0.18	0.04	0.09	0.04	0.1
Geno Atkins	CIN	3.6	1.5	1.3	0.48	0.14	0.13	0	0.09
Mark Anderson	BUF	3.5	1.1	0.8	0.68	0.04	0.12	0	0.14
Ndamukong Suh	DET	3.5	1.6	0.9	0.45	0.02	0.02	0.01	0.08
Jurrell Casey	TEN	3.5	2.3	1.2	0.19	0.11	0.16	0	0.06
Kevin Williams	MIN	3.4	1.9	1.4	0.36	0.02	0.14	0	0.32
Chris Kelsay	BUF	3.4	1.7	1.4	0.46	0.02	0.13	0	0.18
Israel Idonije	CHI	3.4	2.2	1	0.25	0.07	0.08	0	0.03
Robert Quinn	STL	3.4	1.3	0.2	0.49	0.01	0.09	0	0.15
Kyle Vanden Bosch	DET	3.3	1.4	0.7	0.47	0.03	0.21	0	0.01
Antonio Smith	HOU	3.3	1.2	0.5	0.6	0.01	0.11	0	0.15
Lamarr Houston	OAK	3.3	2.3	1.2	0.12	0.16	0.06	0.02	0.15
Karl Klug	TEN	3.3	1.1	0.2	0.48	0.02	0.32	0	0.25
Darnell Dockett	ARI	3.2	2.1	0.9	0.2	0.13	0.11	0	0.04
Ray Edwards	ATL	3.2	2	0.9	0.23	0.15	0.01	0	0.21
B.J. Raji	GB	3.2	1.2	0.8	0.54	0.09	0.02	0.01	0.12
Richard Seymour	OAK	3.1	1.9	0.7	0.31	0.02	0.02	0	0.19
Cullen Jenkins	PHI	3.1	2	0.5	0.26	0.08	0.01	0	0.01
Carlos Dunlap	CIN	3.1	1.2	0.9	0.56	0.08	0.02	0	0.2
Marcell Dareus	BUF	3.1	1.5	0.8	0.49	0.06	0.01	0	0.05
Antonio Garay	SD	3	2.2	1.4	0.25	0.01	0.01	0	0
Spencer Johnson	BUF	3	1.6	1.1	0.23	0.02	0.08	0.05	0.14
Desmond Bryant	OAK	3	1.7	0.6	0.26	0.02	0.13	0	0.04
Sione Pouha	NYJ	2.9	2.1	1.3	0.14	0.11	0.05	0	0.2
Darryl Tapp	PHI	2.9	1.9	0.6	0.15	0.13	0.12	0	0.24
Domata Peko	CIN	2.9	2.3	2	0.11	0.06	0.07	0	0.01
Lawrence Jackson	DET	2.9	1.3	0.9	0.44	0.08	0.04	0	0.02
Michael Johnson	CIN	2.9	1.8	1	0.27	0.02	0.07	0.03	0.2
Dwan Edwards	CAR	2.8	2.2	1.8	0.16	0.01	0.04	0.01	0.07
Jason Hatcher	DAL	2.8	1.4	0.9	0.32	0.03	0.1	0.04	0.09
Aaron Maybin	NYJ	2.8	0.6	0.2	0.56	0.02	0.22	0	0.01
Paul Kruger	BAL	2.8	1.2	0.5	0.38	0.12	0.03	0	0.12
Muhammad Wilkerson	NYJ	2.8	1.9	0.9	0.24	0.01	0.08	0	0.14
Frostee Rucker	CLE	2.7	1.6	0.9	0.32	0.02	0.02	0	0.11
Kyle Williams	BUF	2.7	1.6	1.1	0.29	0.06	0.02	0	0.1
Stephen Bowen	WAS	2.7	1.3	1.7	0.44	0.05	0.01	0	0.05
Ray McDonald	SF	2.7	1.6	0.8	0.15	0.06	0.2	0.02	0.08
Gerald McCoy	TB	2.7	1.9	0.6	0.2	0.01	0.07	0	0.1
Bruce Irvin	SEA	2.7	1.4	0.7	0.24	0.12	0.07	0.01	0.09
Chandler Jones	NE	2.7	1.1	0.8	0.49	0.03	0.03	0	0.05
Juqua Parker	CLE	2.6	0.9	0.3	0.29	0.3	0.05	0	0.26
Dwight Freeney	IND	2.6	0.9	0.4	0.36	0.02	0.26	0	0.03
Will Smith	NO	2.6	1.4	0.7	0.28	0.02	0.11	0.01	0.14
Jay Ratliff	DAL	2.6	1.8	0.8	0.16	0.11	0.01	0	0.15
Tony McDaniel	MIA	2.6	1.6	0.8	0.24	0.04	0.03	0	0.18
Adam Carriker	WAS	2.6	1.2	1.1	0.42	0.02	0.02	0	0.01
Tyson Alualu	JAC	2.6	1.3	1.3	0.31	0.08	0.08	0	0.05
Quinton Coples	NYJ	2.6	1.3	0.6	0.34	0.04	0.02	0	0.08
Kenyon Coleman	DAL	2.5	2	1.1	0.09	0.08	0.01	0	0.11
Cory Redding	IND	2.5	1.9	1.9	0.11	0.07	0.01	0	0.07
Barry Cofield	WAS	2.4	1.4	1	0.2	0.07	0.04	0	0.34
Jason Hunter	DEN	2.4	1.5	0.7	0.1	0.11	0.13	0	0.07
Brandon Mebane	SEA	2.4	2.3	1.2	0.01	0.02	0.01	0	0.06
Glenn Dorsey	KC	2.4	2.3	2.4	0.02	0.04	0.02	0	0
Ryan Pickett	GB	2.3	2.1	0.8	0.05	0.02	0.02	0	0.1
Jamaal Anderson	CIN	2.3	0.9	0.6	0.29	0.06	0.04	0	0.07
Jason Jones	SEA	2.3	1.3	0.8	0.2	0.01	0.16	0	0.25
Red Bryant	SEA	2.3	1.4	0.9	0.01	0.06	0.02	0.09	0.11
Brandon Deaderick	NE	2.3	1	0.5	0.42	0.01	0.02	0	0
Michael Brockers	STL	2.3	1.2	0.4	0.31	0.02	0.03	0	0.03
Andre Branch	JAC	2.3	1.1	0.6	0.28	0.07	0.02	0	0.03
Mike Patterson	PHI	2.1	1.9	0.6	0	0.04	0.06	0	0
Kevin Vickerson	DEN	2.1	1.5	0.8	0.09	0.02	0.05	0.03	0.09
Turk McBride	NO	2.1	0.6	0.6	0.2	0.09	0.34	0	0.01
Paul Soliai	MIA	2.1	1.8	0.8	0.06	0.04	0.02	0	0.14
Kendall Langford	STL	2.1	1.3	0.5	0.13	0.02	0.17	0	0.16
Tyson Jackson	KC	2.1	1.8	1.4	0.05	0.02	0.02	0	0.08
Shea McClellin	CHI	2.1	1.4	0.5	0.16	0.04	0.02	0.01	0.03
Jerel Worthy	GB	2.1	1.1	0.4	0.27	0.03	0.02	0	0.03
Alan Branch	SEA	2	1.4	1	0.14	0.02	0.07	0	0.05
Derrick Morgan	TEN	2	1.5	0.7	0.14	0.02	0.01	0	0.14
Kyle Love	NE	2	0.9	1	0.32	0.05	0.02	0	0.06
Drake Nevis	IND	2	1.8	2.1	0.01	0.02	0.02	0	0.15
Amobi Okoye	CHI	1.9	1.3	0.9	0.19	0.02	0.01	0	0.03
Ziggy Hood	PIT	1.9	1.6	0.9	0.1	0.02	0.02	0	0.06
Terrance Knighton	JAC	1.9	1.2	1.1	0.17	0.03	0.02	0.02	0.07
Roy Miller	TB	1.9	1.8	1.7	0.02	0.02	0	0	0
Brandon Graham	PHI	1.9	1.3	0.1	0.1	0.02	0.09	0	0.01
Linval Joseph	NYG	1.9	1.7	1.1	0.08	0.01	0.01	0	0.19
Austen Lane	JAC	1.9	1.1	1	0.2	0.03	0.01	0	0
Justin Bannan	DEN	1.9	1.7	0.6	0.02	0.02	0.01	0	0.13
Jonathan Babineaux	ATL	1.8	1.3	1.2	0.07	0.02	0.07	0.02	0.22
