PLAYER	TEAM	FP	COMP	ATT	CMP%	PASSYD	PASSTD	INT	RUSHYD	RUSHTD	FUML
Cam Newton	CAR	23.1	22.8	38.1	0.598	263	1.14	0.99	57	0.76	0.18
Aaron Rodgers	GB	21.9	23.8	35.1	0.679	268	2.44	0.91	23	0.2	0.13
Tom Brady	NE	20.7	23.1	34.6	0.667	296	2.29	0.62	6	0.1	0.16
Drew Brees	NO	19.6	28.3	40.2	0.706	293	2.4	0.92	3	0.02	0.12
Peyton Manning	DEN	19.5	22.1	33.2	0.667	298	2.4	0.88	0	0.01	0.13
Matt Ryan	ATL	19.1	23.5	37.9	0.621	282	2.1	0.61	6	0.07	0.17
Tony Romo	DAL	17.6	23.1	34.7	0.666	275	1.99	0.81	4	0.04	0.21
Eli Manning	NYG	17.3	20.8	32.7	0.637	271	2.1	0.94	1	0.03	0.22
Matthew Stafford	DET	17.2	25	41.7	0.598	282	2.05	1.16	3	0.02	0.21
Alex Smith	SF	16.9	18.9	29.6	0.638	221	1.88	0.61	15	0.13	0.29
Robert Griffin III	WAS	16.9	16.6	29.2	0.569	210	1.4	0.88	39	0.32	0.52
Michael Vick	PHI	16	20.5	36.6	0.559	235	0.87	1.22	45	0.34	0.5
Philip Rivers	SD	15.7	23	32.9	0.698	244	1.93	0.8	3	0.02	0.29
Joe Flacco	BAL	15.1	20.8	35.6	0.584	251	1.82	0.92	4	0.03	0.49
Jake Locker	TEN	15	21	37.5	0.561	255	1.31	1.15	14	0.14	0.2
Andrew Luck	IND	15	21.6	32.8	0.659	232	1.46	0.81	13	0.13	0.28
Jay Cutler	CHI	14.1	19.9	35.4	0.563	257	1.35	0.98	8	0.06	0.37
Josh Freeman	TB	13.8	20.1	35.2	0.571	236	1.23	1.25	19	0.12	0.36
Matt Schaub	HOU	13.6	19.4	29	0.668	220	1.51	0.56	0	0.01	0.13
Ben Roethlisberger	PIT	12.9	18.3	34.4	0.532	233	1.24	0.91	9	0.06	0.42
Ryan Fitzpatrick	BUF	12.8	19.4	33.9	0.572	211	1.42	1.43	16	0.08	0.27
Sam Bradford	STL	12.7	23	37.7	0.61	262	1.05	0.77	3	0.03	0.47
Russell Wilson	SEA	12.5	17.7	30.3	0.584	203	0.99	0.92	20	0.18	0.38
Andy Dalton	CIN	12.3	17.7	31	0.571	213	0.96	0.87	15	0.1	0.21
Kevin Kolb	ARI	11.8	21.5	37.6	0.571	255	1.2	1.25	4	0.02	0.62
Christian Ponder	MIN	11.2	19.7	31.7	0.622	190	0.9	0.79	18	0.08	0.33
Matt Cassel	KC	10.6	17.6	30.6	0.576	187	1.06	1.14	13	0.07	0.25
Mark Sanchez	NYJ	9.4	15.5	30.4	0.511	181	0.87	0.77	6	0.07	0.35
Blaine Gabbert	JAC	8.9	16.2	30.8	0.526	193	0.78	0.81	9	0.04	0.72
Brandon Weeden	CLE	8.7	17.7	33.9	0.521	198	0.77	1.19	4	0.04	0.25
Carson Palmer	OAK	7.7	17.9	31.2	0.572	178	0.71	1.15	2	0.02	0.16
Ryan Tannehill	MIA	7.7	15	30.6	0.49	156	0.69	1.25	12	0.12	0.34
Tim Tebow	NYJ	2.4	1.1	2.9	0.394	13	0.07	0.05	14	0.1	0.14
Nick Foles	PHI	0.6	1.1	2.1	0.541	14	0.05	0.07	0	0	0.01
Matt Hasselbeck	TEN	0.4	0.6	1	0.598	7	0.04	0.03	0	0	0.01
Matt Leinart	OAK	0.4	0.8	1.5	0.573	8	0.03	0.04	0	0	0.01
Chad Henne	JAC	0.4	0.6	1.1	0.551	7	0.03	0.04	1	0.01	0.01
Matt Flynn	SEA	0.4	0.6	1	0.662	8	0.05	0.04	0	0	0.01
Matt Moore	MIA	0.3	0.5	1	0.539	6	0.04	0.03	0	0	0.02
