PLAYER	TEAM	FP	RUSH	RUSHYD	YPC	RUSHTD	REC	RECYD	RECTD	FUML
Arian Foster	HOU	20.7	21.3	106	4.95	0.95	4.2	37	0.19	0.22
Adrian Peterson	MIN	18.4	16.9	106	6.26	1.07	1.9	12	0.08	0.16
Ahmad Bradshaw	NYG	15.3	17.8	83	4.69	0.72	3.1	23	0.13	0.2
Ryan Mathews	SD	15.3	16	81	5.03	0.56	4.3	35	0.16	0.28
Ray Rice	BAL	14.8	16.6	74	4.48	0.52	4.2	37	0.15	0.17
Shonn Greene	NYJ	12.8	17.1	79	4.65	0.57	1.8	13	0.07	0.16
Frank Gore	SF	12.6	16.5	78	4.73	0.54	2	14	0.08	0.17
Trent Richardson	CLE	12.6	15.4	64	4.12	0.42	3.2	30	0.18	0.16
Darren Sproles	NO	12.4	4.2	23	5.44	0.15	6.3	52	0.41	0.15
Stevan Ridley	NE	12.3	19	82	4.3	0.55	1.2	9	0.04	0.17
Maurice Jones-Drew	JAC	12.1	19.5	80	4.08	0.34	3.3	18	0.14	0.23
Marshawn Lynch	SEA	11.9	16.1	66	4.09	0.6	2.1	16	0.08	0.16
Steven Jackson	STL	11.8	16.4	62	3.8	0.39	3.4	28	0.13	0.16
LeSean McCoy	PHI	11.8	15.7	57	3.63	0.53	3.7	24	0.13	0.17
C.J. Spiller	BUF	11.6	13.6	56	4.14	0.39	3.8	29	0.14	0.22
Reggie Bush	MIA	11.5	14.5	62	4.25	0.37	3.5	26	0.14	0.17
BenJarvus Green-Ellis	CIN	11.1	15.5	64	4.12	0.7	0.7	6	0.02	0.14
Alfred Morris	WAS	11	15.4	67	4.37	0.6	0.9	7	0.04	0.16
Rashard Mendenhall	PIT	10.6	13.1	62	4.74	0.6	1	8	0.05	0.14
Donald Brown	IND	10.4	13.3	59	4.44	0.43	2.1	16	0.08	0.13
Matt Forte	CHI	9.9	14.1	47	3.33	0.32	3.3	29	0.12	0.14
Michael Turner	ATL	9.3	15.5	59	3.77	0.49	0.7	6	0.02	0.14
Jonathan Stewart	CAR	9.2	9.9	45	4.52	0.23	3.2	26	0.15	0.1
Willis McGahee	DEN	9.1	15.8	59	3.7	0.36	1.5	9	0.11	0.2
Pierre Thomas	NO	8.8	7	36	5.21	0.28	3.4	25	0.17	0.08
Beanie Wells	ARI	8.7	13.2	57	4.33	0.44	0.5	5	0.02	0.15
DeAngelo Williams	CAR	8.6	10.3	51	4.9	0.38	1.4	11	0.06	0.1
Ben Tate	HOU	7.9	9.7	48	4.92	0.36	1.2	9	0.04	0.1
Cedric Benson	GB	7.8	13.9	52	3.76	0.36	1	6	0.03	0.15
Chris Johnson	TEN	7.7	14.9	36	2.4	0.26	2.9	22	0.11	0.14
Jamaal Charles	KC	7.3	11.2	41	3.64	0.24	2	16	0.07	0.14
Mark Ingram	NO	7.2	11.8	46	3.9	0.38	1.1	4	0.02	0.11
Michael Bush	CHI	7.1	10.5	33	3.14	0.3	1.9	18	0.08	0.12
Kendall Hunter	SF	6.1	7.9	37	4.73	0.21	1	10	0.04	0.08
Peyton Hillis	KC	5.7	10.2	33	3.25	0.24	1.7	10	0.04	0.14
Daryl Richardson	STL	5.7	7.1	33	4.6	0.29	0.7	6	0.03	0.07
Knowshon Moreno	DEN	5.4	4.6	17	3.64	0.09	2.2	21	0.2	0.08
Rashad Jennings	JAC	5.3	5.5	29	5.22	0.2	1.7	10	0.04	0.06
Ryan Williams	ARI	5.1	6.4	27	4.23	0.22	0.9	8	0.06	0.05
Toby Gerhart	MIN	4.8	5.8	27	4.54	0.12	1.5	10	0.09	0.07
Shaun Draughn	KC	4.7	3.7	23	6.38	0.29	0.7	5	0.02	0.04
Isaac Redman	PIT	4.6	6.5	28	4.41	0.16	1	6	0.05	0.06
Roy Helu	WAS	4.5	3.7	14	3.77	0.1	2.8	18	0.14	0.07
Robert Turbin	SEA	4	4.7	19	4.18	0.14	1.2	10	0.05	0.06
Danny Woodhead	NE	3.9	4.3	18	4.24	0.11	1.1	10	0.06	0.06
Bernard Scott	CIN	3.8	7.2	22	3.11	0.17	1	4	0.03	0.07
Jacquizz Rodgers	ATL	3.8	3.3	11	3.43	0.06	1.5	13	0.07	0.06
David Wilson	NYG	3.8	4.8	22	4.56	0.16	0.6	5	0.02	0.12
Lamar Miller	MIA	3.7	5	22	4.41	0.17	0.5	4	0.02	0.06
John Kuhn	GB	3.6	2.7	10	3.72	0.12	1.1	9	0.16	0.04
Jason Snelling	ATL	3.6	3	10	3.38	0.05	2	17	0.12	0.04
LaRod Stephens-Howling	ARI	3.6	2.4	9	3.82	0.06	0.9	10	0.06	0.07
Bernard Pierce	BAL	3.6	4.7	19	4.13	0.16	0.6	6	0.04	0.04
Brandon Jackson	CLE	3.3	3.1	10	3.25	0.05	1.7	15	0.1	0.04
Andre Brown	NYG	3.1	3.2	17	5.26	0.21	0.1	1	0	0.04
Jonathan Dwyer	PIT	3	5.4	19	3.58	0.09	0.5	4	0.04	0.05
Vick Ballard	IND	2.8	3.1	14	4.45	0.12	0.7	6	0.03	0.04
Leon Washington	SEA	2.6	0.6	2	3.26	0.01	0.2	1	0.01	0.07
Bilal Powell	NYJ	2.6	5.1	16	3.21	0.1	0.5	5	0.02	0.12
Mike Tolbert	CAR	2.5	0.7	3	4.29	0.03	1.9	16	0.08	0.02
Lance Ball	DEN	2.5	4.9	16	3.35	0.09	0.1	1	0.01	0.06
Chris Rainey	PIT	2.4	1.2	6	4.96	0.04	1	10	0.08	0.04
Alex Green	GB	2.3	2.7	8	3.12	0.05	1.4	8	0.06	0.04
Daniel Thomas	MIA	2.2	5.2	15	2.94	0.08	0.4	3	0.01	0.06
Ronnie Brown	SD	1.9	2.9	11	3.74	0.07	0.3	3	0.02	0.04
Tashard Choice	BUF	1.9	4.2	8	1.91	0.06	1	8	0.03	0.13
Brian Leonard	CIN	1.8	1.5	7	4.53	0.03	1.1	8	0.03	0.03
Joe McKnight	NYJ	1.8	0.5	2	3.27	0.01	0.5	5	0.02	0.06
Bryce Brown	PHI	1.8	3.4	10	2.98	0.06	0.5	4	0.02	0.08
LeRon McClain	SD	1.7	0.7	3	4.05	0.02	1.5	10	0.07	0.02
Brandon Jacobs	SF	1.6	1.7	9	5.57	0.08	0.2	1	0	0.02
Chris Ogbonnaya	CLE	1.5	2.7	11	3.99	0.05	0.2	2	0.01	0.08
Marcus Thigpen	MIA	1.5	0	0	0	0	0	0	0	0.06
Brandon Saine	GB	1.4	2	8	4.12	0.03	0.3	2	0.03	0.03
Jorvorskie Lane	MIA	1.3	0.9	4	4.06	0.03	0.9	7	0.03	0.02
Isaiah Pead	STL	1.2	0.4	2	4.2	0.01	0.2	2	0.01	0.05
Curtis Brinkley	SD	1.1	2.7	8	3.09	0.04	0.1	1	0	0.03
Stanley Havili	PHI	1.1	0.2	1	4.28	0.01	0.3	9	0.01	0.01
Vonta Leach	BAL	1	0.3	1	3.36	0.01	0.9	6	0.04	0.01
Michael Robinson	SEA	1	0.1	1	4.89	0	0.7	6	0.06	0.03
Javon Ringer	TEN	1	2.7	5	2.03	0.05	0.2	1	0.01	0.03
Shane Vereen	NE	1	1.1	4	4.16	0.07	0.2	1	0.01	0.02
Bruce Miller	SF	1	0.1	0	2.13	0	0.7	7	0.06	0.04
Bear Pascoe	NYG	0.9	0	0	0	0	0.7	7	0.03	0.01
Anthony Allen	BAL	0.9	2	6	3.15	0.03	0.1	1	0.01	0.01
Jalen Parmele	JAC	0.8	0	0	0	0	0	0	0	0.03
Delone Carter	IND	0.8	1.8	6	3.01	0.03	0.2	1	0	0.03
LaMichael James	SF	0.8	0.5	2	4.73	0.02	0.2	2	0.01	0.01
