PLAYER	TEAM	FP	PA	SACK	INT	FUMR	BLK	TO	INTTD	KRETTD	PRETTD
Baltimore Ravens	BAL	21	15.4	4	1.43	0.92	0.24	2.35	0.09	0.03	0.05
Green Bay Packers	GB	20.8	18.2	4.1	1.86	1.07	0.17	2.94	0.06	0.08	0.11
Indianapolis Colts	IND	18.9	17	3.5	1.16	1.07	0.24	2.23	0.09	0.02	0.01
New York Giants	NYG	17.2	19.3	4.9	1.04	1.01	0.23	2.05	0.08	0.02	0.02
Seattle Seahawks	SEA	16.2	17.8	3.4	1.08	0.91	0.21	1.98	0.05	0.04	0.03
Miami Dolphins	MIA	15.5	18.8	3.6	1.06	0.78	0.24	1.84	0.2	0.04	0.07
Detroit Lions	DET	15.1	20.1	3.9	0.77	1.27	0.25	2.04	0.14	0.04	0.02
Chicago Bears	CHI	14.3	19.7	2.5	1.19	0.78	0.2	1.97	0.04	0.04	0.18
Houston Texans	HOU	13.9	19.6	2.3	1.7	1.05	0.2	2.75	0.1	0.03	0.02
San Diego Chargers	SD	13.1	20.5	3	1.05	0.94	0.19	1.98	0.22	0.06	0.08
Carolina Panthers	CAR	11.2	26	3.6	0.89	1.24	0.18	2.13	0.14	0.07	0.02
Oakland Raiders	OAK	11	20.4	1.6	0.97	1.2	0.24	2.17	0.19	0.21	0.03
Minnesota Vikings	MIN	10.8	24.7	3.5	0.62	0.91	0.21	1.53	0.19	0.08	0.01
Washington Redskins	WAS	10.1	24.1	2.4	1.2	0.82	0.19	2.02	0.1	0.06	0.02
Cleveland Browns	CLE	9.2	24.9	2.3	0.74	1	0.24	1.74	0.2	0.04	0.04
Tampa Bay Buccaneers	TB	9.2	24.8	1.4	1.31	1.1	0.21	2.41	0.09	0.04	0.01
New Orleans Saints	NO	8.3	26.3	2.1	1.1	1.05	0.2	2.15	0.18	0.06	0.02
Denver Broncos	DEN	8.2	23.7	1.7	0.89	0.77	0.23	1.66	0.09	0.01	0.14
Atlanta Falcons	ATL	7.7	26.9	2.3	0.98	0.89	0.18	1.87	0.11	0.01	0
Philadelphia Eagles	PHI	7.4	32.3	2.6	1.41	0.75	0.19	2.16	0.15	0.04	0.02
Pittsburgh Steelers	PIT	7.1	23.1	1.5	0.74	0.82	0.23	1.56	0.09	0.03	0.03
Arizona Cardinals	ARI	5.9	36.5	2.5	0.57	0.88	0.17	1.45	0.32	0.07	0.11
Kansas City Chiefs	KC	5.2	28.5	1.6	1.09	0.88	0.21	1.95	0.12	0.02	0.03
Jacksonville Jaguars	JAC	4.4	28.6	1.6	1	0.89	0.21	1.89	0.15	0.02	0.01
Dallas Cowboys	DAL	4.3	28.6	2	0.71	0.76	0.2	1.47	0.15	0.04	0.01
Cincinnati Bengals	CIN	3.9	29.6	1.4	0.54	1.16	0.18	1.7	0.1	0.04	0.04
Tennessee Titans	TEN	3.7	27.7	2.1	0.36	0.96	0.22	1.31	0.26	0.02	0.01
Buffalo Bills	BUF	2.8	30.3	1.1	0.68	0.76	0.21	1.44	0.19	0.03	0.07
St. Louis Rams	STL	0	0	0	0	0	0	0	0	0	0
New England Patriots	NE	0	0	0	0	0	0	0	0	0	0
New York Jets	NYJ	0	0	0	0	0	0	0	0	0	0
San Francisco 49ers	SF	0	0	0	0	0	0	0	0	0	0
