PLAYER	TEAM	FP	RUSH	RUSHYD	YPC	RUSHTD	REC	RECYD	RECTD	FUML
Arian Foster	HOU	20.6	19.3	108	5.59	0.95	4.1	34	0.19	0.23
Marshawn Lynch	SEA	16.3	18.3	91	4.97	0.94	1.6	14	0.09	0.19
Ryan Mathews	SD	15.9	19	90	4.72	0.66	3.3	27	0.13	0.28
Darren McFadden	OAK	14.9	15.2	76	5.05	0.52	3.5	32	0.22	0.16
Fred Jackson	BUF	14.7	15.9	79	4.97	0.59	3.2	28	0.12	0.16
LeSean McCoy	PHI	14.7	15.7	72	4.6	0.65	4	28	0.18	0.16
Ahmad Bradshaw	NYG	14.5	18	78	4.36	0.66	3.1	23	0.14	0.2
Matt Forte	CHI	14.3	15.2	69	4.51	0.53	4	36	0.17	0.17
Adrian Peterson	MIN	14	13.7	76	5.54	0.76	2	16	0.09	0.15
Ray Rice	BAL	13.6	15.9	66	4.14	0.43	4.5	38	0.15	0.17
DeMarco Murray	DAL	12.6	18.9	77	4.05	0.42	3.1	22	0.09	0.19
Maurice Jones-Drew	JAC	12.5	18.4	79	4.28	0.32	3.1	22	0.14	0.18
Steven Jackson	STL	12.1	15.9	62	3.89	0.36	3.8	32	0.13	0.15
Donald Brown	IND	12	14.2	72	5.06	0.54	2	15	0.06	0.13
Jamaal Charles	KC	11.7	12.4	65	5.23	0.4	2.4	22	0.17	0.17
Darren Sproles	NO	11.3	4.5	25	5.64	0.23	5.3	41	0.29	0.17
Chris Johnson	TEN	11.3	17.4	64	3.69	0.5	2.7	17	0.09	0.18
Frank Gore	SF	11.1	15.9	66	4.12	0.56	1.6	13	0.04	0.18
Willis McGahee	DEN	10.9	15.5	71	4.59	0.47	1.4	7	0.1	0.19
BenJarvus Green-Ellis	CIN	10.8	14.9	61	4.1	0.7	0.6	6	0.02	0.14
Rashard Mendenhall	PIT	10.6	14.4	62	4.31	0.59	1	9	0.05	0.15
Michael Turner	ATL	10.5	14.8	62	4.15	0.68	0.6	5	0.01	0.14
Shonn Greene	NYJ	10.5	15	67	4.47	0.38	2	14	0.08	0.15
Kevin Smith	DET	10.2	9	47	5.25	0.44	2.2	18	0.22	0.1
Jonathan Stewart	CAR	10.1	8.6	46	5.28	0.28	3.4	30	0.18	0.09
Evan Royster	WAS	9.9	8.3	51	6.1	0.45	1.8	17	0.11	0.09
Trent Richardson	CLE	9.6	13.6	47	3.44	0.29	3	27	0.13	0.13
Reggie Bush	MIA	9.3	12.3	47	3.82	0.24	3.6	26	0.14	0.15
Rashad Jennings	JAC	9.2	8.7	48	5.49	0.35	2.6	20	0.09	0.1
Mark Ingram	NO	9.1	12.8	52	4.1	0.54	1.3	7	0.04	0.13
Doug Martin	TB	9.1	13.8	48	3.44	0.34	2.4	19	0.12	0.15
DeAngelo Williams	CAR	9	8.7	50	5.72	0.43	1.5	13	0.06	0.07
Peyton Hillis	KC	8.9	14.6	54	3.68	0.38	1.8	12	0.07	0.15
Stevan Ridley	NE	8	14.2	55	3.85	0.4	0.8	4	0.03	0.18
Pierre Thomas	NO	7.9	6	31	5.27	0.3	3.1	22	0.13	0.09
Michael Bush	CHI	7.4	8.4	34	4.05	0.31	2	18	0.08	0.1
Kendall Hunter	SF	7.4	10.1	44	4.34	0.34	1	10	0.04	0.09
C.J. Spiller	BUF	7	6.2	32	5.16	0.22	2.2	15	0.09	0.13
Ben Tate	HOU	6.9	9.1	49	5.37	0.28	0.7	5	0.02	0.12
Roy Helu	WAS	6.6	7.2	34	4.75	0.26	1.7	12	0.1	0.08
Isaiah Pead	STL	6.3	6.6	25	3.81	0.2	1.7	15	0.09	0.12
Jacquizz Rodgers	ATL	6	5.8	23	4.03	0.21	1.6	13	0.11	0.09
Knowshon Moreno	DEN	5.6	4.1	16	3.94	0.12	2.3	24	0.16	0.06
Mikel LeShoure	DET	5.6	6.7	33	4.92	0.28	0.8	6	0.04	0.11
Beanie Wells	ARI	5.1	9.9	33	3.33	0.23	0.6	4	0.02	0.09
Danny Woodhead	NE	4.8	6.3	26	4.22	0.16	1.1	9	0.05	0.08
Toby Gerhart	MIN	4.8	5.7	24	4.2	0.12	1.6	13	0.1	0.07
Mike Goodson	OAK	4.7	5.7	22	3.81	0.15	1.7	13	0.09	0.11
Isaac Redman	PIT	4.6	6.8	30	4.37	0.16	1	5	0.05	0.08
Alfred Morris	WAS	4.6	4.4	23	5.34	0.22	0.8	8	0.05	0.03
Marcel Reece	OAK	4.5	2.9	12	3.94	0.05	2.1	23	0.14	0.06
Ryan Williams	ARI	4.5	6.8	24	3.54	0.14	1.2	11	0.06	0.08
Jahvid Best	DET	4.4	4.8	19	3.83	0.14	2.4	14	0.06	0.06
Cedric Benson	GB	3.9	12.7	23	1.81	0.18	0.9	6	0.04	0.12
Jason Snelling	ATL	3.9	3.4	11	3.16	0.07	2	16	0.15	0.04
Bernard Scott	CIN	3.8	7.3	23	3.12	0.18	1	4	0.03	0.07
David Wilson	NYG	3.7	5.5	22	4.07	0.13	0.6	5	0.03	0.16
Robert Turbin	SEA	3.7	5.2	21	4.15	0.18	0.5	4	0.04	0.05
LeGarrette Blount	TB	3.6	6.6	22	3.31	0.14	0.7	7	0.02	0.12
Bilal Powell	NYJ	3.5	4.3	17	4.04	0.12	1	8	0.05	0.04
Lance Ball	DEN	3.3	4.9	20	4.14	0.13	0.1	1	0.01	0.08
Brian Leonard	CIN	3.2	1.6	8	5.14	0.05	2.1	17	0.08	0.03
Joe McKnight	NYJ	3.2	2.5	9	3.53	0.05	0.8	8	0.05	0.12
Bernard Pierce	BAL	3.2	4.5	18	3.94	0.14	0.6	5	0.02	0.04
Daniel Thomas	MIA	3.1	6.8	19	2.83	0.08	0.8	6	0.04	0.07
Brandon Jackson	CLE	3	3.9	11	2.76	0.05	1.6	13	0.06	0.04
Chris Rainey	PIT	3	2.7	11	4.24	0.1	1	9	0.05	0.06
Vick Ballard	IND	3	3.4	15	4.4	0.13	0.6	5	0.04	0.04
Felix Jones	DAL	2.9	4	12	3.05	0.07	0.6	4	0.01	0.09
Mike Tolbert	CAR	2.8	0.6	3	4.48	0.03	2.1	18	0.11	0.03
