PLAYER	TEAM	FP	INT	PD	SOLO	AST	SACK	FUMR	FORCE
Antoine Winfield	MIN	7.8	0.08	0.22	5.8	3.6	0.27	0.06	0.28
Charles Woodson	GB	7.6	0.35	1.13	3.6	1.6	0.27	0.06	0.26
Morgan Burnett	GB	6.7	0.26	0.83	4.1	1.8	0.12	0.21	0.22
Charles Godfrey	CAR	6.5	0.24	0.52	4.4	2.2	0.12	0.01	0.26
Tyvon Branch	OAK	6.3	0.11	0.28	4.8	2	0.1	0.18	0.06
Roman Harper	NO	6.1	0.03	0.4	3.8	1.8	0.43	0.11	0.28
Tramon Williams	GB	6.1	0.38	1.4	3.1	1.5	0.03	0.2	0.01
Greg Toler	ARI	6.1	0.05	0.31	4.7	1.8	0.09	0.09	0.24
Richard Marshall	MIA	5.9	0.2	0.52	4.3	1.7	0.15	0.03	0.04
Ronde Barber	TB	5.8	0.22	0.5	4.2	1.4	0.04	0.08	0.1
Marcus Trufant	SEA	5.8	0.2	0.6	3.7	2.2	0	0.18	0.07
DeAngelo Hall	WAS	5.8	0.3	0.86	3.9	3.3	0.05	0.03	0.12
Charles Tillman	CHI	5.7	0.14	0.68	3.8	1.5	0.03	0.1	0.21
Bernard Pollard	BAL	5.7	0.05	0.64	3.7	2.1	0.26	0.04	0.26
Eric Weddle	SD	5.7	0.27	0.67	4.2	1.6	0.01	0.02	0.01
Jason McCourty	TEN	5.7	0.08	0.74	4.8	2.1	0.06	0.06	0.09
Jerraud Powers	IND	5.5	0.37	0.61	2.7	2.4	0	0.06	0.02
Troy Polamalu	PIT	5.4	0.18	0.7	3.9	2.1	0.04	0.12	0.04
Thomas DeCoud	ATL	5.4	0.11	0.27	4.7	2.6	0	0.01	0.08
Eric Berry	KC	5.4	0.2	0.56	3.6	1.9	0.1	0.02	0.06
Ryan Clark	PIT	5.3	0.09	0.32	4.6	2.2	0.02	0.03	0.02
Antrel Rolle	NYG	5.3	0.08	0.25	4.5	2.1	0	0.07	0.07
Kerry Rhodes	ARI	5.3	0.07	0.36	3.8	1.5	0.22	0.16	0.01
Antoine Bethea	IND	5.3	0.04	0.46	4.3	3.9	0	0.09	0.22
Eric Wright	TB	5.2	0.18	0.58	4	1.4	0	0.03	0.06
